dataset_id	object_label	object_path	file_size_bytes	features	cells
GSE245552	gse245552_Pt08_T4_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt08_T4_working_qc_sparse_matrix.rds	25988993	29569	4096
GSE245552	gse245552_Pt09_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt09_T1_working_qc_sparse_matrix.rds	15537230	29569	4533
GSE245552	gse245552_Pt10_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt10_T1_working_qc_sparse_matrix.rds	21421862	29569	6748
GSE245552	gse245552_Pt10_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt10_T2_working_qc_sparse_matrix.rds	29582064	29569	7345
GSE245552	gse245552_Pt11_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt11_T1_working_qc_sparse_matrix.rds	38302298	29569	6023
GSE245552	gse245552_Pt11_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt11_T2_working_qc_sparse_matrix.rds	20998545	29569	4970
GSE245552	gse245552_Pt13_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt13_T1_working_qc_sparse_matrix.rds	14003061	29569	3415
GSE245552	gse245552_Pt13_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt13_Z1_working_qc_sparse_matrix.rds	17395472	29922	5547
GSE245552	gse245552_Pt15_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt15_T1_working_qc_sparse_matrix.rds	30307887	29569	8355
GSE245552	gse245552_Pt15_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt15_T2_working_qc_sparse_matrix.rds	34952793	29569	4698
GSE245552	gse245552_Pt15_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt15_Z1_working_qc_sparse_matrix.rds	27646481	29922	5170
GSE245552	gse245552_Pt16_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt16_T1_working_qc_sparse_matrix.rds	1686526	29569	347
GSE245552	gse245552_Pt16_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt16_Z1_working_qc_sparse_matrix.rds	1397116	29922	255
GSE245552	gse245552_Pt17_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt17_T1_working_qc_sparse_matrix.rds	6294584	29569	1517
GSE245552	gse245552_Pt17_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt17_T2_working_qc_sparse_matrix.rds	9258268	29569	1804
GSE245552	gse245552_Pt17_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt17_Z1_working_qc_sparse_matrix.rds	11032293	29922	3570
GSE245552	gse245552_Pt18_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt18_T1_working_qc_sparse_matrix.rds	21510127	29569	3264
GSE245552	gse245552_Pt18_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt18_T2_working_qc_sparse_matrix.rds	30324709	29569	4759
GSE245552	gse245552_Pt18_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt18_Z1_working_qc_sparse_matrix.rds	10899723	29922	2793
GSE245552	gse245552_Pt18_Z2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_working_qc_sparse_objects_20260708/gse245552_Pt18_Z2_working_qc_sparse_matrix.rds	26619509	29922	5952
