integrated_cluster	integrated_umap_1	integrated_umap_2	cells
2	6.60363934494872	-1.51075840236195	5197
10	6.93972919442077	7.32323813198558	938
1	-6.22652103446107	-4.12656808139332	8392
0	-4.1816923811255	-2.88472414256581	10153
4	9.65333722092528	2.95362138508312	2887
9	5.01645753838439	4.24487685917369	1100
3	8.69184754349609	-9.2973389649535	4305
8	1.45234141804595	-8.23865986110219	1152
7	1.5498157546701	9.55755090473644	1477
12	5.54761527039428	2.67583203075878	623
11	6.1350014016809	-0.694281580462538	708
13	6.78489993073363	-6.46848559619435	448
6	-9.92678143523316	8.32157325504772	1726
5	10.1833741471948	-5.82557869197377	2235
14	-1.84634019873719	4.86262798069469	199
17	-2.65319253943543	6.82736587284557	65
16	12.395023565072	-2.62149560691365	98
15	-4.21839262984376	5.97476410625926	104
