tissue	celltype_major	celltype_sub	patient	expression_group	N
metastasis normal	Macrophage	hC52_Mph-CXCL12	patient09	MN	4
metastasis normal	Macrophage	hC52_Mph-CXCL12	patient10	MN	4
metastasis normal	Macrophage	hC52_Mph-CXCL12	patient11	MN	13
metastasis normal	Macrophage	hC52_Mph-CXCL12	patient12	MN	5
metastasis normal	Macrophage	hC52_Mph-CXCL12	patient13	MN	24
metastasis normal	Macrophage	hC52_Mph-CXCL12	patient14	MN	3
metastasis normal	Macrophage	hC52_Mph-CXCL12	patient15	MN	7
metastasis normal	Macrophage	hC52_Mph-CXCL12	patient16	MN	10
metastasis normal	Macrophage	hC52_Mph-CXCL12	patient17	MN	182
metastasis normal	Macrophage	hC53_Mph-C1QC	patient09	MN	5
metastasis normal	Macrophage	hC53_Mph-C1QC	patient11	MN	2
metastasis normal	Macrophage	hC53_Mph-C1QC	patient12	MN	1
metastasis normal	Macrophage	hC53_Mph-C1QC	patient13	MN	2
metastasis normal	Macrophage	hC53_Mph-C1QC	patient16	MN	8
metastasis normal	Macrophage	hC53_Mph-C1QC	patient17	MN	16
metastasis normal	Macrophage	hC54_Mph-SPP1	patient08	MN	1
metastasis normal	Macrophage	hC54_Mph-SPP1	patient09	MN	4
metastasis normal	Macrophage	hC54_Mph-SPP1	patient11	MN	2
metastasis normal	Macrophage	hC54_Mph-SPP1	patient12	MN	1
metastasis normal	Macrophage	hC54_Mph-SPP1	patient13	MN	2
metastasis normal	Macrophage	hC54_Mph-SPP1	patient14	MN	5
metastasis normal	Macrophage	hC54_Mph-SPP1	patient16	MN	5
metastasis normal	Macrophage	hC54_Mph-SPP1	patient17	MN	1
metastasis normal	Macrophage	hC55_Mph-MKI67	patient11	MN	9
metastasis normal	Macrophage	hC55_Mph-MKI67	patient12	MN	4
metastasis normal	Macrophage	hC55_Mph-MKI67	patient14	MN	1
metastasis normal	Macrophage	hC55_Mph-MKI67	patient15	MN	1
metastasis normal	Macrophage	hC55_Mph-MKI67	patient16	MN	1
metastasis normal	Macrophage	hC55_Mph-MKI67	patient17	MN	5
metastasis normal	Macrophage	hC56_Mph-CD3E	patient08	MN	65
metastasis normal	Macrophage	hC56_Mph-CD3E	patient09	MN	66
metastasis normal	Macrophage	hC56_Mph-CD3E	patient10	MN	30
metastasis normal	Macrophage	hC56_Mph-CD3E	patient11	MN	72
metastasis normal	Macrophage	hC56_Mph-CD3E	patient12	MN	50
metastasis normal	Macrophage	hC56_Mph-CD3E	patient13	MN	41
metastasis normal	Macrophage	hC56_Mph-CD3E	patient14	MN	35
metastasis normal	Macrophage	hC56_Mph-CD3E	patient15	MN	33
metastasis normal	Macrophage	hC56_Mph-CD3E	patient16	MN	128
metastasis normal	Macrophage	hC56_Mph-CD3E	patient17	MN	108
metastasis normal	Monocyte	hC43_MonoDC-CLEC10A	patient08	MN	8
metastasis normal	Monocyte	hC43_MonoDC-CLEC10A	patient09	MN	15
metastasis normal	Monocyte	hC43_MonoDC-CLEC10A	patient11	MN	59
metastasis normal	Monocyte	hC43_MonoDC-CLEC10A	patient12	MN	30
metastasis normal	Monocyte	hC43_MonoDC-CLEC10A	patient13	MN	6
metastasis normal	Monocyte	hC43_MonoDC-CLEC10A	patient14	MN	13
metastasis normal	Monocyte	hC43_MonoDC-CLEC10A	patient15	MN	13
metastasis normal	Monocyte	hC43_MonoDC-CLEC10A	patient16	MN	12
metastasis normal	Monocyte	hC43_MonoDC-CLEC10A	patient17	MN	13
metastasis normal	Monocyte	hC44_Mono-CD14	patient08	MN	4
metastasis normal	Monocyte	hC44_Mono-CD14	patient09	MN	11
metastasis normal	Monocyte	hC44_Mono-CD14	patient11	MN	46
metastasis normal	Monocyte	hC44_Mono-CD14	patient12	MN	21
metastasis normal	Monocyte	hC44_Mono-CD14	patient13	MN	39
metastasis normal	Monocyte	hC44_Mono-CD14	patient14	MN	2
metastasis normal	Monocyte	hC44_Mono-CD14	patient16	MN	6
metastasis normal	Monocyte	hC44_Mono-CD14	patient17	MN	20
metastasis normal	Monocyte	hC45_Mono-FCGR3A	patient08	MN	28
metastasis normal	Monocyte	hC45_Mono-FCGR3A	patient09	MN	16
metastasis normal	Monocyte	hC45_Mono-FCGR3A	patient10	MN	12
metastasis normal	Monocyte	hC45_Mono-FCGR3A	patient11	MN	414
metastasis normal	Monocyte	hC45_Mono-FCGR3A	patient12	MN	113
metastasis normal	Monocyte	hC45_Mono-FCGR3A	patient13	MN	21
metastasis normal	Monocyte	hC45_Mono-FCGR3A	patient14	MN	77
metastasis normal	Monocyte	hC45_Mono-FCGR3A	patient15	MN	33
metastasis normal	Monocyte	hC45_Mono-FCGR3A	patient16	MN	41
metastasis normal	Monocyte	hC45_Mono-FCGR3A	patient17	MN	144
metastasis normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient08	MN	9
metastasis normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient09	MN	27
metastasis normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient10	MN	6
metastasis normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient11	MN	469
metastasis normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient12	MN	56
metastasis normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient13	MN	17
metastasis normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient14	MN	27
metastasis normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient15	MN	6
metastasis normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient16	MN	25
metastasis normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient17	MN	43
metastasis normal	Monocyte	hC47_Mono-CD3E	patient08	MN	4
metastasis normal	Monocyte	hC47_Mono-CD3E	patient09	MN	15
metastasis normal	Monocyte	hC47_Mono-CD3E	patient10	MN	4
metastasis normal	Monocyte	hC47_Mono-CD3E	patient11	MN	29
metastasis normal	Monocyte	hC47_Mono-CD3E	patient12	MN	26
metastasis normal	Monocyte	hC47_Mono-CD3E	patient13	MN	20
metastasis normal	Monocyte	hC47_Mono-CD3E	patient14	MN	13
metastasis normal	Monocyte	hC47_Mono-CD3E	patient15	MN	8
metastasis normal	Monocyte	hC47_Mono-CD3E	patient16	MN	48
metastasis normal	Monocyte	hC47_Mono-CD3E	patient17	MN	29
