tissue	celltype_major	celltype_sub	patient	expression_group	N
primary normal	Macrophage	hC49_Mph-NLRP3	patient12	PN	2
primary normal	Macrophage	hC49_Mph-NLRP3	patient13	PN	28
primary normal	Macrophage	hC49_Mph-NLRP3	patient14	PN	13
primary normal	Macrophage	hC49_Mph-NLRP3	patient15	PN	6
primary normal	Macrophage	hC49_Mph-NLRP3	patient16	PN	29
primary normal	Macrophage	hC49_Mph-NLRP3	patient17	PN	32
primary normal	Macrophage	hC50_Mph-IL1B	patient10	PN	1
primary normal	Macrophage	hC50_Mph-IL1B	patient11	PN	5
primary normal	Macrophage	hC50_Mph-IL1B	patient13	PN	7
primary normal	Macrophage	hC50_Mph-IL1B	patient14	PN	6
primary normal	Macrophage	hC50_Mph-IL1B	patient15	PN	1
primary normal	Macrophage	hC50_Mph-IL1B	patient16	PN	6
primary normal	Macrophage	hC50_Mph-IL1B	patient17	PN	6
primary normal	Macrophage	hC51_Mph-PLTP	patient09	PN	1
primary normal	Macrophage	hC51_Mph-PLTP	patient10	PN	2
primary normal	Macrophage	hC51_Mph-PLTP	patient11	PN	9
primary normal	Macrophage	hC51_Mph-PLTP	patient12	PN	1
primary normal	Macrophage	hC51_Mph-PLTP	patient13	PN	10
primary normal	Macrophage	hC51_Mph-PLTP	patient14	PN	10
primary normal	Macrophage	hC51_Mph-PLTP	patient15	PN	2
primary normal	Macrophage	hC51_Mph-PLTP	patient16	PN	138
primary normal	Macrophage	hC51_Mph-PLTP	patient17	PN	37
primary normal	Macrophage	hC52_Mph-CXCL12	patient13	PN	1
primary normal	Macrophage	hC52_Mph-CXCL12	patient16	PN	1
primary normal	Macrophage	hC53_Mph-C1QC	patient10	PN	1
primary normal	Macrophage	hC53_Mph-C1QC	patient11	PN	3
primary normal	Macrophage	hC53_Mph-C1QC	patient15	PN	3
primary normal	Macrophage	hC53_Mph-C1QC	patient16	PN	7
primary normal	Macrophage	hC53_Mph-C1QC	patient17	PN	6
primary normal	Macrophage	hC54_Mph-SPP1	patient08	PN	1
primary normal	Macrophage	hC54_Mph-SPP1	patient14	PN	1
primary normal	Macrophage	hC55_Mph-MKI67	patient15	PN	1
primary normal	Macrophage	hC55_Mph-MKI67	patient16	PN	1
primary normal	Macrophage	hC56_Mph-CD3E	patient08	PN	1
primary normal	Macrophage	hC56_Mph-CD3E	patient09	PN	1
primary normal	Macrophage	hC56_Mph-CD3E	patient10	PN	1
primary normal	Macrophage	hC56_Mph-CD3E	patient11	PN	14
primary normal	Macrophage	hC56_Mph-CD3E	patient12	PN	2
primary normal	Macrophage	hC56_Mph-CD3E	patient13	PN	3
primary normal	Macrophage	hC56_Mph-CD3E	patient14	PN	18
primary normal	Macrophage	hC56_Mph-CD3E	patient15	PN	11
primary normal	Macrophage	hC56_Mph-CD3E	patient16	PN	100
primary normal	Macrophage	hC56_Mph-CD3E	patient17	PN	27
primary normal	Monocyte	hC43_MonoDC-CLEC10A	patient09	PN	1
primary normal	Monocyte	hC43_MonoDC-CLEC10A	patient11	PN	1
primary normal	Monocyte	hC43_MonoDC-CLEC10A	patient13	PN	1
primary normal	Monocyte	hC43_MonoDC-CLEC10A	patient14	PN	2
primary normal	Monocyte	hC43_MonoDC-CLEC10A	patient16	PN	2
primary normal	Monocyte	hC43_MonoDC-CLEC10A	patient17	PN	1
primary normal	Monocyte	hC44_Mono-CD14	patient10	PN	1
primary normal	Monocyte	hC44_Mono-CD14	patient11	PN	4
primary normal	Monocyte	hC44_Mono-CD14	patient13	PN	3
primary normal	Monocyte	hC44_Mono-CD14	patient14	PN	9
primary normal	Monocyte	hC44_Mono-CD14	patient16	PN	5
primary normal	Monocyte	hC44_Mono-CD14	patient17	PN	2
primary normal	Monocyte	hC45_Mono-FCGR3A	patient09	PN	1
primary normal	Monocyte	hC45_Mono-FCGR3A	patient10	PN	1
primary normal	Monocyte	hC45_Mono-FCGR3A	patient11	PN	1
primary normal	Monocyte	hC45_Mono-FCGR3A	patient12	PN	2
primary normal	Monocyte	hC45_Mono-FCGR3A	patient14	PN	1
primary normal	Monocyte	hC45_Mono-FCGR3A	patient16	PN	2
primary normal	Monocyte	hC45_Mono-FCGR3A	patient17	PN	1
primary normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient11	PN	1
primary normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient12	PN	1
primary normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient13	PN	1
primary normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient14	PN	1
primary normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient16	PN	1
primary normal	Monocyte	hC46_Mono-CD14|FCGR3A	patient17	PN	1
primary normal	Monocyte	hC47_Mono-CD3E	patient16	PN	1
primary tumor	Macrophage	hC48_Mph-FCN1	patient10	PT	4
primary tumor	Macrophage	hC48_Mph-FCN1	patient11	PT	13
primary tumor	Macrophage	hC48_Mph-FCN1	patient12	PT	6
primary tumor	Macrophage	hC48_Mph-FCN1	patient13	PT	5
primary tumor	Macrophage	hC48_Mph-FCN1	patient15	PT	9
primary tumor	Macrophage	hC48_Mph-FCN1	patient16	PT	19
primary tumor	Macrophage	hC48_Mph-FCN1	patient17	PT	1
primary tumor	Macrophage	hC49_Mph-NLRP3	patient08	PT	1
primary tumor	Macrophage	hC49_Mph-NLRP3	patient09	PT	4
primary tumor	Macrophage	hC49_Mph-NLRP3	patient10	PT	49
primary tumor	Macrophage	hC49_Mph-NLRP3	patient11	PT	69
primary tumor	Macrophage	hC49_Mph-NLRP3	patient12	PT	27
primary tumor	Macrophage	hC49_Mph-NLRP3	patient13	PT	11
primary tumor	Macrophage	hC49_Mph-NLRP3	patient14	PT	28
primary tumor	Macrophage	hC49_Mph-NLRP3	patient15	PT	141
primary tumor	Macrophage	hC49_Mph-NLRP3	patient16	PT	125
primary tumor	Macrophage	hC49_Mph-NLRP3	patient17	PT	40
primary tumor	Macrophage	hC50_Mph-IL1B	patient08	PT	2
primary tumor	Macrophage	hC50_Mph-IL1B	patient10	PT	6
primary tumor	Macrophage	hC50_Mph-IL1B	patient11	PT	11
primary tumor	Macrophage	hC50_Mph-IL1B	patient12	PT	5
