tool_or_reference	required	observed	observed_path	observed_version	bytes	sha256	cellranger_count_help_exit_code	cellranger_count_help_observed	notes
10x_cellranger_executable	Cell Ranger 7.2.0	False						False	No 10x Cell Ranger executable found under known roots; R package cellranger observations are not the 10x pipeline executable: H:\R\library\cellranger;H:\R\library\cellranger\help\cellranger.rdb;H:\R\library\cellranger\help\cellranger.rdx;H:\R\library\cellranger\R\cellranger;H:\R\library\cellranger\R\cellranger.rdb;H:\R\library\cellranger\R\cellranger.rdx
refdata-gex-GRCh38-2020-A	refdata-gex-GRCh38-2020-A	False							No local reference directory observed under known roots
