filename	description	source_path
cir-24-1255_table_s1_suppst1.xlsx	Table S1 snATAC-seq donors and barcode metadata	/articles/instance/12865363/bin/cir-24-1255_table_s1_suppst1.xlsx
cir-24-1255_table_s4_suppst4.xlsx	Table S4 snATAC ChIPSeeker and motif activity tables	/articles/instance/12865363/bin/cir-24-1255_table_s4_suppst4.xlsx
