Treatment	Tissue	MajorCellType	SubCellType	cell_count
"""II"""	"""Blood"""	"""T"""	"""c22_CD8_Trm_HSPA1B"""	20
"""II"""	"""Blood"""	"""T"""	"""c23_CD8_Tex_LAYN"""	3
"""II"""	"""Blood"""	"""T"""	"""c24_CD8_Temra_CX3CR1"""	9610
"""II"""	"""Blood"""	"""T"""	"""c25_CD8_Temra_TYROBP"""	6431
"""II"""	"""Blood"""	"""T"""	"""c26_CD8_MAIT_KLRB1"""	1269
"""II"""	"""Blood"""	"""T"""	"""c27_CD8_MAIT_SLC4A10"""	8
"""II"""	"""Blood"""	"""T"""	"""c28_CD8_IEL_CD160"""	183
"""II"""	"""Blood"""	"""T"""	"""c29_T_MKI67"""	644
"""II"""	"""Blood"""	"""T"""	"""c30_gdT_TRDV2"""	2565
"""II"""	"""Blood"""	"""T"""	"""c31_DNT"""	9508
"""II"""	"""Blood"""	"""T"""	"""c32_DPT"""	2011
"""II"""	"""LN"""	"""B"""	"""c39_NaiveB_TCL1A"""	33
"""II"""	"""LN"""	"""B"""	"""c40_NaiveB_IGHD"""	651
"""II"""	"""LN"""	"""B"""	"""c41_MemB_CD27"""	80
"""II"""	"""LN"""	"""B"""	"""c42_MemB_GPR183"""	601
"""II"""	"""LN"""	"""B"""	"""c43_GCB_LRMP"""	49
"""II"""	"""LN"""	"""B"""	"""c44_GCB_MKI67"""	89
"""II"""	"""LN"""	"""B"""	"""c45_PlasmaB_TXNDC5"""	16
"""II"""	"""LN"""	"""B"""	"""c46_PlasmaB_IGHA1"""	10
"""II"""	"""LN"""	"""B"""	"""c47_PlasmaB_IGHG1"""	98
"""II"""	"""LN"""	"""B"""	"""c48_PlasmaB_MKI67"""	32
"""II"""	"""LN"""	"""Epi"""	"""c90_Epi_MKI67"""	2
"""II"""	"""LN"""	"""ILC"""	"""c33_ILC_GZMK"""	3
"""II"""	"""LN"""	"""ILC"""	"""c34_ILC_NR4A2"""	23
"""II"""	"""LN"""	"""ILC"""	"""c37_ILC_SLC4A10"""	23
"""II"""	"""LN"""	"""ILC"""	"""c38_ILC_MKI67"""	2
"""II"""	"""LN"""	"""Mye"""	"""c49_Mono_CD14"""	1
"""II"""	"""LN"""	"""Mye"""	"""c52_Mast_TPSAB1"""	4
"""II"""	"""LN"""	"""Mye"""	"""c54_pDC_LILRA4"""	2
"""II"""	"""LN"""	"""Mye"""	"""c55_pDC_GZMB"""	87
"""II"""	"""LN"""	"""Mye"""	"""c57_cDC_CLEC9A"""	28
"""II"""	"""LN"""	"""Mye"""	"""c58_cDC_CD1C"""	1
"""II"""	"""LN"""	"""Mye"""	"""c59_cDC_IL1B"""	87
"""II"""	"""LN"""	"""Mye"""	"""c60_cDC_LAMP3"""	34
"""II"""	"""LN"""	"""Mye"""	"""c62_Mph_S100A8"""	22
"""II"""	"""LN"""	"""Mye"""	"""c63_Mph_CCL20"""	1
"""II"""	"""LN"""	"""Mye"""	"""c65_Mph_APOE"""	9
"""II"""	"""LN"""	"""Stromal"""	"""c67_Endo_ACKR1"""	2
"""II"""	"""LN"""	"""Stromal"""	"""c70_Endo_COL4A1"""	1
"""II"""	"""LN"""	"""Stromal"""	"""c75_Fibro_CCL19"""	1
"""II"""	"""LN"""	"""Stromal"""	"""c76_Fibro_PI16"""	1
"""II"""	"""LN"""	"""T"""	"""c01_CD4_Tn_CCR7"""	9
"""II"""	"""LN"""	"""T"""	"""c02_CD4_Tn_SELL"""	10
"""II"""	"""LN"""	"""T"""	"""c03_CD4_Tn_NR4A2"""	919
"""II"""	"""LN"""	"""T"""	"""c04_CD4_Tcm_ANXA1"""	20
"""II"""	"""LN"""	"""T"""	"""c05_CD4_Tcm_GPR183"""	42
"""II"""	"""LN"""	"""T"""	"""c06_CD4_Trm_HSPA1A"""	86
"""II"""	"""LN"""	"""T"""	"""c07_CD4_Th17_CTSH"""	6
"""II"""	"""LN"""	"""T"""	"""c08_CD4_Tfh_CXCL13_IL6ST"""	268
"""II"""	"""LN"""	"""T"""	"""c09_CD4_Th1_CXCL13_HAVCR2"""	1
"""II"""	"""LN"""	"""T"""	"""c11_CD4_Treg_FOXP3"""	7
"""II"""	"""LN"""	"""T"""	"""c12_CD4_Treg_KLRB1"""	255
"""II"""	"""LN"""	"""T"""	"""c13_CD4_Treg_TNFRSF9"""	83
"""II"""	"""LN"""	"""T"""	"""c14_CD4_MT"""	145
"""II"""	"""LN"""	"""T"""	"""c15_CD8_Tn_CCR7"""	1
"""II"""	"""LN"""	"""T"""	"""c16_CD8_Tn_SELL"""	209
"""II"""	"""LN"""	"""T"""	"""c17_CD8_Tcm_GPR183"""	3
"""II"""	"""LN"""	"""T"""	"""c18_CD8_Tcm_ANXA1"""	9
"""II"""	"""LN"""	"""T"""	"""c19_CD8_Tem_CMC1"""	12
"""II"""	"""LN"""	"""T"""	"""c20_CD8_Tem_GZMK"""	446
"""II"""	"""LN"""	"""T"""	"""c21_CD8_Trm_XCL1"""	11
"""II"""	"""LN"""	"""T"""	"""c22_CD8_Trm_HSPA1B"""	49
"""II"""	"""LN"""	"""T"""	"""c23_CD8_Tex_LAYN"""	38
"""II"""	"""LN"""	"""T"""	"""c25_CD8_Temra_TYROBP"""	2
"""II"""	"""LN"""	"""T"""	"""c27_CD8_MAIT_SLC4A10"""	21
"""II"""	"""LN"""	"""T"""	"""c28_CD8_IEL_CD160"""	4
"""II"""	"""LN"""	"""T"""	"""c29_T_MKI67"""	65
"""II"""	"""LN"""	"""T"""	"""c30_gdT_TRDV2"""	16
"""II"""	"""LN"""	"""T"""	"""c31_DNT"""	53
"""II"""	"""Normal"""	"""B"""	"""c39_NaiveB_TCL1A"""	85
"""II"""	"""Normal"""	"""B"""	"""c40_NaiveB_IGHD"""	1291
"""II"""	"""Normal"""	"""B"""	"""c41_MemB_CD27"""	90
"""II"""	"""Normal"""	"""B"""	"""c42_MemB_GPR183"""	2547
"""II"""	"""Normal"""	"""B"""	"""c43_GCB_LRMP"""	248
"""II"""	"""Normal"""	"""B"""	"""c44_GCB_MKI67"""	202
"""II"""	"""Normal"""	"""B"""	"""c45_PlasmaB_TXNDC5"""	200
"""II"""	"""Normal"""	"""B"""	"""c46_PlasmaB_IGHA1"""	15535
"""II"""	"""Normal"""	"""B"""	"""c47_PlasmaB_IGHG1"""	832
"""II"""	"""Normal"""	"""B"""	"""c48_PlasmaB_MKI67"""	31
"""II"""	"""Normal"""	"""Epi"""	"""c84_Coloncyte_CA2"""	13598
"""II"""	"""Normal"""	"""Epi"""	"""c85_Coloncyte_SLC26A3"""	2952
"""II"""	"""Normal"""	"""Epi"""	"""c86_Coloncyte_BEST4"""	1657
"""II"""	"""Normal"""	"""Epi"""	"""c87_Goblet_MUC2"""	6538
"""II"""	"""Normal"""	"""Epi"""	"""c88_EEC_PCSK1N"""	198
"""II"""	"""Normal"""	"""Epi"""	"""c89_Tuft_PTGS1"""	399
"""II"""	"""Normal"""	"""Epi"""	"""c90_Epi_MKI67"""	2905
"""II"""	"""Normal"""	"""Epi"""	"""c91_Epi_Tumor"""	2044
"""II"""	"""Normal"""	"""ILC"""	"""c33_ILC_GZMK"""	6
"""II"""	"""Normal"""	"""ILC"""	"""c34_ILC_NR4A2"""	524
"""II"""	"""Normal"""	"""ILC"""	"""c35_ILC_FCGR3A"""	3
"""II"""	"""Normal"""	"""ILC"""	"""c36_ILC_SYNE2"""	10
"""II"""	"""Normal"""	"""ILC"""	"""c37_ILC_SLC4A10"""	261
"""II"""	"""Normal"""	"""ILC"""	"""c38_ILC_MKI67"""	13
"""II"""	"""Normal"""	"""Mye"""	"""c49_Mono_CD14"""	8
"""II"""	"""Normal"""	"""Mye"""	"""c50_Mono_FCGR3A"""	5
"""II"""	"""Normal"""	"""Mye"""	"""c51_Mono_NFKBIZ"""	4
"""II"""	"""Normal"""	"""Mye"""	"""c52_Mast_TPSAB1"""	849
"""II"""	"""Normal"""	"""Mye"""	"""c53_Neu_CXCR2"""	9
"""II"""	"""Normal"""	"""Mye"""	"""c55_pDC_GZMB"""	29
"""II"""	"""Normal"""	"""Mye"""	"""c57_cDC_CLEC9A"""	44
"""II"""	"""Normal"""	"""Mye"""	"""c58_cDC_CD1C"""	7
"""II"""	"""Normal"""	"""Mye"""	"""c59_cDC_IL1B"""	296
"""II"""	"""Normal"""	"""Mye"""	"""c60_cDC_LAMP3"""	24
"""II"""	"""Normal"""	"""Mye"""	"""c61_Mph_FCGR3A"""	21
"""II"""	"""Normal"""	"""Mye"""	"""c62_Mph_S100A8"""	186
"""II"""	"""Normal"""	"""Mye"""	"""c63_Mph_CCL20"""	20
"""II"""	"""Normal"""	"""Mye"""	"""c64_Mph_SPP1"""	6
"""II"""	"""Normal"""	"""Mye"""	"""c65_Mph_APOE"""	241
"""II"""	"""Normal"""	"""Stromal"""	"""c66_Endo_LYVE1"""	57
"""II"""	"""Normal"""	"""Stromal"""	"""c67_Endo_ACKR1"""	132
"""II"""	"""Normal"""	"""Stromal"""	"""c68_Endo_FABP5"""	295
"""II"""	"""Normal"""	"""Stromal"""	"""c69_Endo_CXCL12"""	36
"""II"""	"""Normal"""	"""Stromal"""	"""c70_Endo_COL4A1"""	34
"""II"""	"""Normal"""	"""Stromal"""	"""c71_Endo_MKI67"""	2
"""II"""	"""Normal"""	"""Stromal"""	"""c72_Fibro_SOX6"""	1456
"""II"""	"""Normal"""	"""Stromal"""	"""c73_Fibro_ADAMDEC1"""	3588
"""II"""	"""Normal"""	"""Stromal"""	"""c74_Fibro_C7"""	821
"""II"""	"""Normal"""	"""Stromal"""	"""c75_Fibro_CCL19"""	348
"""II"""	"""Normal"""	"""Stromal"""	"""c76_Fibro_PI16"""	108
"""II"""	"""Normal"""	"""Stromal"""	"""c77_Fibro_ACTA2"""	371
"""II"""	"""Normal"""	"""Stromal"""	"""c78_Fibro_DES"""	28
"""II"""	"""Normal"""	"""Stromal"""	"""c79_Fibro_FAP"""	25
"""II"""	"""Normal"""	"""Stromal"""	"""c80_Fibro_MKI67"""	5
"""II"""	"""Normal"""	"""Stromal"""	"""c81_Pericyte_RGS5"""	110
"""II"""	"""Normal"""	"""Stromal"""	"""c82_SMC_MYH11"""	238
"""II"""	"""Normal"""	"""Stromal"""	"""c83_Glia_PLP1"""	377
"""II"""	"""Normal"""	"""T"""	"""c01_CD4_Tn_CCR7"""	56
"""II"""	"""Normal"""	"""T"""	"""c02_CD4_Tn_SELL"""	13
"""II"""	"""Normal"""	"""T"""	"""c03_CD4_Tn_NR4A2"""	1770
"""II"""	"""Normal"""	"""T"""	"""c04_CD4_Tcm_ANXA1"""	162
"""II"""	"""Normal"""	"""T"""	"""c05_CD4_Tcm_GPR183"""	4094
"""II"""	"""Normal"""	"""T"""	"""c06_CD4_Trm_HSPA1A"""	1483
"""II"""	"""Normal"""	"""T"""	"""c07_CD4_Th17_CTSH"""	140
"""II"""	"""Normal"""	"""T"""	"""c08_CD4_Tfh_CXCL13_IL6ST"""	495
"""II"""	"""Normal"""	"""T"""	"""c09_CD4_Th1_CXCL13_HAVCR2"""	49
"""II"""	"""Normal"""	"""T"""	"""c10_CD4_Temra_GZMB"""	8
"""II"""	"""Normal"""	"""T"""	"""c11_CD4_Treg_FOXP3"""	15
"""II"""	"""Normal"""	"""T"""	"""c12_CD4_Treg_KLRB1"""	500
"""II"""	"""Normal"""	"""T"""	"""c13_CD4_Treg_TNFRSF9"""	270
"""II"""	"""Normal"""	"""T"""	"""c14_CD4_MT"""	476
"""II"""	"""Normal"""	"""T"""	"""c15_CD8_Tn_CCR7"""	27
"""II"""	"""Normal"""	"""T"""	"""c16_CD8_Tn_SELL"""	292
"""II"""	"""Normal"""	"""T"""	"""c17_CD8_Tcm_GPR183"""	60
"""II"""	"""Normal"""	"""T"""	"""c18_CD8_Tcm_ANXA1"""	1692
"""II"""	"""Normal"""	"""T"""	"""c19_CD8_Tem_CMC1"""	62
"""II"""	"""Normal"""	"""T"""	"""c20_CD8_Tem_GZMK"""	2695
"""II"""	"""Normal"""	"""T"""	"""c21_CD8_Trm_XCL1"""	2574
"""II"""	"""Normal"""	"""T"""	"""c22_CD8_Trm_HSPA1B"""	2116
"""II"""	"""Normal"""	"""T"""	"""c23_CD8_Tex_LAYN"""	213
"""II"""	"""Normal"""	"""T"""	"""c24_CD8_Temra_CX3CR1"""	45
"""II"""	"""Normal"""	"""T"""	"""c25_CD8_Temra_TYROBP"""	32
"""II"""	"""Normal"""	"""T"""	"""c26_CD8_MAIT_KLRB1"""	10
"""II"""	"""Normal"""	"""T"""	"""c27_CD8_MAIT_SLC4A10"""	431
"""II"""	"""Normal"""	"""T"""	"""c28_CD8_IEL_CD160"""	1804
"""II"""	"""Normal"""	"""T"""	"""c29_T_MKI67"""	197
"""II"""	"""Normal"""	"""T"""	"""c30_gdT_TRDV2"""	53
"""II"""	"""Normal"""	"""T"""	"""c31_DNT"""	35
"""II"""	"""Tumor"""	"""B"""	"""c39_NaiveB_TCL1A"""	103
"""II"""	"""Tumor"""	"""B"""	"""c40_NaiveB_IGHD"""	1010
"""II"""	"""Tumor"""	"""B"""	"""c41_MemB_CD27"""	275
"""II"""	"""Tumor"""	"""B"""	"""c42_MemB_GPR183"""	5847
"""II"""	"""Tumor"""	"""B"""	"""c43_GCB_LRMP"""	88
"""II"""	"""Tumor"""	"""B"""	"""c44_GCB_MKI67"""	132
"""II"""	"""Tumor"""	"""B"""	"""c45_PlasmaB_TXNDC5"""	369
"""II"""	"""Tumor"""	"""B"""	"""c46_PlasmaB_IGHA1"""	7888
"""II"""	"""Tumor"""	"""B"""	"""c47_PlasmaB_IGHG1"""	4058
"""II"""	"""Tumor"""	"""B"""	"""c48_PlasmaB_MKI67"""	476
"""II"""	"""Tumor"""	"""Epi"""	"""c84_Coloncyte_CA2"""	9446
"""II"""	"""Tumor"""	"""Epi"""	"""c85_Coloncyte_SLC26A3"""	2528
"""II"""	"""Tumor"""	"""Epi"""	"""c86_Coloncyte_BEST4"""	281
"""II"""	"""Tumor"""	"""Epi"""	"""c87_Goblet_MUC2"""	3180
"""II"""	"""Tumor"""	"""Epi"""	"""c88_EEC_PCSK1N"""	144
"""II"""	"""Tumor"""	"""Epi"""	"""c89_Tuft_PTGS1"""	178
"""II"""	"""Tumor"""	"""Epi"""	"""c90_Epi_MKI67"""	4642
"""II"""	"""Tumor"""	"""Epi"""	"""c91_Epi_Tumor"""	3771
"""II"""	"""Tumor"""	"""ILC"""	"""c33_ILC_GZMK"""	69
"""II"""	"""Tumor"""	"""ILC"""	"""c34_ILC_NR4A2"""	1282
"""II"""	"""Tumor"""	"""ILC"""	"""c35_ILC_FCGR3A"""	282
"""II"""	"""Tumor"""	"""ILC"""	"""c36_ILC_SYNE2"""	68
"""II"""	"""Tumor"""	"""ILC"""	"""c37_ILC_SLC4A10"""	192
"""II"""	"""Tumor"""	"""ILC"""	"""c38_ILC_MKI67"""	37
"""II"""	"""Tumor"""	"""Mye"""	"""c49_Mono_CD14"""	1343
"""II"""	"""Tumor"""	"""Mye"""	"""c50_Mono_FCGR3A"""	123
"""II"""	"""Tumor"""	"""Mye"""	"""c51_Mono_NFKBIZ"""	18
"""II"""	"""Tumor"""	"""Mye"""	"""c52_Mast_TPSAB1"""	1145
"""II"""	"""Tumor"""	"""Mye"""	"""c53_Neu_CXCR2"""	124
"""II"""	"""Tumor"""	"""Mye"""	"""c54_pDC_LILRA4"""	45
"""II"""	"""Tumor"""	"""Mye"""	"""c55_pDC_GZMB"""	144
"""II"""	"""Tumor"""	"""Mye"""	"""c56_tDC_SIGLEC6"""	5
"""II"""	"""Tumor"""	"""Mye"""	"""c57_cDC_CLEC9A"""	85
"""II"""	"""Tumor"""	"""Mye"""	"""c58_cDC_CD1C"""	47
"""II"""	"""Tumor"""	"""Mye"""	"""c59_cDC_IL1B"""	370
"""II"""	"""Tumor"""	"""Mye"""	"""c60_cDC_LAMP3"""	188
"""II"""	"""Tumor"""	"""Mye"""	"""c61_Mph_FCGR3A"""	40
"""II"""	"""Tumor"""	"""Mye"""	"""c62_Mph_S100A8"""	602
"""II"""	"""Tumor"""	"""Mye"""	"""c63_Mph_CCL20"""	280
"""II"""	"""Tumor"""	"""Mye"""	"""c64_Mph_SPP1"""	659
"""II"""	"""Tumor"""	"""Mye"""	"""c65_Mph_APOE"""	583
"""II"""	"""Tumor"""	"""Stromal"""	"""c66_Endo_LYVE1"""	44
"""II"""	"""Tumor"""	"""Stromal"""	"""c67_Endo_ACKR1"""	479
"""II"""	"""Tumor"""	"""Stromal"""	"""c68_Endo_FABP5"""	266
"""II"""	"""Tumor"""	"""Stromal"""	"""c69_Endo_CXCL12"""	153
"""II"""	"""Tumor"""	"""Stromal"""	"""c70_Endo_COL4A1"""	1099
"""II"""	"""Tumor"""	"""Stromal"""	"""c71_Endo_MKI67"""	53
"""II"""	"""Tumor"""	"""Stromal"""	"""c72_Fibro_SOX6"""	881
"""II"""	"""Tumor"""	"""Stromal"""	"""c73_Fibro_ADAMDEC1"""	2012
"""II"""	"""Tumor"""	"""Stromal"""	"""c74_Fibro_C7"""	561
"""II"""	"""Tumor"""	"""Stromal"""	"""c75_Fibro_CCL19"""	146
"""II"""	"""Tumor"""	"""Stromal"""	"""c76_Fibro_PI16"""	2
"""II"""	"""Tumor"""	"""Stromal"""	"""c77_Fibro_ACTA2"""	291
"""II"""	"""Tumor"""	"""Stromal"""	"""c78_Fibro_DES"""	95
"""II"""	"""Tumor"""	"""Stromal"""	"""c79_Fibro_FAP"""	1255
"""II"""	"""Tumor"""	"""Stromal"""	"""c80_Fibro_MKI67"""	27
"""II"""	"""Tumor"""	"""Stromal"""	"""c81_Pericyte_RGS5"""	526
"""II"""	"""Tumor"""	"""Stromal"""	"""c82_SMC_MYH11"""	232
"""II"""	"""Tumor"""	"""Stromal"""	"""c83_Glia_PLP1"""	260
"""II"""	"""Tumor"""	"""T"""	"""c01_CD4_Tn_CCR7"""	760
"""II"""	"""Tumor"""	"""T"""	"""c02_CD4_Tn_SELL"""	223
"""II"""	"""Tumor"""	"""T"""	"""c03_CD4_Tn_NR4A2"""	2040
"""II"""	"""Tumor"""	"""T"""	"""c04_CD4_Tcm_ANXA1"""	590
"""II"""	"""Tumor"""	"""T"""	"""c05_CD4_Tcm_GPR183"""	3337
"""II"""	"""Tumor"""	"""T"""	"""c06_CD4_Trm_HSPA1A"""	2267
"""II"""	"""Tumor"""	"""T"""	"""c07_CD4_Th17_CTSH"""	1146
"""II"""	"""Tumor"""	"""T"""	"""c08_CD4_Tfh_CXCL13_IL6ST"""	1409
"""II"""	"""Tumor"""	"""T"""	"""c09_CD4_Th1_CXCL13_HAVCR2"""	1448
"""II"""	"""Tumor"""	"""T"""	"""c10_CD4_Temra_GZMB"""	353
"""II"""	"""Tumor"""	"""T"""	"""c11_CD4_Treg_FOXP3"""	150
"""II"""	"""Tumor"""	"""T"""	"""c12_CD4_Treg_KLRB1"""	1833
"""II"""	"""Tumor"""	"""T"""	"""c13_CD4_Treg_TNFRSF9"""	2521
"""II"""	"""Tumor"""	"""T"""	"""c14_CD4_MT"""	994
"""II"""	"""Tumor"""	"""T"""	"""c15_CD8_Tn_CCR7"""	152
"""II"""	"""Tumor"""	"""T"""	"""c16_CD8_Tn_SELL"""	266
"""II"""	"""Tumor"""	"""T"""	"""c17_CD8_Tcm_GPR183"""	541
"""II"""	"""Tumor"""	"""T"""	"""c18_CD8_Tcm_ANXA1"""	1653
"""II"""	"""Tumor"""	"""T"""	"""c19_CD8_Tem_CMC1"""	604
"""II"""	"""Tumor"""	"""T"""	"""c20_CD8_Tem_GZMK"""	5753
"""II"""	"""Tumor"""	"""T"""	"""c21_CD8_Trm_XCL1"""	1664
"""II"""	"""Tumor"""	"""T"""	"""c22_CD8_Trm_HSPA1B"""	3411
"""II"""	"""Tumor"""	"""T"""	"""c23_CD8_Tex_LAYN"""	4157
"""II"""	"""Tumor"""	"""T"""	"""c24_CD8_Temra_CX3CR1"""	567
"""II"""	"""Tumor"""	"""T"""	"""c25_CD8_Temra_TYROBP"""	315
"""II"""	"""Tumor"""	"""T"""	"""c26_CD8_MAIT_KLRB1"""	105
"""II"""	"""Tumor"""	"""T"""	"""c27_CD8_MAIT_SLC4A10"""	1723
"""II"""	"""Tumor"""	"""T"""	"""c28_CD8_IEL_CD160"""	1253
"""II"""	"""Tumor"""	"""T"""	"""c29_T_MKI67"""	1248
"""II"""	"""Tumor"""	"""T"""	"""c30_gdT_TRDV2"""	275
"""II"""	"""Tumor"""	"""T"""	"""c31_DNT"""	800
"""II"""	"""Tumor"""	"""T"""	"""c32_DPT"""	64
"""III"""	"""Blood"""	"""B"""	"""c39_NaiveB_TCL1A"""	5727
"""III"""	"""Blood"""	"""B"""	"""c40_NaiveB_IGHD"""	3
"""III"""	"""Blood"""	"""B"""	"""c41_MemB_CD27"""	2760
"""III"""	"""Blood"""	"""B"""	"""c42_MemB_GPR183"""	3
"""III"""	"""Blood"""	"""B"""	"""c44_GCB_MKI67"""	5
"""III"""	"""Blood"""	"""B"""	"""c45_PlasmaB_TXNDC5"""	307
"""III"""	"""Blood"""	"""B"""	"""c46_PlasmaB_IGHA1"""	11
"""III"""	"""Blood"""	"""B"""	"""c47_PlasmaB_IGHG1"""	8
"""III"""	"""Blood"""	"""B"""	"""c48_PlasmaB_MKI67"""	29
"""III"""	"""Blood"""	"""Epi"""	"""c85_Coloncyte_SLC26A3"""	2
"""III"""	"""Blood"""	"""Epi"""	"""c90_Epi_MKI67"""	2
"""III"""	"""Blood"""	"""Epi"""	"""c91_Epi_Tumor"""	1
"""III"""	"""Blood"""	"""ILC"""	"""c33_ILC_GZMK"""	1844
"""III"""	"""Blood"""	"""ILC"""	"""c34_ILC_NR4A2"""	11
"""III"""	"""Blood"""	"""ILC"""	"""c35_ILC_FCGR3A"""	5119
"""III"""	"""Blood"""	"""ILC"""	"""c36_ILC_SYNE2"""	261
"""III"""	"""Blood"""	"""ILC"""	"""c37_ILC_SLC4A10"""	3
"""III"""	"""Blood"""	"""ILC"""	"""c38_ILC_MKI67"""	136
"""III"""	"""Blood"""	"""Mye"""	"""c49_Mono_CD14"""	7298
"""III"""	"""Blood"""	"""Mye"""	"""c50_Mono_FCGR3A"""	2008
"""III"""	"""Blood"""	"""Mye"""	"""c51_Mono_NFKBIZ"""	137
"""III"""	"""Blood"""	"""Mye"""	"""c52_Mast_TPSAB1"""	10
"""III"""	"""Blood"""	"""Mye"""	"""c54_pDC_LILRA4"""	101
"""III"""	"""Blood"""	"""Mye"""	"""c56_tDC_SIGLEC6"""	10
"""III"""	"""Blood"""	"""Mye"""	"""c57_cDC_CLEC9A"""	50
"""III"""	"""Blood"""	"""Mye"""	"""c58_cDC_CD1C"""	349
"""III"""	"""Blood"""	"""Mye"""	"""c59_cDC_IL1B"""	2
"""III"""	"""Blood"""	"""Mye"""	"""c60_cDC_LAMP3"""	4
"""III"""	"""Blood"""	"""Mye"""	"""c61_Mph_FCGR3A"""	1
"""III"""	"""Blood"""	"""Mye"""	"""c62_Mph_S100A8"""	8
"""III"""	"""Blood"""	"""Mye"""	"""c64_Mph_SPP1"""	1
"""III"""	"""Blood"""	"""Mye"""	"""c65_Mph_APOE"""	2
"""III"""	"""Blood"""	"""Stromal"""	"""c70_Endo_COL4A1"""	1
"""III"""	"""Blood"""	"""T"""	"""c01_CD4_Tn_CCR7"""	7316
"""III"""	"""Blood"""	"""T"""	"""c02_CD4_Tn_SELL"""	4929
"""III"""	"""Blood"""	"""T"""	"""c03_CD4_Tn_NR4A2"""	4
"""III"""	"""Blood"""	"""T"""	"""c04_CD4_Tcm_ANXA1"""	4842
"""III"""	"""Blood"""	"""T"""	"""c06_CD4_Trm_HSPA1A"""	1
"""III"""	"""Blood"""	"""T"""	"""c08_CD4_Tfh_CXCL13_IL6ST"""	2
"""III"""	"""Blood"""	"""T"""	"""c10_CD4_Temra_GZMB"""	2328
"""III"""	"""Blood"""	"""T"""	"""c11_CD4_Treg_FOXP3"""	1093
"""III"""	"""Blood"""	"""T"""	"""c12_CD4_Treg_KLRB1"""	3
"""III"""	"""Blood"""	"""T"""	"""c14_CD4_MT"""	530
"""III"""	"""Blood"""	"""T"""	"""c15_CD8_Tn_CCR7"""	2792
"""III"""	"""Blood"""	"""T"""	"""c17_CD8_Tcm_GPR183"""	1870
"""III"""	"""Blood"""	"""T"""	"""c19_CD8_Tem_CMC1"""	3116
"""III"""	"""Blood"""	"""T"""	"""c24_CD8_Temra_CX3CR1"""	7125
"""III"""	"""Blood"""	"""T"""	"""c25_CD8_Temra_TYROBP"""	6190
"""III"""	"""Blood"""	"""T"""	"""c26_CD8_MAIT_KLRB1"""	738
"""III"""	"""Blood"""	"""T"""	"""c28_CD8_IEL_CD160"""	1
"""III"""	"""Blood"""	"""T"""	"""c29_T_MKI67"""	607
"""III"""	"""Blood"""	"""T"""	"""c30_gdT_TRDV2"""	3284
"""III"""	"""Blood"""	"""T"""	"""c31_DNT"""	7155
"""III"""	"""Blood"""	"""T"""	"""c32_DPT"""	1667
"""III"""	"""LN"""	"""B"""	"""c39_NaiveB_TCL1A"""	31
"""III"""	"""LN"""	"""B"""	"""c40_NaiveB_IGHD"""	707
"""III"""	"""LN"""	"""B"""	"""c41_MemB_CD27"""	58
"""III"""	"""LN"""	"""B"""	"""c42_MemB_GPR183"""	1517
"""III"""	"""LN"""	"""B"""	"""c43_GCB_LRMP"""	225
"""III"""	"""LN"""	"""B"""	"""c44_GCB_MKI67"""	168
"""III"""	"""LN"""	"""B"""	"""c46_PlasmaB_IGHA1"""	29
"""III"""	"""LN"""	"""B"""	"""c47_PlasmaB_IGHG1"""	91
"""III"""	"""LN"""	"""B"""	"""c48_PlasmaB_MKI67"""	20
"""III"""	"""LN"""	"""Epi"""	"""c84_Coloncyte_CA2"""	1
"""III"""	"""LN"""	"""Epi"""	"""c90_Epi_MKI67"""	5
"""III"""	"""LN"""	"""Epi"""	"""c91_Epi_Tumor"""	1
"""III"""	"""LN"""	"""ILC"""	"""c33_ILC_GZMK"""	2
"""III"""	"""LN"""	"""ILC"""	"""c34_ILC_NR4A2"""	66
"""III"""	"""LN"""	"""ILC"""	"""c35_ILC_FCGR3A"""	1
"""III"""	"""LN"""	"""ILC"""	"""c37_ILC_SLC4A10"""	33
"""III"""	"""LN"""	"""ILC"""	"""c38_ILC_MKI67"""	3
"""III"""	"""LN"""	"""Mye"""	"""c52_Mast_TPSAB1"""	8
"""III"""	"""LN"""	"""Mye"""	"""c53_Neu_CXCR2"""	1
"""III"""	"""LN"""	"""Mye"""	"""c55_pDC_GZMB"""	8
"""III"""	"""LN"""	"""Mye"""	"""c57_cDC_CLEC9A"""	5
"""III"""	"""LN"""	"""Mye"""	"""c59_cDC_IL1B"""	39
"""III"""	"""LN"""	"""Mye"""	"""c60_cDC_LAMP3"""	16
"""III"""	"""LN"""	"""Mye"""	"""c61_Mph_FCGR3A"""	2
"""III"""	"""LN"""	"""Mye"""	"""c62_Mph_S100A8"""	19
"""III"""	"""LN"""	"""Mye"""	"""c63_Mph_CCL20"""	4
"""III"""	"""LN"""	"""Mye"""	"""c65_Mph_APOE"""	6
"""III"""	"""LN"""	"""Stromal"""	"""c66_Endo_LYVE1"""	3
"""III"""	"""LN"""	"""Stromal"""	"""c67_Endo_ACKR1"""	32
"""III"""	"""LN"""	"""Stromal"""	"""c68_Endo_FABP5"""	54
"""III"""	"""LN"""	"""Stromal"""	"""c69_Endo_CXCL12"""	4
"""III"""	"""LN"""	"""Stromal"""	"""c70_Endo_COL4A1"""	4
"""III"""	"""LN"""	"""Stromal"""	"""c73_Fibro_ADAMDEC1"""	2
"""III"""	"""LN"""	"""Stromal"""	"""c75_Fibro_CCL19"""	3
