predicted_label	N
Activated C1QC+ TAMs	45646
SPP1+ TAMs	25010
pDCs	11607
AMs	8737
Resting C1QC+ TAMs	5444
CD1C+ DCs	3802
ISG15+ TAMs	2144
THBS1+ MDSCs	29
