metric	value
run_scope	fig4a_formal
cells_before_qc	122218
cells_after_qc	102419
peaks_after_assay_creation	1307563
libraries_before_qc	15
libraries_after_qc	15
samples_after_qc	45
clusters_after_qc	63
transferred_labels	8
transfer_features	2524
blacklist_ratio	not_available
