run_accession	file_role	ena_ftp_url	download_method	download_status	start_time	end_time	exit_code	expected_bytes	observed_local_bytes	byte_match_result	expected_md5	observed_md5	md5_match_result	observed_sha256	absolute_pc_local_path	notes
SRR23490337	BAM	https://ftp.sra.ebi.ac.uk/vol1/run/SRR234/SRR23490337/R3_possorted_genome_bam.bam.1	BITS Start-BitsTransfer with resume after transient remote connection closures	complete_verified	2026-07-13T18:52:29+08:00	2026-07-13T22:15:38+08:00	0	21494429186	21494429186	True	056a5c996212a64af708d48c5b585e48	056a5c996212a64af708d48c5b585e48	True	a1cfad6beeed72aab8fa1e6c20434b8305e38a9a04d52f6a7dac1505bb975ba3	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\local_only\20260713_prjna932556_ena_bam_pair_download\R3_possorted_genome_bam.bam.1	BAM transfer resumed through 6 transient remote connection closures; Complete-BitsTransfer finalized both files
SRR23490337	BAI	https://ftp.sra.ebi.ac.uk/vol1/run/SRR234/SRR23490337/R3_possorted_genome_bam.bam.1.bai	BITS Start-BitsTransfer with resume after transient remote connection closures	complete_verified	2026-07-13T18:52:29+08:00	2026-07-13T22:15:38+08:00	0	10390008	10390008	True	f391d287338dbf9d3856630338957bb8	f391d287338dbf9d3856630338957bb8	True	65806d7f4a3ffea2371f759bcf84f36e282067dab6f7d4ccfe04b503ee10adad	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\local_only\20260713_prjna932556_ena_bam_pair_download\R3_possorted_genome_bam.bam.1.bai	BAM transfer resumed through 6 transient remote connection closures; Complete-BitsTransfer finalized both files
