run_accession	ena_sample_accession	ena_experiment_accession	study_accession	file_role	reported_submitted_file_name	reported_submitted_bytes	observed_local_bytes	reported_md5	observed_md5	md5_match_result	observed_sha256	absolute_pc_local_path	download_status
SRR23490337	SAMN33196641	SRX19384059	PRJNA932556	BAM	R3_possorted_genome_bam.bam.1	21494429186	13917920681	056a5c996212a64af708d48c5b585e48		not_computed_incomplete		I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\local_only\20260713_prjna932556_ena_bam_pair_download\R3_possorted_genome_bam.bam.1	incomplete_suspended
SRR23490337	SAMN33196641	SRX19384059	PRJNA932556	BAI	R3_possorted_genome_bam.bam.1.bai	10390008	10390008	f391d287338dbf9d3856630338957bb8	f391d287338dbf9d3856630338957bb8	True	65806d7f4a3ffea2371f759bcf84f36e282067dab6f7d4ccfe04b503ee10adad	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\local_only\20260713_prjna932556_ena_bam_pair_download\R3_possorted_genome_bam.bam.1.bai	complete_verified
