score_set	input_genes	present_genes	missing_genes	present_gene_list
Myeloid_Mac_Mono	17	17	""	APOE,C1QA,C1QB,C1QC,CD68,CSF1R,FCGR3A,FCN1,LST1,LYZ,MRC1,MS4A7,S100A8,S100A9,SPP1,TREM2,VCAN
T_NK	17	17	""	CCR7,CD2,CD247,CD3D,CD3E,CD8A,CD8B,GNLY,GZMB,GZMK,IL7R,KLRD1,NKG7,PRF1,TRAC,TRBC1,TRBC2
DC	12	12	""	CCR7,CD1C,CD1E,CLEC10A,CLEC4C,FCER1A,FSCN1,HLA-DRA,IRF7,ITGAX,LAMP3,LILRA4
B_Plasma	12	12	""	BANK1,CD19,CD79A,CD79B,IGHA1,IGHG1,IGKC,JCHAIN,MS4A1,MZB1,SDC1,XBP1
Mast	7	7	""	CPA3,GATA2,HDC,KIT,MS4A2,TPSAB1,TPSB2
Epithelial	7	7	""	EPCAM,KRT18,KRT19,KRT7,KRT8,MUC1,TACSTD2
Endothelial	8	8	""	CDH5,CLDN5,ENG,ESAM,KDR,PECAM1,RAMP2,VWF
Cycling	5	5	""	MKI67,PCNA,STMN1,TOP2A,TYMS
RBC	5	4	ALAS2	HBA1,HBA2,HBB,SLC4A1
