cluster	cell_count	review_label	initial_action	audit_status	lineage_boundary_flag	non_myeloid_score_enriched	doublet_enriched_15	sample_dominated_70	patient_dominated_70	tissue_dominated_90	author_subtype_dominated_80	top_non_myeloid_set_mode	top_non_myeloid_fraction	scDblFinder_doublet_fraction	max_sample	max_sample_fraction	max_patient	max_patient_fraction	max_tissue	max_tissue_fraction	max_celltype_sub	max_celltype_sub_fraction
18	300	T_NK_boundary_signal	exclude_initial	lineage_boundary_and_module_score_review	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	T_NK	0.993333333333333	0.00666666666666667	metastasis normal	0.323333333333333	patient16	0.366666666666667	metastasis normal	0.333333333333333	hC56_Mph-CD3E	0.69
19	202	mixed_boundary_signal	review_before_keep	lineage_boundary_and_module_score_review	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Endothelial	0.816831683168317	0.0396039603960396	metastasis normal	0.945544554455445	patient17	0.851485148514852	metastasis normal	0.95049504950495	hC52_Mph-CXCL12	0.965346534653465
2	1220	mac_mono_supported	keep_initial	batch_or_sample_review	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	DC	0.89672131147541	0.0877049180327869	metastasis normal	0.65655737704918	patient17	0.785245901639344	metastasis normal	0.659836065573771	hC48_Mph-FCN1	0.736885245901639
20	177	B_plasma_boundary_signal	exclude_initial	lineage_boundary_and_doublet_enriched_review	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	B_Plasma	1	0.248587570621469	primary tumor	0.451977401129944	patient11	0.23728813559322	primary tumor	0.451977401129944	hC56_Mph-CD3E	0.977401129943503
21	58	mast_boundary_signal	exclude_initial	lineage_boundary_and_module_score_review	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	Mast	1	0	primary tumor	0.862068965517241	patient14	0.344827586206897	primary tumor	0.862068965517241	hC56_Mph-CD3E	0.982758620689655
22	48	mac_mono_supported	keep_initial	batch_or_sample_review	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	Cycling	0.625	0	metastasis normal	0.854166666666667	patient17	0.25	metastasis normal	0.916666666666667	hC52_Mph-CXCL12	0.958333333333333
3	1189	mac_mono_supported	keep_initial	batch_or_sample_review	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	DC	0.795626576955425	0.0218671152228764	metastasis normal	0.933557611438183	patient11	0.946173254835997	metastasis normal	0.935239697224558	hC46_Mono-CD14|FCGR3A	0.413793103448276
4	1086	mac_mono_supported	keep_initial	batch_or_sample_review	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	Endothelial	0.857274401473297	0.0230202578268877	PBMC	0.737569060773481	patient11	0.24585635359116	PBMC	0.737569060773481	hC44_Mono-CD14	0.784530386740332
5	1071	mac_mono_supported	keep_initial	retain_for_now	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	DC	0.870214752567694	0.100840336134454	primary tumor	0.42483660130719	patient12	0.338001867413632	primary tumor	0.42483660130719	hC49_Mph-NLRP3	0.764705882352941
6	1029	mac_mono_supported	keep_initial	batch_or_sample_review	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	Endothelial	0.694849368318756	0.0233236151603499	metastasis tumor	0.921282798833819	patient16	0.587949465500486	metastasis tumor	0.929057337220603	hC54_Mph-SPP1	0.904761904761905
7	869	mixed_boundary_signal	review_before_keep	lineage_boundary_and_module_score_review	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	Endothelial	0.93210586881473	0.00690448791714614	PBMC	0.926352128883775	patient17	0.353279631760644	PBMC	0.926352128883775	hC45_Mono-FCGR3A	0.985040276179517
8	719	mac_mono_supported	keep_initial	retain_for_now	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Cycling	0.752433936022253	0.0389429763560501	primary tumor	0.585535465924896	patient17	0.229485396383866	primary tumor	0.585535465924896	hC53_Mph-C1QC	0.445062586926287
9	660	mac_mono_supported	keep_initial	retain_for_now	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Endothelial	0.815151515151515	0.175757575757576	metastasis normal	0.671212121212121	patient14	0.328787878787879	metastasis normal	0.681818181818182	hC45_Mono-FCGR3A	0.686363636363636
