cluster	cell_count	dominant_tissue_by_count	top10_genes	mac_mono_marker_hits_top50	boundary_marker_hits_top50	review_label	initial_action	reason	nCount_RNA	nFeature_RNA	n_counts	n_genes	percent_mito	percent_mt_calculated	max_sample	max_sample_fraction	sample_entropy	norm_sample_entropy	sample_count	max_patient	max_patient_fraction	patient_entropy	norm_patient_entropy	patient_count	max_tissue	max_tissue_fraction	tissue_entropy	norm_tissue_entropy	tissue_count	max_celltype_sub	max_celltype_sub_fraction	celltype_sub_entropy	norm_celltype_sub_entropy	celltype_sub_count	max_celltype_major	max_celltype_major_fraction	celltype_major_entropy	norm_celltype_major_entropy	celltype_major_count	max_expression_group	max_expression_group_fraction	expression_group_entropy	norm_expression_group_entropy	expression_group_count	top_non_myeloid_fraction	top_non_myeloid_set_mode	median_myeloid_score_z	median_top_non_myeloid_score_z	scDblFinder_cells	scDblFinder_doublet_cells	scDblFinder_doublet_fraction	scDblFinder_median_score	scDblFinder_q90_score	knn_sample_norm_entropy	knn_patient_norm_entropy	knn_tissue_norm_entropy	knn_expression_group_norm_entropy	sample_dominated_70	patient_dominated_70	tissue_dominated_90	author_subtype_dominated_80	doublet_enriched_15	non_myeloid_score_enriched	lineage_boundary_flag	small_cluster_flag	doublet_enriched_for_status	audit_status
18	300	metastasis normal	CMTM2,MALAT1,PTPRCAP,H3F3B,B2M,IL32,IFITM1,CXCR2,HLA-B,PTMA	none	T_NK:PTPRCAP,IL32,CD3E	T_NK_boundary_signal	exclude_initial	T_NK:PTPRCAP,IL32,CD3E	2351.20656406879	999.5	2033.7595	999.5	0.0419826785	1.30406382467043	metastasis normal	0.323333333333333	1.58906795084303	0.723215991316426	9	patient16	0.366666666666667	1.74105592889709	0.79238870111668	9	metastasis normal	0.333333333333333	1.50597049364962	0.840498135778482	6	hC56_Mph-CD3E	0.69	1.19982220688729	0.500364724222122	11	Macrophage	0.833333333333333	0.450561208866305	0.650022421648354	2	MN	0.333333333333333	1.50597049364962	0.840498135778482	6	0.993333333333333	T_NK	-2.27181298866522	2.21638460995652	300	2	0.00666666666666667	0.0584623909799606	0.153954418978729	0.731827289107278	0.764276959086953	0.743622462137679	0.743622462137679	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	lineage_boundary_and_module_score_review
19	202	metastasis normal	LINC00704,NDST3,SLC16A9,CDH5,KIAA1217,CD5L,TMEM26,BCAM,TSPAN6,TIMD4	C1QC_APOE_macrophage:CD5L,TIMD4,SEPP1	Endothelial_epithelial:CDH5	mixed_boundary_signal	review_before_keep	Endothelial_epithelial:CDH5; mac_mono=C1QC_APOE_macrophage:CD5L,TIMD4,SEPP1	4066.43923819065	2989.5	2752.7965	2989.5	0.0315700395	0.761861424670375	metastasis normal	0.945544554455445	0.25279219516623	0.182351023170878	4	patient17	0.851485148514852	0.672190032526949	0.305926867676799	9	metastasis normal	0.95049504950495	0.221827409659162	0.20191600981279	3	hC52_Mph-CXCL12	0.965346534653465	0.194816978851428	0.121046594805754	5	Macrophage	1	0	0	1	MN	0.95049504950495	0.221827409659162	0.20191600981279	3	0.816831683168317	Endothelial	0.807682382375701	1.66994440654455	202	8	0.0396039603960396	0.143991943101175	0.29768221422337	0	0.210842300318532	0	0	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	lineage_boundary_and_module_score_review
2	1220	metastasis normal	APOBEC3A,PHLDA1,PPIF,THBS1,SEMA6B,PNP,LAMB3,CREM,ATP2B1,TIMP1	Classical_monocyte:VCAN,FCN1,S100A8,S100A9;Inflammatory:EREG,CXCL2,CXCL8	none	mac_mono_supported	keep_initial	Classical_monocyte:VCAN,FCN1,S100A8,S100A9;Inflammatory:EREG,CXCL2,CXCL8	3423.59073126316	2008	2572.48355	2008	0.0326023975	0.915660100986948	metastasis normal	0.65655737704918	0.869551276903545	0.395749840900531	9	patient17	0.785245901639344	0.766438127782089	0.348821024344845	9	metastasis normal	0.659836065573771	0.841432047128323	0.469612167023087	6	hC48_Mph-FCN1	0.736885245901639	0.954094244438638	0.397888204402355	11	Macrophage	0.922950819672131	0.27150261630995	0.391695478138743	2	MN	0.659836065573771	0.841432047128323	0.469612167023087	6	0.89672131147541	DC	-0.0731179801378739	0.672437296586441	1220	107	0.0877049180327869	0.163884820493847	0.378887081498728	0.468995593589281	0.210842300318532	0.468995593589281	0.468995593589281	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	batch_or_sample_review
20	177	primary tumor	IGHJ4,DPEP1,ITGA8,AC104699.1,SDC1,TNFRSF17,FAM92B,IGKV3OR2-268,SCNN1B,TRPV3	none	B_plasma:IGHJ4,SDC1,TNFRSF17,MZB1,CD79A,IGKC,JCHAIN	B_plasma_boundary_signal	exclude_initial	B_plasma:IGHJ4,SDC1,TNFRSF17,MZB1,CD79A,IGKC,JCHAIN	4008.37293577194	3117	2047.4475	3117	0.022695886	0.833063534425116	primary tumor	0.451977401129944	1.55347782097083	0.747064916148536	8	patient11	0.23728813559322	1.95939278090211	0.850953472626854	10	primary tumor	0.451977401129944	1.45824571216978	0.813862428084747	6	hC56_Mph-CD3E	0.977401129943503	0.131484533651594	0.0948460423263762	4	Macrophage	0.994350282485876	0.0348775115189437	0.0503176129069278	2	PT	0.451977401129944	1.45824571216978	0.813862428084747	6	1	B_Plasma	-0.823127235822747	5.96466294252758	177	44	0.248587570621469	0.314388698542551	0.444181391081198	0.781992311477	0.810895075983211	0.796026905399756	0.796026905399756	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	lineage_boundary_and_doublet_enriched_review
21	58	primary tumor	AC004791.2,XXbac-BPG13B8.10,HDC,ADCYAP1,MS4A2,TMEM233,RP11-354E11.2,CPA3,ADAMTS7,CMA1	none	B_plasma:TNFRSF17,MZB1,JCHAIN,CD79A;Mast:HDC,MS4A2,CPA3,CMA1,TPSB2,TPSAB1	mast_boundary_signal	exclude_initial	B_plasma:TNFRSF17,MZB1,JCHAIN,CD79A;Mast:HDC,MS4A2,CPA3,CMA1,TPSB2,TPSAB1	2860.92625284195	1462	1936.22795	1462.5	0.0377718115	1.24775478773608	primary tumor	0.862068965517241	0.453158160291342	0.412482333363231	3	patient14	0.344827586206897	1.50845529159738	0.775192673890774	7	primary tumor	0.862068965517241	0.453158160291342	0.412482333363231	3	hC56_Mph-CD3E	0.982758620689655	0.0870995231917753	0.125658050172567	2	Macrophage	1	0	0	1	PT	0.862068965517241	0.453158160291342	0.412482333363231	3	1	Mast	-3.67301049924794	16.1884725352687	58	0	0	0.153327619447909	0.278708193673469	0.638501929598189	0.778931355860385	0.638501929598189	0.638501929598189	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	lineage_boundary_and_module_score_review
22	48	metastasis normal	CD5L,CETP,TIMD4,SELENBP1,VCAM1,ITLN1,CXCL12,IFI27,SEPP1,NDST3	C1QC_APOE_macrophage:CD5L,TIMD4,SEPP1,C1QB,C1QC,C1QA,APOE,FOLR2;SPP1_TREM2_macrophage:APOC1;Nonclassical_monocyte:MS4A7	none	mac_mono_supported	keep_initial	C1QC_APOE_macrophage:CD5L,TIMD4,SEPP1,C1QB,C1QC,C1QA,APOE,FOLR2;SPP1_TREM2_macrophage:APOC1;Nonclassical_monocyte:MS4A7	2413.95698750019	1041	1958.34905	1041	0.005854133	0.842700757153354	metastasis normal	0.854166666666667	0.612548139694635	0.380597558291778	5	patient17	0.25	1.77076522206009	0.909993312342685	7	metastasis normal	0.916666666666667	0.344598248102823	0.313666842850076	3	hC52_Mph-CXCL12	0.958333333333333	0.173205206749177	0.249882292833185	2	Macrophage	1	0	0	1	MN	0.916666666666667	0.344598248102823	0.313666842850076	3	0.625	Cycling	1.23622279411251	1.40504274554331	48	0	0	0.145259540107562	0.272828030311811	0.383254753276453	0.872169223435182	0.210842300318532	0.210842300318532	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	batch_or_sample_review
3	1189	metastasis normal	CLEC4E,DDIT4,CXCR4,FCN1,TSC22D3,DUSP1,ZFP36,PLIN2,LYZ,LSP1	Classical_monocyte:FCN1	none	mac_mono_supported	keep_initial	Classical_monocyte:FCN1	3102.41236460209	1627	2470.4072	1627	0.040632054	1.03732284918699	metastasis normal	0.933557611438183	0.331365159170366	0.184938416601827	6	patient11	0.946173254835997	0.309933446587955	0.134602385610405	10	metastasis normal	0.935239697224558	0.319052512452027	0.19823847194546	5	hC46_Mono-CD14|FCGR3A	0.413793103448276	1.3577197084856	0.589650177366587	10	Monocyte	0.539949537426409	0.689951844635459	0.995390104707769	2	MN	0.935239697224558	0.319052512452027	0.19823847194546	5	0.795626576955425	DC	0.0259521073738435	0.610736709842089	1189	26	0.0218671152228764	0.107334895508018	0.290539639048794	0	0	0	0	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	batch_or_sample_review
4	1086	PBMC	S100A8,S100A12,S100A9,NCF1,FCN1,VCAN,CSF3R,LYZ,MNDA,LINC00937	Classical_monocyte:S100A8,S100A12,S100A9,FCN1,VCAN,CSF3R;Nonclassical_monocyte:LST1	none	mac_mono_supported	keep_initial	Classical_monocyte:S100A8,S100A12,S100A9,FCN1,VCAN,CSF3R;Nonclassical_monocyte:LST1	3272.38650012016	1794	2609.2997	1794	0.0442676695	0.955502671106398	PBMC	0.737569060773481	0.922400166849902	0.41980240725696	9	patient11	0.24585635359116	1.97944036641837	0.859660028392049	10	PBMC	0.737569060773481	0.898845342282885	0.501655137154171	6	hC44_Mono-CD14	0.784530386740332	0.773445431604578	0.352010185750906	9	Monocyte	0.934622467771639	0.24151449209797	0.348431760052558	2	PBMC	0.737569060773481	0.898845342282885	0.501655137154171	6	0.857274401473297	Endothelial	-0.177459356466894	0.388395188274913	1086	25	0.0230202578268877	0.0834731881608998	0.26105665340423	0.210842300318532	0.684318932327552	0.210842300318532	0.210842300318532	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	batch_or_sample_review
5	1071	primary tumor	PTGS2,CCL20,CCL3L3,EREG,CXCL2,CXCL8,IL1B,BCL2A1,IER3,CCL4L2	Inflammatory:PTGS2,EREG,CXCL2,CXCL8,IL1B,CCL3,NFKBIA,CCL4	none	mac_mono_supported	keep_initial	Inflammatory:PTGS2,EREG,CXCL2,CXCL8,IL1B,CCL3,NFKBIA,CCL4	3125.30871415138	1690	2321.1238	1690	0.035526756	1.03570567139811	primary tumor	0.42483660130719	1.45103706431786	0.697801325612486	8	patient12	0.338001867413632	1.88787743280153	0.819894751575382	10	primary tumor	0.42483660130719	1.43921910015999	0.803243473734817	6	hC49_Mph-NLRP3	0.764705882352941	1.00228264011061	0.403348206338504	12	Macrophage	0.967320261437908	0.143937228063942	0.207657525127153	2	PT	0.42483660130719	1.43921910015999	0.803243473734817	6	0.870214752567694	DC	0.00267166513800635	1.02127705424018	1071	108	0.100840336134454	0.215050567616802	0.397014150470956	0.779414980518326	0.752992458890601	0.792155476756316	0.792155476756316	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	retain_for_now
6	1029	metastasis tumor	AGRP,SPOCD1,ANGPTL4,DEFB1,NT5E,SPP1,SERPINE1,CST6,ENO2,TNS1	SPP1_TREM2_macrophage:SPP1,GPNMB,APOC1	none	mac_mono_supported	keep_initial	SPP1_TREM2_macrophage:SPP1,GPNMB,APOC1	3913.441229105	2660	2839.7488	2660	0.02532928	0.732627655401176	metastasis tumor	0.921282798833819	0.358900801759712	0.200306351339858	6	patient16	0.587949465500486	1.29297272775645	0.588457247881313	9	metastasis tumor	0.929057337220603	0.30959891102804	0.223328406802388	4	hC54_Mph-SPP1	0.904761904761905	0.410881916462044	0.211151535779551	7	Macrophage	0.990281827016521	0.0547024561606803	0.0789189622274594	2	MT	0.929057337220603	0.30959891102804	0.223328406802388	4	0.694849368318756	Endothelial	0.60171497038774	1.0027008485422	1029	24	0.0233236151603499	0.123504655379728	0.290675506770792	0.210842300318532	0.505033668999299	0	0	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	batch_or_sample_review
