dataset_id	gsm	sample_label	tissue_site	feature_column_index	mt_upper_prefix_count	n	min	q1	median	mean	q3	max
GSE245552	GSM7844834	Pt10_T2	liver metastasis	2	0	8503	0	0	0	0	0	0
GSE245552	GSM7844834	Pt10_T2	liver metastasis	3	0	8503	0	0	0	0	0	0
GSE245552	GSM7844835	Pt11_T1	primary tumor	1	0	7175	0	0	0	0	0	0
GSE245552	GSM7844835	Pt11_T1	primary tumor	2	0	7175	0	0	0	0	0	0
GSE245552	GSM7844835	Pt11_T1	primary tumor	3	0	7175	0	0	0	0	0	0
GSE245552	GSM7844836	Pt11_T2	liver metastasis	1	0	5356	0	0	0	0	0	0
GSE245552	GSM7844836	Pt11_T2	liver metastasis	2	0	5356	0	0	0	0	0	0
GSE245552	GSM7844836	Pt11_T2	liver metastasis	3	0	5356	0	0	0	0	0	0
GSE245552	GSM7844837	Pt13_T1	primary tumor	1	0	4471	0	0	0	0	0	0
GSE245552	GSM7844837	Pt13_T1	primary tumor	2	0	4471	0	0	0	0	0	0
GSE245552	GSM7844837	Pt13_T1	primary tumor	3	0	4471	0	0	0	0	0	0
GSE245552	GSM7844838	Pt13_Z1	colon adjacent tissue	1	13	8136	0	0	0	9.38339802476524	16.0415618591672	49.9847421422032
GSE245552	GSM7844838	Pt13_Z1	colon adjacent tissue	2	13	8136	0	0	0	9.38339802476524	16.0415618591672	49.9847421422032
GSE245552	GSM7844838	Pt13_Z1	colon adjacent tissue	3	0	8136	0	0	0	0	0	0
GSE245552	GSM7844839	Pt15_T1	primary tumor	1	0	11377	0	0	0	0	0	0
GSE245552	GSM7844839	Pt15_T1	primary tumor	2	0	11377	0	0	0	0	0	0
GSE245552	GSM7844839	Pt15_T1	primary tumor	3	0	11377	0	0	0	0	0	0
GSE245552	GSM7844840	Pt15_T2	liver metastasis	1	0	5752	0	0	0	0	0	0
GSE245552	GSM7844840	Pt15_T2	liver metastasis	2	0	5752	0	0	0	0	0	0
GSE245552	GSM7844840	Pt15_T2	liver metastasis	3	0	5752	0	0	0	0	0	0
GSE245552	GSM7844841	Pt15_Z1	colon adjacent tissue	1	13	5853	0	4.32354293974637	10.6471816283925	15.9099901117968	26.7924528301887	49.9716392512762
GSE245552	GSM7844841	Pt15_Z1	colon adjacent tissue	2	13	5853	0	4.32354293974637	10.6471816283925	15.9099901117968	26.7924528301887	49.9716392512762
GSE245552	GSM7844841	Pt15_Z1	colon adjacent tissue	3	0	5853	0	0	0	0	0	0
GSE245552	GSM7844842	Pt16_T1	liver metastasis	1	0	396	0	0	0	0	0	0
GSE245552	GSM7844842	Pt16_T1	liver metastasis	2	0	396	0	0	0	0	0	0
GSE245552	GSM7844842	Pt16_T1	liver metastasis	3	0	396	0	0	0	0	0	0
GSE245552	GSM7844843	Pt16_Z1	liver adjacent tissue	1	13	285	0	0	0	0.41050079342544	0	15.6558533145275
GSE245552	GSM7844843	Pt16_Z1	liver adjacent tissue	2	13	285	0	0	0	0.41050079342544	0	15.6558533145275
GSE245552	GSM7844843	Pt16_Z1	liver adjacent tissue	3	0	285	0	0	0	0	0	0
GSE245552	GSM7844844	Pt17_T1	primary tumor	1	0	1677	0	0	0	0	0	0
GSE245552	GSM7844844	Pt17_T1	primary tumor	2	0	1677	0	0	0	0	0	0
GSE245552	GSM7844844	Pt17_T1	primary tumor	3	0	1677	0	0	0	0	0	0
GSE245552	GSM7844845	Pt17_T2	liver metastasis	1	0	1907	0	0	0	0	0	0
GSE245552	GSM7844845	Pt17_T2	liver metastasis	2	0	1907	0	0	0	0	0	0
GSE245552	GSM7844845	Pt17_T2	liver metastasis	3	0	1907	0	0	0	0	0	0
GSE245552	GSM7844846	Pt17_Z1	colon adjacent tissue	1	13	4801	0	0	0	1.60521799942982	0	49.9503968253968
GSE245552	GSM7844846	Pt17_Z1	colon adjacent tissue	2	13	4801	0	0	0	1.60521799942982	0	49.9503968253968
GSE245552	GSM7844846	Pt17_Z1	colon adjacent tissue	3	0	4801	0	0	0	0	0	0
GSE245552	GSM7844847	Pt18_T1	primary tumor	1	0	4639	0	0	0	0	0	0
GSE245552	GSM7844847	Pt18_T1	primary tumor	2	0	4639	0	0	0	0	0	0
GSE245552	GSM7844847	Pt18_T1	primary tumor	3	0	4639	0	0	0	0	0	0
GSE245552	GSM7844848	Pt18_T2	liver metastasis	1	0	7009	0	0	0	0	0	0
GSE245552	GSM7844848	Pt18_T2	liver metastasis	2	0	7009	0	0	0	0	0	0
GSE245552	GSM7844848	Pt18_T2	liver metastasis	3	0	7009	0	0	0	0	0	0
GSE245552	GSM7844849	Pt18_Z1	colon adjacent tissue	1	13	3089	0	0	0	8.73417404766373	15.7759359817091	49.9575911789652
GSE245552	GSM7844849	Pt18_Z1	colon adjacent tissue	2	13	3089	0	0	0	8.73417404766373	15.7759359817091	49.9575911789652
GSE245552	GSM7844849	Pt18_Z1	colon adjacent tissue	3	0	3089	0	0	0	0	0	0
GSE245552	GSM7844850	Pt18_Z2	liver adjacent tissue	1	13	7442	0	0	0	0.00298157827831583	0	22.1889055472264
GSE245552	GSM7844850	Pt18_Z2	liver adjacent tissue	2	13	7442	0	0	0	0.00298157827831583	0	22.1889055472264
GSE245552	GSM7844850	Pt18_Z2	liver adjacent tissue	3	0	7442	0	0	0	0	0	0
