annotation	N	fraction
Promoter	22619	0.759868310545235
Intron	3097	0.104041388114355
Distal Intergenic	2747	0.0922834010817348
Exon	805	0.027043370175026
3' UTR	316	0.0106157825780226
Downstream	111	0.00372896160177378
5' UTR	72	0.00241878590385326
