Sample	Tissue	tissue_group	predicted_label	N	sample_total	proportion
CR027_2T	CR027T	Tumor	THBS1+ MDSCs	161	2583	0.0623306233062331
CR028_2T	CR028T	Tumor	pDCs	149	2661	0.0559939872228486
CR029_2T	CR029T	Tumor	pDCs	137	2899	0.0472576750603656
CR028_2T	CR028T	Tumor	THBS1+ MDSCs	131	2661	0.0492296129274709
CR029_2T	CR029T	Tumor	HSP+ Mono	278	2899	0.0958951362538807
CR029_2T	CR029T	Tumor	Resting C1QC+ TAMs	183	2899	0.0631252155915833
CR027_2T	CR027T	Tumor	HSP+ Mono	220	2583	0.0851722802942315
CR028_2T	CR028T	Tumor	Resting C1QC+ TAMs	131	2661	0.0492296129274709
CR029_2T	CR029T	Tumor	S100A12+ MDSCs	52	2899	0.0179372197309417
CR028_2T	CR028T	Tumor	S100A12+ MDSCs	48	2661	0.0180383314543405
CR049T	CR049T	Tumor	AMs	3160	3160	1
CR035T	CR035T	Tumor	AMs	1190	1190	1
