dataset_id	object_label	sample_label	tissue_site	review_class	score_margin_n	score_margin_q1	score_margin_median	score_margin_mean	score_margin_q3	top_score_n	top_score_q1	top_score_median	top_score_mean	top_score_q3
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	628	0	0	0.34905774864811	0.346534211015473	628	0	0	0.743025083602618	0.966224358837178
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	59	0	0	0.165195564350606	0.282332294173654	59	0.357488098873046	0.456356587430765	0.588587145417127	0.74222768370115
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	6708	1.20617874828533	1.94533401227324	1.77211340834206	2.42591863812699	6708	1.92451676141265	2.59971480526749	2.3784724235003	3.0136481423072
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		immune_review	6691	0.680997712345442	1.02007085000896	1.06911511616176	1.44393417836387	6691	1.01739119481965	1.42115201845456	1.40430304970439	1.73998610428146
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		pericyte_review	22	0	0	0.199893612947743	0.475590668683848	22	0.596571897192771	0.686416831584544	0.805098401629011	1.00806259620982
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		caf_ecm_review	374	0	0	0.0351254281187202	0	374	0	0	0.0563135819134137	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		endothelial_review	111	0	0.0389912003838682	0.114390932325308	0.180914239989881	111	0.17806808922711	0.27759493157703	0.322387700052727	0.411057809713912
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		epithelial_review	1678	0.544046175576347	1.43408351785104	1.31380579433224	2.00351379195806	1678	1.23131515025025	2.413632986358	2.11636499058871	2.87709905322362
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		immune_review	10926	0.908977975543922	1.31464745095095	1.30132808178195	1.68382370814271	10926	1.11509580613593	1.52021136352366	1.48461652322163	1.8147299182214
GSE178318	gse178318_working_qc_sparse_matrix	COL07_LM		pericyte_review	17	0	0	0.177250818270601	0.194353869355747	17	0.535415190445042	0.629612204683626	0.682309271784288	0.719454842466287
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		caf_ecm_review	1501	0	0	0.404271368210594	0.341133436273043	1501	0	0	0.755986685427867	0.481390715899287
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		endothelial_review	121	0	0.16648164558842	0.271720508878663	0.525553628478184	121	0.268791340758825	0.524056343381846	0.533789154316729	0.661955395183653
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		epithelial_review	409	0	0.59189729612019	1.33830871410393	2.72168140909583	409	0.588526654548761	0.726547235592784	1.6603733819131	3.03012563476332
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		immune_review	7632	0.72189287059385	1.13429605375308	1.15036445233004	1.53391563399435	7632	0.866024148577846	1.32790526054384	1.30176462435498	1.67850240750563
GSE178318	gse178318_working_qc_sparse_matrix	COL12_CRC		pericyte_review	56	0	0.282044408942136	0.317986751371502	0.62028135306024	56	0.558838861106226	0.616710484727234	0.685629058416066	0.701829188937375
GSE178318	gse178318_working_qc_sparse_matrix	COL12_LM		caf_ecm_review	108	0	0	0.0706353607659456	0	108	0	0	0.160197989823708	0
GSE178318	gse178318_working_qc_sparse_matrix	COL12_LM		endothelial_review	13	0	0	0.292598389356167	0.299113684169821	13	0.566321085050205	0.666147247829398	0.773207474176268	0.824991182552793
GSE178318	gse178318_working_qc_sparse_matrix	COL12_LM		epithelial_review	232	2.35855223433118	2.90274399594905	2.53746378750438	3.31616046665806	232	2.56332743800697	3.03006530012635	2.70915306198571	3.37695842558381
GSE178318	gse178318_working_qc_sparse_matrix	COL12_LM		immune_review	2166	0.87531057953584	1.27610970458985	1.25838759898345	1.62350967062634	2166	0.991804754737475	1.43640239475493	1.38433304857088	1.73525783169564
GSE178318	gse178318_working_qc_sparse_matrix	COL12_LM		pericyte_review	42	0	0.175514739381443	0.328378659459152	0.63951260518762	42	0.593352591028686	0.703582796736364	0.952641810712991	1.1957386056665
GSE178318	gse178318_working_qc_sparse_matrix	COL12_PBMC		caf_ecm_review	1329	0	0	0.026903283878742	0	1329	0	0	0.0283836727462229	0
GSE178318	gse178318_working_qc_sparse_matrix	COL12_PBMC		endothelial_review	89	0	0	0.204435692613001	0.482963745992433	89	0.431934234065041	0.497416440867911	0.498881114038225	0.573113819934821
GSE178318	gse178318_working_qc_sparse_matrix	COL12_PBMC		epithelial_review	18	0	0.109917696169714	0.221522055153159	0.486564886271088	18	0.463704591963417	0.506888934523469	0.495161112843019	0.527752042488725
GSE178318	gse178318_working_qc_sparse_matrix	COL12_PBMC		immune_review	10886	0.676126210700628	1.03536015755332	1.06874203123789	1.39514984178993	10886	0.724842653399	1.1048017513848	1.13806192805581	1.46250389425104
GSE178318	gse178318_working_qc_sparse_matrix	COL12_PBMC		pericyte_review	60	0	0	0.182742836259597	0.511261634622074	60	0.495235502900086	0.540301459296411	0.523127980482608	0.58725970830766
GSE178318	gse178318_working_qc_sparse_matrix	COL15_CRC		caf_ecm_review	368	0	0.115188393278708	0.420939455801945	0.63462077191089	368	0	0.251084311909757	1.14882437992662	2.61087735695945
GSE178318	gse178318_working_qc_sparse_matrix	COL15_CRC		endothelial_review	65	0	0.259245455485109	0.441238669762942	0.73566752183687	65	0.259245455485109	0.530169967516194	0.767223668834275	1.17143093948564
GSE178318	gse178318_working_qc_sparse_matrix	COL15_CRC		epithelial_review	488	0.636787325139098	2.29199178761485	1.84937267699739	2.75418466922741	488	0.961954309329466	2.45261951020734	2.0810578872328	2.92797034538354
