dataset_id	object_label	sample_label	tissue_site	review_class	cell_count	total_cells	fraction
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		epithelial_review	105	9582	0.0109580463368817
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		immune_review	8556	9582	0.892924232936756
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		pericyte_review	57	9582	0.00594865372573575
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		caf_ecm_review	795	6679	0.119029794879473
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		endothelial_review	68	6679	0.0101811648450367
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		epithelial_review	15	6679	0.00224584518640515
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		immune_review	5765	6679	0.863153166641713
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		pericyte_review	36	6679	0.00539002844737236
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		caf_ecm_review	1692	7942	0.213044573155376
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		endothelial_review	236	7942	0.029715436917653
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		epithelial_review	321	7942	0.0404180307227399
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		immune_review	5578	7942	0.70234197935029
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		pericyte_review	115	7942	0.0144799798539411
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		caf_ecm_review	749	10064	0.0744236883942766
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		endothelial_review	105	10064	0.0104332273449921
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		epithelial_review	466	10064	0.0463036565977742
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		immune_review	8679	10064	0.862380763116057
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		pericyte_review	65	10064	0.00645866454689984
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		caf_ecm_review	683	7839	0.0871284602627886
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		endothelial_review	109	7839	0.0139048348003572
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		epithelial_review	11	7839	0.00140324020921036
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		immune_review	6977	7839	0.890036994514606
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		pericyte_review	59	7839	0.00752647021303738
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	caf_ecm_review	448	3854	0.116242864556305
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	endothelial_review	176	3854	0.0456668396471199
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	epithelial_review	1560	3854	0.404774260508563
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	immune_review	1652	3854	0.428645563051375
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	pericyte_review	18	3854	0.00467047223663726
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	caf_ecm_review	322	6002	0.0536487837387538
