dataset_id	object_label	sample_label	tissue_site	review_class	top_marker_program	marker_group	gene_symbol	present	cell_count	pct_expr	mean_log_norm
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	epithelial_tumor	KRT19	TRUE	574	0.209059233449477	0.339568761270589
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	epithelial_tumor	KRT19	TRUE	47	0.212765957446809	0.271702688437604
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	epithelial_tumor	KRT19	TRUE	7	0.142857142857143	0.212456126010609
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	epithelial_tumor	KRT8	TRUE	574	0.130662020905923	0.187587770343792
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	epithelial_tumor	KRT8	TRUE	47	0.148936170212766	0.186680473509565
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	epithelial_tumor	KRT8	TRUE	7	0.142857142857143	0.311875346797312
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	fibroblast_ecm	COL1A1	TRUE	574	0.259581881533101	0.920954902280358
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	fibroblast_ecm	COL1A1	TRUE	47	0.127659574468085	0.213726336270679
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	fibroblast_ecm	COL1A1	TRUE	7	0.142857142857143	0.575351225863326
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	fibroblast_ecm	COL1A2	TRUE	574	0.271777003484321	0.881106221528424
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	fibroblast_ecm	COL1A2	TRUE	47	0.106382978723404	0.191039047294312
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	fibroblast_ecm	COL1A2	TRUE	7	0.285714285714286	0.822261932682925
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	fibroblast_ecm	COL3A1	TRUE	574	0.264808362369338	0.861878432419203
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	fibroblast_ecm	COL3A1	TRUE	47	0.0851063829787234	0.165926548262262
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	fibroblast_ecm	COL3A1	TRUE	7	0.142857142857143	0.497302706184856
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	fibroblast_ecm	DCN	TRUE	574	0.261324041811847	0.831146088271848
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	fibroblast_ecm	DCN	TRUE	47	0.0851063829787234	0.300148126656489
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	fibroblast_ecm	DCN	TRUE	7	0.142857142857143	0.497302706184856
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	fibroblast_ecm	LUM	TRUE	574	0.259581881533101	0.905600662879261
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	fibroblast_ecm	LUM	TRUE	47	0.0851063829787234	0.229685949616033
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	fibroblast_ecm	LUM	TRUE	7	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	fibroblast_ecm	PRELP	TRUE	574	0.078397212543554	0.101430343155978
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	fibroblast_ecm	PRELP	TRUE	47	0.0425531914893617	0.0521557005080079
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	fibroblast_ecm	PRELP	TRUE	7	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	immune_context	CD3D	TRUE	574	0.0435540069686411	0.0595335417347008
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	immune_context	CD3D	TRUE	47	0.0212765957446809	0.0310557698706646
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	immune_context	CD3D	TRUE	7	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	immune_context	LYZ	TRUE	574	0.0557491289198606	0.0682938347477404
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	immune_context	LYZ	TRUE	47	0.319148936170213	0.547932284668346
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	immune_context	LYZ	TRUE	7	0.142857142857143	0.402611532677378
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	immune_context	PTPRC	TRUE	574	0.0278745644599303	0.0336095718534757
