dataset_id	object_label	object_path	file_size_bytes	cells
GSE245552	gse245552_Pt08_T3_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt08_T3_working_qc_sparse_matrix_stromal_first_pass_review.rds	93242	4262
GSE245552	gse245552_Pt08_T4_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt08_T4_working_qc_sparse_matrix_stromal_first_pass_review.rds	89289	4096
GSE245552	gse245552_Pt09_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt09_T1_working_qc_sparse_matrix_stromal_first_pass_review.rds	86861	4533
GSE245552	gse245552_Pt10_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt10_T1_working_qc_sparse_matrix_stromal_first_pass_review.rds	106262	6748
GSE245552	gse245552_Pt10_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt10_T2_working_qc_sparse_matrix_stromal_first_pass_review.rds	140549	7345
GSE245552	gse245552_Pt11_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt11_T1_working_qc_sparse_matrix_stromal_first_pass_review.rds	119644	6023
GSE245552	gse245552_Pt11_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt11_T2_working_qc_sparse_matrix_stromal_first_pass_review.rds	96313	4970
GSE245552	gse245552_Pt13_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt13_T1_working_qc_sparse_matrix_stromal_first_pass_review.rds	60658	3415
GSE245552	gse245552_Pt13_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt13_Z1_working_qc_sparse_matrix_stromal_first_pass_review.rds	75411	5547
GSE245552	gse245552_Pt15_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt15_T1_working_qc_sparse_matrix_stromal_first_pass_review.rds	168442	8355
