cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
0	0	2.38112242599544	0.697	0.131	0	SDS
0	0	2.15382898738738	0.54	0.105	0	ID3
0	0	1.82431064860287	0.681	0.167	0	FPR3
0	0	1.79689763911974	0.78	0.198	0	RGS1
0	1.13577445056593e-281	2.08595100124308	0.503	0.104	2.80104694998569e-277	TREM2
0	5.7667943201106e-281	1.59899869683278	0.712	0.188	1.42220681522568e-276	C1QC
0	4.51593201758083e-265	1.64578562567588	0.652	0.178	1.11371915417578e-260	APOC1
0	6.24189449839188e-261	1.40537318366673	0.767	0.247	1.53937602119341e-256	LGMN
0	3.32256910183988e-258	1.63495179605135	0.56	0.132	8.19411991895751e-254	SLCO2B1
0	1.00828802824157e-255	1.74092608894191	0.576	0.145	2.48663993524936e-251	SLAMF8
0	1.0820886738704e-255	1.55307753151807	0.681	0.183	2.66864708749919e-251	C1QB
0	1.29705661101165e-253	1.65691639529535	0.53	0.121	3.19880101407692e-249	PLTP
0	4.42384953733855e-246	1.73933261970156	0.506	0.112	1.09100977289843e-241	CD72
0	5.66625293436448e-245	1.67206101308756	0.599	0.166	1.39741129867297e-240	APOE
0	1.45396019770602e-240	1.79895308777491	0.479	0.103	3.58575663958259e-236	HLA-DOA
0	8.93027351605085e-232	1.3957628497322	0.726	0.225	2.20238405452846e-227	C1QA
0	4.79520703094942e-223	1.77209743505658	0.508	0.127	1.18259395797275e-218	SLC16A10
0	1.01755505516546e-217	1.99139115568129	0.359	0.065	2.50949427704905e-213	AXL
0	3.20609147898988e-217	2.18578812117282	0.35	0.062	7.90686280548485e-213	SERPINF1
0	2.30868570861465e-216	1.22493633215008	0.836	0.314	5.69368069458546e-212	ZNF331
0	2.55197462725754e-208	1.57831266194471	0.475	0.115	6.29367982574254e-204	A2M
0	9.75930591033298e-205	2.07748934920338	0.313	0.051	2.40684002360632e-200	KCNMA1
0	1.08604621592729e-199	1.55397629413946	0.514	0.137	2.67840717771989e-195	SDSL
0	3.73479600021472e-196	1.76380469019716	0.42	0.098	9.21075389572955e-192	MMP14
0	4.19122801679909e-191	1.41589381001763	0.614	0.197	1.03364065350299e-186	CD9
0	1.81243858140632e-188	1.23853909553708	0.694	0.238	4.46983602946427e-184	ARL4C
0	1.21489170888898e-187	2.49535354541174	0.256	0.037	2.99616593246201e-183	GAL3ST4
0	1.94706510252623e-186	1.21919644274776	0.719	0.268	4.8018519558502e-182	LMNA
0	1.68370153659878e-184	1.26537494565642	0.638	0.208	4.15234472955992e-180	PTMS
0	1.3633532092805e-182	2.52376281026377	0.219	0.026	3.36230168472757e-178	AC079767.4
0	5.20605686847794e-179	1.42054762832568	0.472	0.127	1.28391774490403e-174	C1orf54
0	1.01105682862857e-178	1.39051259970832	0.563	0.177	2.49346835076377e-174	PMP22
0	7.67296585527052e-178	2.25801128601698	0.263	0.042	1.89230683922682e-173	ADAMDEC1
0	1.13240238898886e-176	1.57395754570015	0.433	0.11	2.79273077172433e-172	ATP1B1
0	2.50047588001877e-174	1.21644813151419	0.69	0.251	6.16667361530229e-170	CD81
0	3.61536036943517e-172	1.18400615251679	0.697	0.256	8.91620174310103e-168	AKR1B1
0	2.25616275179008e-166	1.23539357540404	0.629	0.216	5.5641485784647e-162	PVRL2
0	3.51490527745656e-165	1.40019416435121	0.486	0.142	8.66845939526336e-161	LGALS3BP
0	3.61588979805085e-162	2.9847244470827	0.168	0.016	8.91750741995301e-158	CADM1
0	4.00765567402571e-162	1.78180474567453	0.349	0.081	9.88368042328221e-158	GALM
0	7.44879896907884e-161	2.10417187038288	0.287	0.056	1.83702280175422e-156	HS3ST1
0	3.18792734239033e-160	1.16914492179501	0.638	0.225	7.86206641180303e-156	MSR1
0	7.87958144842547e-160	1.35045904279105	0.401	0.101	1.94326237681069e-155	STMN1
0	8.06896015439461e-158	1.3305729985479	0.462	0.133	1.9899669532768e-153	NRP2
0	1.37333220459096e-157	1.66725544597943	0.341	0.078	3.38691188296222e-153	OLFML2B
0	9.03311610753321e-156	1.32440229247925	0.477	0.144	2.22774709443984e-151	CD59
0	3.49587726382544e-154	2.03086470838067	0.249	0.043	8.62153250804631e-150	LINC01094
0	1.65993130599896e-153	1.12727428466604	0.716	0.296	4.09372258685463e-149	ACP5
0	1.14386099138421e-151	1.47169582585172	0.397	0.105	2.82098997695174e-147	UGCG
0	2.36973681759627e-150	1.01923031653428	0.732	0.299	5.84424493955591e-146	MS4A4A
1	0	1.49464683709906	0.897	0.468	0	DDIT4
1	0	1.38529748007696	0.942	0.541	0	CXCR4
1	4.52763047023148e-265	0.780500085471877	0.965	0.764	1.11660422656849e-260	TSC22D3
1	7.66743243599773e-244	1.20275553837698	0.855	0.496	1.89094218736576e-239	CLEC4E
1	3.75126700368805e-232	0.873477561541186	0.911	0.681	9.25137468449546e-228	ZFP36L2
1	2.79730654091644e-217	0.48546817771418	0.98	0.9	6.89871739120812e-213	ZFP36
1	4.2998523505245e-210	1.77053800398646	0.607	0.246	1.06042958668635e-205	CDC42EP2
1	9.22816273294707e-206	0.808783542314058	0.892	0.713	2.27584949319941e-201	ZFAND5
1	1.24660678367035e-205	1.31824961286577	0.746	0.43	3.07438164988781e-201	CYTIP
1	1.47918964359874e-204	0.816702400398371	0.904	0.671	3.64797749904322e-200	PLIN2
