"role"	"path"	"expected_bytes"	"observed_bytes"	"bytes_match"	"expected_md5"	"observed_md5"	"md5_match"	"checked_at"
"BAM"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\local_only\20260713_prjna932556_ena_bam_pair_download\R3_possorted_genome_bam.bam.1"	"21494429186"	"21494429186"	"True"	"056a5c996212a64af708d48c5b585e48"	"056a5c996212a64af708d48c5b585e48"	"True"	"2026-07-14T14:33:47.0478455+08:00"
"BAI"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\local_only\20260713_prjna932556_ena_bam_pair_download\R3_possorted_genome_bam.bam.1.bai"	"10390008"	"10390008"	"True"	"f391d287338dbf9d3856630338957bb8"	"f391d287338dbf9d3856630338957bb8"	"True"	"2026-07-14T14:33:47.0478455+08:00"
