relative_fastq_path	file_size_bytes	gzip_status	first_read_header	records_inspected	read_length_distribution_first100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_034.fastq.gz	32197269	gzip	@A00153:862:HGGWHDSX2:3:1428:31322:2409 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_035.fastq.gz	32905674	gzip	@A00153:862:HGGWHDSX2:3:2327:9733:23891 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_036.fastq.gz	36440537	gzip	@A00153:862:HGGWHDSX2:3:1470:22742:3114 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_037.fastq.gz	33830023	gzip	@A00153:862:HGGWHDSX2:3:2140:13774:14293 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_038.fastq.gz	35765119	gzip	@A00153:862:HGGWHDSX2:3:1246:2013:23390 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_039.fastq.gz	33352062	gzip	@A00153:862:HGGWHDSX2:3:1458:5005:2957 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_040.fastq.gz	32314995	gzip	@A00153:862:HGGWHDSX2:3:1503:18511:28980 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_041.fastq.gz	33798007	gzip	@A00153:862:HGGWHDSX2:3:2268:16731:28745 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_042.fastq.gz	38044479	gzip	@A00153:862:HGGWHDSX2:3:1224:7030:10598 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_043.fastq.gz	36752918	gzip	@A00153:862:HGGWHDSX2:3:1260:11776:11898 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_044.fastq.gz	35042543	gzip	@A00153:862:HGGWHDSX2:3:2101:16667:16767 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_045.fastq.gz	36694071	gzip	@A00153:862:HGGWHDSX2:3:1337:16767:5916 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_046.fastq.gz	38419866	gzip	@A00153:862:HGGWHDSX2:3:1116:6271:30107 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_047.fastq.gz	38467437	gzip	@A00153:862:HGGWHDSX2:3:1360:13521:8594 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_048.fastq.gz	38689161	gzip	@A00153:862:HGGWHDSX2:3:1264:21142:24205 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_049.fastq.gz	38644946	gzip	@A00153:862:HGGWHDSX2:3:1606:31738:27023 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_050.fastq.gz	37643759	gzip	@A00153:862:HGGWHDSX2:3:2649:4743:4163 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_051.fastq.gz	36119818	gzip	@A00153:862:HGGWHDSX2:3:2114:14959:27398 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_052.fastq.gz	34811302	gzip	@A00153:862:HGGWHDSX2:3:2127:32172:3599 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_053.fastq.gz	32735343	gzip	@A00153:862:HGGWHDSX2:3:1372:20356:33520 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_054.fastq.gz	34265239	gzip	@A00153:862:HGGWHDSX2:3:2632:29830:23688 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_055.fastq.gz	32089677	gzip	@A00153:862:HGGWHDSX2:3:1254:15293:25347 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_056.fastq.gz	34182840	gzip	@A00153:862:HGGWHDSX2:3:1668:19307:29324 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_057.fastq.gz	32255554	gzip	@A00153:862:HGGWHDSX2:3:1233:25057:12038 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_058.fastq.gz	35258243	gzip	@A00153:862:HGGWHDSX2:3:2558:25934:26678 1:N:0:0	100	28:100
