timestamp	output_bytes	guest_available_bytes
2026-07-14T06:58:40+00:00	0	79380951040
2026-07-14T06:58:50+00:00	27827625	79352848384
2026-07-14T06:59:00+00:00	56406019	79324401664
2026-07-14T06:59:11+00:00	85363955	79295438848
2026-07-14T06:59:21+00:00	111374004	79269429248
2026-07-14T06:59:31+00:00	137260461	79243673600
2026-07-14T06:59:41+00:00	161759547	79219105792
2026-07-14T06:59:51+00:00	188502722	79192297472
2026-07-14T07:00:01+00:00	215881747	79164981248
2026-07-14T07:00:11+00:00	243902443	79137026048
2026-07-14T07:00:21+00:00	270670565	79110127616
2026-07-14T07:00:31+00:00	295212306	79085645824
2026-07-14T07:00:41+00:00	322740935	79058051072
2026-07-14T07:00:52+00:00	347039574	79033884672
2026-07-14T07:01:02+00:00	372732817	79008137216
2026-07-14T07:01:12+00:00	400220415	78980698112
2026-07-14T07:01:22+00:00	426269486	78954450944
2026-07-14T07:01:32+00:00	454597863	78926315520
2026-07-14T07:01:42+00:00	479791391	78901125120
2026-07-14T07:01:52+00:00	506399646	78874513408
2026-07-14T07:02:02+00:00	533175483	78847606784
2026-07-14T07:02:12+00:00	558982611	78821736448
2026-07-14T07:02:22+00:00	585771350	78795132928
2026-07-14T07:02:32+00:00	612585309	78768254976
2026-07-14T07:02:43+00:00	637001146	78743838720
2026-07-14T07:02:53+00:00	662747732	78717763584
2026-07-14T07:03:03+00:00	689822484	78690947072
2026-07-14T07:03:13+00:00	715744778	78665150464
2026-07-14T07:03:23+00:00	743199661	78637699072
2026-07-14T07:03:33+00:00	771453413	78609444864
2026-07-14T07:03:43+00:00	796374691	78584516608
2026-07-14T07:03:53+00:00	824091190	78556733440
2026-07-14T07:04:03+00:00	850103881	78530789376
2026-07-14T07:04:13+00:00	877487506	78503403520
2026-07-14T07:04:23+00:00	903918850	78476836864
2026-07-14T07:04:34+00:00	931000508	78449623040
2026-07-14T07:04:44+00:00	959492829	78421327872
2026-07-14T07:04:54+00:00	986704798	78394048512
2026-07-14T07:05:04+00:00	1011909999	78368841728
2026-07-14T07:05:14+00:00	1040409299	78340210688
2026-07-14T07:05:24+00:00	1066792281	78314082304
2026-07-14T07:05:34+00:00	1094000086	78286741504
2026-07-14T07:05:44+00:00	1119801398	78260875264
2026-07-14T07:05:54+00:00	1143861323	78236680192
2026-07-14T07:06:04+00:00	1169174048	78211567616
2026-07-14T07:06:15+00:00	1193409867	78187261952
2026-07-14T07:06:25+00:00	1216453832	78164369408
2026-07-14T07:06:35+00:00	1242177669	78138531840
2026-07-14T07:06:45+00:00	1266534690	78113955840
2026-07-14T07:06:55+00:00	1289502984	78091227136
2026-07-14T07:07:05+00:00	1316075559	78064787456
2026-07-14T07:07:15+00:00	1341119903	78039543808
2026-07-14T07:07:25+00:00	1364268410	78016520192
2026-07-14T07:07:35+00:00	1388414786	77992312832
2026-07-14T07:07:45+00:00	1412697926	77968121856
2026-07-14T07:07:56+00:00	1437951629	77942771712
2026-07-14T07:08:06+00:00	1465111925	77915742208
2026-07-14T07:08:16+00:00	1490687599	77890162688
2026-07-14T07:08:26+00:00	1514708810	77865807872
2026-07-14T07:08:36+00:00	1540484118	77840363520
2026-07-14T07:08:46+00:00	1567183761	77813592064
2026-07-14T07:08:56+00:00	1593613985	77787099136
2026-07-14T07:09:06+00:00	1619820549	77761024000
2026-07-14T07:09:16+00:00	1645871646	77734965248
2026-07-14T07:09:26+00:00	1673643495	77707194368
2026-07-14T07:09:36+00:00	1700999172	77679775744
2026-07-14T07:09:47+00:00	1725826768	77655011328
2026-07-14T07:09:57+00:00	1750568112	77630271488
2026-07-14T07:10:07+00:00	1776247076	77604384768
2026-07-14T07:10:17+00:00	1802854145	77577977856
2026-07-14T07:10:27+00:00	1830150224	77550551040
2026-07-14T07:10:37+00:00	1856211404	77524291584
2026-07-14T07:10:47+00:00	1883740471	77496958976
2026-07-14T07:10:57+00:00	1912438967	77468393472
2026-07-14T07:11:07+00:00	1937893755	77442801664
2026-07-14T07:11:17+00:00	1967076547	77413621760
2026-07-14T07:11:28+00:00	1993635849	77387026432
2026-07-14T07:11:38+00:00	2021367765	77359325184
2026-07-14T07:11:48+00:00	2048523013	77332156416
