cluster	assigned_broad_compartment	assigned_signature_score	assigned_mean_expression	assigned_mean_detection_fraction	second_broad_compartment	second_signature_score	second_mean_expression	second_mean_detection_fraction	signature_score_margin	cells	samples	subjects	maximum_sample	maximum_sample_cells	maximum_subject	maximum_subject_cells	maximum_sample_fraction	maximum_subject_fraction	top10_markers	top50_markers	positive_marker_evidence	negative_or_conflicting_marker_evidence	assigned_marker_positive_fraction	assigned_marker_coexpression_fraction_ge_2	second_marker_positive_fraction	second_marker_coexpression_fraction_ge_2	annotation_method
24	Myeloid	3.53016267446328	1.41771399794865	0.6949378330373	Endothelial	-0.0377492323824671	0.20122917655668	0.154381290704559	3.56791190684574	3378	39	19	GSM6213994	423	P25	558	0.125222024866785	0.165186500888099	SRGN;FCER1G;TYROBP;SAT1;FTL;LYZ;FTH1;S100A9;AIF1;CTSS	SRGN;FCER1G;TYROBP;SAT1;FTL;LYZ;FTH1;S100A9;AIF1;CTSS;S100A4;TYMP;S100A11;S100A8;NAMPT;TIMP1;CEBPB;CST3;FCN1;LGALS1;SH3BGRL3;HLA-DRA;NEAT1;PSAP;DUSP1;OAZ1;COTL1;CD14;VIM;SOD2;LST1;ZEB2;FOS;MNDA;VCAN;ZFP36;CD44;CYBA;SERPINA1;ANXA1;PLAUR;NFKBIA;ACTB;BCL2A1;CTSB;CD74;H3F3B;EMP3;FCGR2A;HLA-DRB1	CD14		0.853167554766134	0.536708111308467	0.300473653049142	0.00828892835997632	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
25	B	2.81070215234131	1.51608396481294	0.674556213017752	Fibroblast	-0.18328241431404	0.036477113169476	0.0348022422921208	2.99398456665535	3211	39	18	GSM6213962	1314	P15	1335	0.40921831205232	0.415758330738088	BASP1;HMGN1;MS4A1;ACTG1;CD79A;CORO1A;TCL1A;H3F3A;ACTB;CD79B	BASP1;HMGN1;MS4A1;ACTG1;CD79A;CORO1A;TCL1A;H3F3A;ACTB;CD79B;RGS13;ARPC2;CD74;LIMD2;OAZ1;LRMP;CD37;ARPC3;HMGB1;HLA-DRA;RPL28;SERF2;HMGN2;ARHGDIB;PFN1;MARCKSL1;ANP32B;LAPTM5;GAPDH;PARP1;ACTR3;LCP1;POU2AF1;HNRNPA1;VPREB3;CD53;CD22;CFL1;POU2F2;ATP5MG;RPS7;BTF3;SLC25A5;HLA-DQA1;PTMA;RPL15;RPL19;IRF8;RPS2;BCAS4	MS4A1;CD79A;CD79B		0.970102771722205	0.920896916848334	0.132046091560262	0.00685144814699471	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
26	Epithelial	0.894153651035496	1.50846343935988	0.772710139464757	Myeloid	-0.217454062926986	0.0585623277339668	0.0599321522804373	1.11160771396248	2653	40	19	GSM6213970	224	P21	238	0.0844327176781003	0.0897097625329815	ELF3;JUN;CLDN4;FOSB;CLDN3;LGALS4;HSPA1B;IER2;FOS;SOX4	ELF3;JUN;CLDN4;FOSB;CLDN3;LGALS4;HSPA1B;IER2;FOS;SOX4;C15orf48;KRT18;KRT8;ZFP36L2;IER3;EGR1;PHGR1;CHCHD10;S100A6;PIGR;GPX2;TXN;HSPA1A;TMEM238;FAM3D;STARD10;COX5B;CDC42EP5;TUBB4B;RHOB;HES1;JUNB;LGALS3;RPS18;AGR2;ATP5F1D;MT1E;RPL36;SAT1;PCK1;HSP90AA1;RPL13;MT1G;GADD45B;TSPAN8;S100A14;LCN2;RPLP0;RPS2;HEXIM1			0.885035808518658	0.660384470410856	0.115718055032039	0.00414624952883528	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
27	Endothelial	2.15132625049166	1.40954509939556	0.653179190751445	Fibroblast	-0.166906039824117	0.0480311049314762	0.0309489402697495	2.31823229031578	2076	38	18	GSM6213967	1020	P19	1041	0.491329479768786	0.501445086705202	SPARCL1;ACKR1;VIM;IGFBP7;PECAM1;TCF4;EGFL7;CLU;VWF;A2M	SPARCL1;ACKR1;VIM;IGFBP7;PECAM1;TCF4;EGFL7;CLU;VWF;A2M;CAV1;GNG11;CD93;HSPG2;YBX3;IFITM3;KLF2;TGFBR2;CAVIN2;MALAT1;SYNE2;LIFR;IGFBP4;ARHGAP29;WSB1;NEAT1;CD74;TSHZ2;PALMD;ARGLU1;CRIP2;PLVAP;SPTBN1;NFIB;TM4SF1;PTPRB;ITM2B;NKTR;EPAS1;DDX17;SPRY1;MACF1;CLDN5;ENG;IL6ST;EMCN;AQP1;UTRN;NCOA7;LDB2	PECAM1;VWF		0.835260115606937	0.471098265895954	0.113198458574181	0.00867052023121387	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
28	Epithelial	0.919016077314985	1.5284345662869	0.735279922779923	Myeloid	0.0690815573857742	0.185782047310285	0.120897683397683	0.84993451992921	2072	38	18	GSM6213982	349	P28	475	0.168436293436293	0.229247104247104	SH2D6;LRMP;TRPM5;AVIL;PLCG2;AZGP1;FYB1;RASSF6;TPM1;PTPN18	SH2D6;LRMP;TRPM5;AVIL;PLCG2;AZGP1;FYB1;RASSF6;TPM1;PTPN18;KRT18;BMX;PSTPIP2;HPGDS;HCK;IL17RB;PTGS1;MARCKSL1;ALOX5;POU2F3;ZFHX3;SH2D7;COL27A1;EIF1B;SPIB;KRT8;ITPR2;SOX9;ANXA4;CCDC14;HOTAIRM1;B4GALNT4;ALOX5AP;ANXA13;AOC1;SPTLC2;IFI6;MYO1B;CCSER1;HEPACAM2;GRASP;IL13RA1;HTR3E;ELF3;MATK;PBXIP1;TFF3;AFAP1L2;RGS13;ATP2A3			0.89527027027027	0.575289575289575	0.234073359073359	0.00772200772200772	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
29	T/I/NK	2.12347706387631	1.49447073744321	0.690262430939226	Fibroblast	-0.182173613565527	0.0408360340753599	0.0326312154696133	2.30565067744184	1448	40	19	GSM6213971	313	P23	313	0.216160220994475	0.216160220994475	STMN1;HMGB2;HMGB1;ACTB;HMGN2;H2AFZ;TUBA1B;CD3D;PTMA;TUBB	STMN1;HMGB2;HMGB1;ACTB;HMGN2;H2AFZ;TUBA1B;CD3D;PTMA;TUBB;PFN1;COTL1;SH3BGRL3;TMSB4X;CORO1A;GAPDH;TRAC;CD2;S100A4;IL32;RAC2;NKG7;CCL5;GZMA;TRBC2;RAN;PCLAF;H2AFV;ARHGDIB;CFL1;SRGN;SUB1;B2M;PTPRC;CD3G;ARPC2;HNRNPA2B1;PTTG1;CKLF;ACTG1;PSMB9;CD7;DUT;MKI67;LCP1;TYMS;PCNA;SUMO2;RPLP1;GMFG	CD3D;TRAC		0.962016574585635	0.866022099447514	0.122237569060773	0.00828729281767956	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
30	Endothelial	1.17891999931894	0.869889174563871	0.476534296028881	Fibroblast	-0.190300010201715	0.0359846612607762	0.0219614921780987	1.36922000952066	831	32	16	GSM6213987	141	P30	164	0.169675090252708	0.197352587244284	TFPI;CCL21;MMRN1;GNG11;CAVIN2;VIM;AKAP12;CLDN5;TIMP3;IGFBP7	TFPI;CCL21;MMRN1;GNG11;CAVIN2;VIM;AKAP12;CLDN5;TIMP3;IGFBP7;TFF3;PPFIBP1;LYVE1;HSPB1;S100A10;GNAS;IFITM3;ITM2B;EFEMP1;ECSCR;ANXA2;CD59;ARHGAP29;CAV1;CLU;CD9;PROX1;SPTBN1;TM4SF1;YBX3;NR2F2;CRIP2;FABP5;TBX1;PTPRE;ADIRF;NR2F1;CEBPD;HYAL2;TIMP1;CNN3;RAMP2;KLF2;APP;TSHZ2;EGFL7;SNCG;ARL4A;MARCKS;TNXB			0.714801444043321	0.23826714801444	0.0782190132370638	0.00962695547533093	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
31	Epithelial	0.639779988703069	1.3146091588933	0.745308310991957	Fibroblast	-0.219431509925401	0.018233361918823	0.0191018766756032	0.85921149862847	746	36	17	GSM6213982	69	P28	133	0.0924932975871314	0.17828418230563	CACNA1A;MS4A8;SCGN;PCSK1N;CHGA;SCG5;CPE;INSM1;NEUROD1;NKX2-2	CACNA1A;MS4A8;SCGN;PCSK1N;CHGA;SCG5;CPE;INSM1;NEUROD1;NKX2-2;PAM;GUCY2C;FEV;CRYBA2;KIAA1324;MLXIPL;CADPS;PYY;RAB26;RIMBP2;HEPACAM2;CAMK2N1;SLC29A4;ZKSCAN1;GCG;RAB3B;CEP126;STARD10;HOXB9;ETV1;ARFGEF3;RFX3;DDC;INSR;MARCKSL1;UCN3;PCLO;QPCT;MDK;CCDC14;ABCA5;RASSF6;VPS13A;GCLC;FXYD3;SATB2;CHGB;PCSK1;GCH1;GTF2I			0.89142091152815	0.599195710455764	0.0723860589812333	0.00402144772117962	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
32	T/I/NK	1.52319486615177	1.15024687070487	0.597938144329897	B	1.43710746309486	0.932970558367157	0.483711340206186	0.0860874030569083	485	33	18	GSM6213994	121	P32	144	0.249484536082474	0.296907216494845	CD37;HLA-DRA;CD52;MS4A1;CD74;LTB;RPS27A;RPS27;RPL18A;RPL30	CD37;HLA-DRA;CD52;MS4A1;CD74;LTB;RPS27A;RPS27;RPL18A;RPL30;BTG1;RPL32;CD79A;RPL10;RPL28;RPS12;RPS23;RPL23A;RPL13;RPS3A;RPS15A;RPS14;HLA-DPA1;RPS25;RPL19;FAU;RPL39;RPL11;PTPRC;RPS19;HLA-DPB1;RPL21;RPL9;RPLP1;HLA-DRB1;TMSB4X;RPS16;RPL13A;RPS8;RPL18;RPS11;RPLP2;CD48;RPS3;EVL;HLA-DQB1;B2M;RPL34;RPS29;UBA52		MS4A1;CD79A	0.931958762886598	0.779381443298969	0.964948453608247	0.810309278350515	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
33	Myeloid	-0.096090108590039	0.0903278411003798	0.063758389261745	Fibroblast	-0.206307284129636	0.0227795220198111	0.0151006711409396	0.110217175539597	149	24	16	GSM6213980	23	P32	33	0.154362416107383	0.221476510067114	TPSB2;CPA3;TPSAB1;MS4A2;LTC4S;SLC18A2;SAMSN1;VWA5A;GATA2;SRGN	TPSB2;CPA3;TPSAB1;MS4A2;LTC4S;SLC18A2;SAMSN1;VWA5A;GATA2;SRGN;ANXA1;HPGDS;KIT;IL1RL1;HDC;VIM;ALOX5AP;ACSL4;FOXP1;FCER1G;RAC2;RGS1;CLU;PTMA;CD63;CAPG;H3F3B;S100A4;GLUL;FTH1;TIMP1;RGS2;ZEB2;HPGD;TYROBP;SH3BGRL3;BMP2K;ARHGDIB;AL157895.1;LAT;GRAP2;CD44;RHEX;LMO4;FXYD5;CD9;ITM2B;TNFSF10;FTL;SLC45A3			0.12751677852349	0	0.0604026845637584	0	highest cluster-standardized source-paper broad marker signature; Top10/Top50, co-expression, negative evidence, sample and subject support exported
