integration_feature	anchor_feature	integrated_correction_feature
NNMT	TRUE	TRUE
RGS1	TRUE	TRUE
VIM	TRUE	TRUE
STMN1	TRUE	TRUE
HLA-DQB1	TRUE	TRUE
GREM1	TRUE	TRUE
COL15A1	TRUE	TRUE
PHGR1	TRUE	TRUE
COL5A2	TRUE	TRUE
CSF3	TRUE	TRUE
FSTL1	TRUE	TRUE
MNDA	TRUE	TRUE
OGN	TRUE	TRUE
IGKV3-11	TRUE	TRUE
IL7R	TRUE	TRUE
SFRP1	TRUE	TRUE
IGFBP6	TRUE	TRUE
MFAP4	TRUE	TRUE
EFEMP1	TRUE	TRUE
CPVL	TRUE	TRUE
CHI3L1	TRUE	TRUE
GZMB	TRUE	TRUE
VCAM1	TRUE	TRUE
ENG	TRUE	TRUE
WISP2	TRUE	TRUE
IGLV2-14	TRUE	TRUE
AKAP12	TRUE	TRUE
HPGDS	TRUE	TRUE
LRMP	TRUE	TRUE
CSRP2	TRUE	TRUE
EREG	TRUE	TRUE
S100A12	TRUE	TRUE
SH2D6	TRUE	TRUE
MMRN1	TRUE	TRUE
CCL11	TRUE	TRUE
LST1	TRUE	TRUE
DMBT1	TRUE	TRUE
CD79A	TRUE	TRUE
BGN	TRUE	TRUE
NOTCH3	TRUE	TRUE
RGS13	TRUE	TRUE
C1QTNF3	TRUE	TRUE
CLEC14A	TRUE	TRUE
MEG3	TRUE	TRUE
APLNR	TRUE	TRUE
PLAT	TRUE	TRUE
F3	TRUE	TRUE
IGLV6-57	TRUE	TRUE
PI16	TRUE	TRUE
SULF1	TRUE	TRUE
TNFRSF4	TRUE	TRUE
LCN2	TRUE	TRUE
CD93	TRUE	TRUE
COL12A1	TRUE	TRUE
DEPP1	TRUE	TRUE
SLC9A3	TRUE	TRUE
INHBA	TRUE	TRUE
ADH1B	TRUE	TRUE
MS4A1	TRUE	TRUE
ADAMTS9	TRUE	TRUE
ACKR3	TRUE	TRUE
CAVIN1	TRUE	TRUE
TNFRSF17	TRUE	TRUE
S100A4	TRUE	TRUE
CCL19	TRUE	TRUE
MS4A7	TRUE	TRUE
PTTG1	TRUE	TRUE
CNN1	TRUE	TRUE
IGHV3-7	TRUE	TRUE
PTGS2	TRUE	TRUE
ECSCR	TRUE	TRUE
CD69	TRUE	TRUE
SPIB	TRUE	TRUE
PPP1R14A	TRUE	TRUE
ADGRL4	TRUE	TRUE
HIST1H4C	TRUE	TRUE
CILP	TRUE	TRUE
ENPP2	TRUE	TRUE
CACNA1A	TRUE	TRUE
RNASE1	TRUE	TRUE
HSPA1A	TRUE	TRUE
CD248	TRUE	TRUE
TPSB2	TRUE	TRUE
DNASE1L3	TRUE	TRUE
TNC	TRUE	TRUE
MFGE8	TRUE	TRUE
MT1M	TRUE	TRUE
CD34	TRUE	TRUE
SRGN	TRUE	TRUE
PLAC8	TRUE	TRUE
SERPINE2	TRUE	TRUE
AQP1	TRUE	TRUE
IGLV1-40	TRUE	TRUE
ATF3	TRUE	TRUE
IFNG	TRUE	TRUE
CXCL11	TRUE	TRUE
DUSP2	TRUE	TRUE
KRT19	TRUE	TRUE
FGL2	TRUE	TRUE
MMP10	TRUE	TRUE
MMP9	TRUE	TRUE
CTSL	TRUE	TRUE
MMP7	TRUE	TRUE
PDGFRB	TRUE	TRUE
