gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
TSC22D3	4	2.19915767385099	0.886024876346196	53912108.5	0.678199658523285	1.5288461054083e-224	1.61698996356242e-221	76.7102803738318	53.948918127671	TRUE	TRUE	14
PPP1R15A	4	1.29558410310808	0.747076157216376	53843355.5	0.677334764487051	1.20888360960272e-301	1.95547590473325e-298	60.2242990654206	28.4079819631861	TRUE	TRUE	15
IER2	4	1.51030593760408	0.75862319307517	53804272	0.67684310468944	6.02795772167618e-256	7.89346711373206e-253	67.214953271028	38.018642527846	TRUE	TRUE	16
BTG2	4	1.10702928808184	0.757805677975856	53794927.5	0.676725553421545	0	0	51.588785046729	19.0261466500656	TRUE	TRUE	17
UBC	4	2.56653892964817	0.612560544619873	53619367.5	0.674517056381397	2.36231762624262e-198	1.66567621548835e-195	93.196261682243	80.159504660632	TRUE	TRUE	18
EIF1	4	3.04312752806385	0.513722460368308	53602633.5	0.674306547213763	1.06129528748519e-196	7.29613977763879e-194	98.3177570093458	91.0253390315308	TRUE	TRUE	19
GADD45B	4	1.27582080481815	0.758568375974058	53555731.5	0.67371653281312	1.69528116265417e-303	2.91365854323918e-300	57.7570093457944	26.3249991587307	TRUE	TRUE	20
ZFP36L2	4	2.23414183413113	0.765606262507652	53511928	0.673165496699551	5.941524718356e-203	4.29963126921241e-200	82.6542056074766	62.9841504862537	TRUE	TRUE	21
AC020916.1	4	1.03264332135027	0.801651336458546	53489460.5	0.672882861661675	0	0	44.8598130841121	11.9123733889693	TRUE	TRUE	22
KLF6	4	1.84130787042066	0.787834250959881	53456971	0.672474152590213	1.47700868492277e-217	1.35387539422304e-214	73.6448598130841	49.1806036948548	TRUE	TRUE	23
DUSP2	4	1.32711459207136	0.806534287345645	53170222.5	0.668866934468109	2.74418792601702e-297	4.19235687653011e-294	55.4766355140187	24.941952417808	TRUE	TRUE	24
SRSF7	4	1.93650983827271	0.639742819698343	52656501	0.662404457752399	3.73011379280182e-180	2.50181461434774e-177	79.6261682242991	61.2006595551368	TRUE	TRUE	25
CCL4	4	1.80798324137016	0.936814641592397	52156406	0.656113398699696	1.64298429287324e-218	1.58293851484508e-215	61.0841121495327	32.2677255443012	TRUE	TRUE	26
NKG7	4	1.99073373894736	0.803100041857682	51732947.5	0.650786405968578	4.21483837011666e-174	2.69543814743809e-171	77.5700934579439	43.6114008816502	TRUE	TRUE	27
SLC2A3	4	1.23510201261374	0.66475873527059	51643712	0.649663847654463	1.6693413189755e-218	1.58293851484508e-215	55.0654205607477	28.1589662482754	TRUE	TRUE	28
CD8A	4	1.29613944800917	0.671009614628788	51497211	0.64782090492902	2.62402768432978e-213	2.25494179035577e-210	56.9719626168224	27.9637917690211	TRUE	TRUE	29
CXCR4	4	1.74802798512278	0.698477395874774	51447766	0.647198900280182	1.74729371867125e-162	1.00101729103627e-159	67.1028037383178	47.0101288824579	TRUE	TRUE	30
BTG1	4	2.81220496653297	0.53122452554635	51276247	0.645041237920709	3.41229854077138e-137	1.61784133745986e-134	92.8224299065421	84.3793115051991	TRUE	TRUE	31
TUBB4B	4	1.00759071501161	0.560945475274771	50856110.5	0.639756035045864	1.18763414853213e-209	9.89659134863186e-207	50.0560747663552	24.342968671131	TRUE	TRUE	32
ID2	4	1.54302063155757	0.611855411795304	50712620	0.637950963591437	8.61146767702805e-148	4.46805188019989e-145	66.803738317757	43.3320994716829	TRUE	TRUE	33
GZMA	4	2.0100779818961	0.758325988866214	50459975.5	0.634772764511581	1.03283154660879e-138	5.07175619646342e-136	72	44.7319715987482	TRUE	TRUE	34
SERTAD1	4	0.701422930792309	0.506594869974662	50435363.5	0.634463152247101	0	0	37.4205607476636	11.4513578086617	TRUE	TRUE	35
TRGC2	4	1.06163794156232	0.589870886320026	50408032	0.634119329412442	1.80910121659299e-205	1.38190206541918e-202	48.3738317757009	22.1321129319918	TRUE	TRUE	36
HSPA1B	4	1.53469554240576	0.712097985755152	50244532	0.632062543891457	2.30571399558263e-151	1.24323194440249e-148	57.0467289719626	35.0068984083185	TRUE	TRUE	37
DDX3X	4	1.3428299804025	0.545688820690329	50219080.5	0.631742370945357	2.34480581484312e-138	1.13122482635739e-135	62.0560747663551	41.3366086751691	TRUE	TRUE	38
TUBA1A	4	0.884500109890256	0.517590189176563	50136165	0.630699316511931	3.61431644287394e-206	2.92323787831149e-203	44.9345794392523	20.5606218662718	TRUE	TRUE	39
UBB	4	1.94763868041329	0.507426682415147	50111331	0.630386911547844	9.91653870968274e-115	4.13174087844797e-112	82.3551401869159	66.2516404751489	TRUE	TRUE	40
DNAJA1	4	0.953467113590242	0.498209988942685	49665547	0.62477907010022	4.51842989999869e-163	2.64366603872477e-160	47.5140186915888	25.7125551031396	TRUE	TRUE	41
HSPA8	4	1.59073326931721	0.500799347796806	49657135.5	0.624673255718509	1.59580347258337e-111	6.26899995608143e-109	70.8785046728972	53.5888548642191	TRUE	TRUE	42
TNFAIP3	4	0.959390888683834	0.523931831488322	49312593.5	0.620339011088716	2.19466617921512e-163	1.31198098396166e-160	44.9345794392523	22.9868425480365	TRUE	TRUE	43
NFKBIA	4	1.22950102585806	0.53245562566329	49257019	0.619639898997364	2.05489635572582e-126	9.41793248101738e-124	54.6915887850467	34.2329306457583	TRUE	TRUE	44
KLRD1	4	1.08914180756386	0.523328885720901	49188815	0.618781911231779	1.24032296179501e-149	6.55916175507712e-147	49.4205607476636	25.0597301208063	TRUE	TRUE	45
RSRP1	4	1.62986756758604	0.46205101827691	49152389.5	0.618323688351078	1.33734141109446e-98	4.59694393296082e-96	73.2336448598131	57.1087256452536	TRUE	TRUE	46
HOPX	4	0.955005095792089	0.497561815582001	49152280.5	0.61832231716073	3.47082854297383e-162	1.94784314496403e-159	45.5327102803738	21.9840495339368	TRUE	TRUE	47
UBE2S	4	0.72331628316413	0.450012797981789	49087159	0.617503106406572	9.13452168116108e-204	6.78892464081753e-201	38.1308411214953	15.6307837264865	TRUE	TRUE	48
CITED2	4	0.724267330548726	0.468428189254702	49070611	0.617294937068338	3.77067773858922e-215	3.34483442366016e-212	36.9345794392523	14.429451155904	TRUE	TRUE	49
IFNG	4	0.874646234200452	0.582385591997976	48980643	0.616163164103495	8.60809739468334e-224	8.76718778727397e-221	35.7757009345794	13.3189756704916	TRUE	TRUE	50
RPS3A	5	4.10720274102422	1.05764554510605	64968428	0.879706006161043	0	0	99.7163695299838	94.1986365459163	TRUE	TRUE	1
RPL32	5	4.2055547236606	0.934951017029338	64702266	0.876102035475284	0	0	99.837925445705	96.9222029140489	TRUE	TRUE	2
RPL13	5	4.59739625388839	0.787861758405866	64278409.5	0.870362799968456	0	0	99.9594813614263	98.7601924876354	TRUE	TRUE	3
RPL11	5	4.05067504894563	0.878645379664107	64232851	0.869745914393178	0	0	99.7568881685575	96.2939446598048	TRUE	TRUE	4
RPS12	5	4.28705291890466	0.98745660585262	63726134.5	0.862884711772254	0	0	99.837925445705	96.0466515171769	TRUE	TRUE	5
RPL9	5	3.75968202198352	0.980800920600936	63457145	0.859242455278927	0	0	99.5948136142626	92.1868734126454	TRUE	TRUE	6
RPL10	5	4.67088360523377	0.804151570250827	63399292.5	0.858459102606127	0	0	99.9594813614263	98.0751236465713	TRUE	TRUE	7
RPS14	5	4.16739096640001	0.885335319878456	63157265.5	0.855181932261892	0	0	99.837925445705	95.9965245288063	TRUE	TRUE	8
RPS13	5	3.63176860776463	0.996480728435496	62956887.5	0.8524687108476	0	0	99.5137763371151	91.5385643630531	TRUE	TRUE	9
RPS6	5	3.92025719689041	0.99129366655921	62840946.5	0.850898809940342	0	0	99.5542949756888	93.2896671567972	TRUE	TRUE	10
RPL30	5	3.97658432083018	0.879434308150855	62831871	0.850775922991947	0	0	99.7163695299838	95.6991043978078	TRUE	TRUE	11
RPS8	5	3.84858421421931	0.920341621704063	62658128.5	0.848423359978179	0	0	99.5542949756888	94.2053201443657	TRUE	TRUE	12
EEF1A1	5	4.95727486825967	0.852113517144842	62571081	0.847244691955439	0	0	100	98.8637882636011	TRUE	TRUE	13
RPS27A	5	4.08381097379176	0.822844789041018	62260355	0.843037301737064	0	0	99.837925445705	96.3340462505013	TRUE	TRUE	14
