gene_id	gene_symbol	feature_type	seurat_feature_name	detected_cells_merged_raw	formal_merged_gene_filter_pass
ENSG00000243485	MIR1302-2HG	Gene Expression	MIR1302-2HG	1	FALSE
ENSG00000237613	FAM138A	Gene Expression	FAM138A	0	FALSE
ENSG00000186092	OR4F5	Gene Expression	OR4F5	4	TRUE
ENSG00000238009	AL627309.1	Gene Expression	AL627309.1	515	TRUE
ENSG00000239945	AL627309.3	Gene Expression	AL627309.3	62	TRUE
ENSG00000239906	AL627309.2	Gene Expression	AL627309.2	0	FALSE
ENSG00000241599	AL627309.4	Gene Expression	AL627309.4	5	TRUE
ENSG00000236601	AL732372.1	Gene Expression	AL732372.1	1	FALSE
ENSG00000284733	OR4F29	Gene Expression	OR4F29	0	FALSE
ENSG00000235146	AC114498.1	Gene Expression	AC114498.1	0	FALSE
ENSG00000284662	OR4F16	Gene Expression	OR4F16	0	FALSE
ENSG00000229905	AL669831.2	Gene Expression	AL669831.2	14	TRUE
ENSG00000237491	AL669831.5	Gene Expression	AL669831.5	6136	TRUE
ENSG00000177757	FAM87B	Gene Expression	FAM87B	57	TRUE
ENSG00000225880	LINC00115	Gene Expression	LINC00115	6006	TRUE
ENSG00000230368	FAM41C	Gene Expression	FAM41C	1608	TRUE
ENSG00000272438	AL645608.7	Gene Expression	AL645608.7	0	FALSE
ENSG00000230699	AL645608.3	Gene Expression	AL645608.3	407	TRUE
ENSG00000241180	AL645608.5	Gene Expression	AL645608.5	89	TRUE
ENSG00000223764	AL645608.1	Gene Expression	AL645608.1	150	TRUE
ENSG00000187634	SAMD11	Gene Expression	SAMD11	1252	TRUE
ENSG00000188976	NOC2L	Gene Expression	NOC2L	58830	TRUE
ENSG00000187961	KLHL17	Gene Expression	KLHL17	5823	TRUE
ENSG00000187583	PLEKHN1	Gene Expression	PLEKHN1	2728	TRUE
ENSG00000187642	PERM1	Gene Expression	PERM1	59	TRUE
ENSG00000272512	AL645608.8	Gene Expression	AL645608.8	3643	TRUE
ENSG00000188290	HES4	Gene Expression	HES4	23843	TRUE
ENSG00000187608	ISG15	Gene Expression	ISG15	52320	TRUE
ENSG00000224969	AL645608.2	Gene Expression	AL645608.2	2	FALSE
ENSG00000188157	AGRN	Gene Expression	AGRN	22821	TRUE
ENSG00000273443	AL645608.9	Gene Expression	AL645608.9	6	TRUE
ENSG00000237330	RNF223	Gene Expression	RNF223	3324	TRUE
ENSG00000131591	C1orf159	Gene Expression	C1orf159	14290	TRUE
ENSG00000223823	LINC01342	Gene Expression	LINC01342	647	TRUE
ENSG00000272141	AL390719.2	Gene Expression	AL390719.2	42842	TRUE
ENSG00000205231	TTLL10-AS1	Gene Expression	TTLL10-AS1	110	TRUE
ENSG00000162571	TTLL10	Gene Expression	TTLL10	2344	TRUE
ENSG00000186891	TNFRSF18	Gene Expression	TNFRSF18	9908	TRUE
ENSG00000186827	TNFRSF4	Gene Expression	TNFRSF4	10915	TRUE
ENSG00000078808	SDF4	Gene Expression	SDF4	71784	TRUE
ENSG00000176022	B3GALT6	Gene Expression	B3GALT6	13720	TRUE
ENSG00000184163	C1QTNF12	Gene Expression	C1QTNF12	14270	TRUE
ENSG00000260179	AL162741.1	Gene Expression	AL162741.1	139	TRUE
ENSG00000160087	UBE2J2	Gene Expression	UBE2J2	39166	TRUE
ENSG00000230415	LINC01786	Gene Expression	LINC01786	75	TRUE
ENSG00000162572	SCNN1D	Gene Expression	SCNN1D	767	TRUE
ENSG00000131584	ACAP3	Gene Expression	ACAP3	18738	TRUE
ENSG00000169972	PUSL1	Gene Expression	PUSL1	13031	TRUE
ENSG00000127054	INTS11	Gene Expression	INTS11	45897	TRUE
ENSG00000224051	CPTP	Gene Expression	CPTP	20130	TRUE
ENSG00000169962	TAS1R3	Gene Expression	TAS1R3	1204	TRUE
ENSG00000107404	DVL1	Gene Expression	DVL1	29282	TRUE
ENSG00000162576	MXRA8	Gene Expression	MXRA8	4052	TRUE
ENSG00000175756	AURKAIP1	Gene Expression	AURKAIP1	91837	TRUE
ENSG00000221978	CCNL2	Gene Expression	CCNL2	73201	TRUE
ENSG00000242485	MRPL20	Gene Expression	MRPL20	91829	TRUE
ENSG00000272455	AL391244.3	Gene Expression	AL391244.3	2158	TRUE
ENSG00000235098	ANKRD65	Gene Expression	ANKRD65	2030	TRUE
ENSG00000225905	AL391244.2	Gene Expression	AL391244.2	4	TRUE
ENSG00000205116	TMEM88B	Gene Expression	TMEM88B	0	FALSE
ENSG00000225285	LINC01770	Gene Expression	LINC01770	43	TRUE
ENSG00000179403	VWA1	Gene Expression	VWA1	21107	TRUE
ENSG00000215915	ATAD3C	Gene Expression	ATAD3C	2215	TRUE
ENSG00000160072	ATAD3B	Gene Expression	ATAD3B	21650	TRUE
ENSG00000197785	ATAD3A	Gene Expression	ATAD3A	20641	TRUE
ENSG00000205090	TMEM240	Gene Expression	TMEM240	746	TRUE
ENSG00000160075	SSU72	Gene Expression	SSU72	87483	TRUE
ENSG00000215014	AL645728.1	Gene Expression	AL645728.1	3438	TRUE
ENSG00000228594	FNDC10	Gene Expression	FNDC10	4921	TRUE
ENSG00000272106	AL691432.2	Gene Expression	AL691432.2	7630	TRUE
ENSG00000197530	MIB2	Gene Expression	MIB2	39085	TRUE
ENSG00000189409	MMP23B	Gene Expression	MMP23B	3749	TRUE
ENSG00000248333	CDK11B	Gene Expression	CDK11B	45034	TRUE
ENSG00000272004	FO704657.1	Gene Expression	FO704657.1	514	TRUE
ENSG00000189339	SLC35E2B	Gene Expression	SLC35E2B	27197	TRUE
ENSG00000008128	CDK11A	Gene Expression	CDK11A	40466	TRUE
ENSG00000215790	SLC35E2A	Gene Expression	SLC35E2A	15704	TRUE
ENSG00000008130	NADK	Gene Expression	NADK	45908	TRUE
ENSG00000078369	GNB1	Gene Expression	GNB1	88134	TRUE
ENSG00000231050	AL109917.1	Gene Expression	AL109917.1	511	TRUE
ENSG00000169885	CALML6	Gene Expression	CALML6	139	TRUE
ENSG00000178821	TMEM52	Gene Expression	TMEM52	5356	TRUE
ENSG00000142609	CFAP74	Gene Expression	CFAP74	222	TRUE
ENSG00000233542	AL391845.2	Gene Expression	AL391845.2	132	TRUE
ENSG00000187730	GABRD	Gene Expression	GABRD	670	TRUE
ENSG00000226969	AL391845.1	Gene Expression	AL391845.1	96	TRUE
ENSG00000067606	PRKCZ	Gene Expression	PRKCZ	24264	TRUE
ENSG00000271806	AL590822.2	Gene Expression	AL590822.2	974	TRUE
ENSG00000182873	PRKCZ-AS1	Gene Expression	PRKCZ-AS1	268	TRUE
ENSG00000162585	FAAP20	Gene Expression	FAAP20	44932	TRUE
ENSG00000234396	AL590822.1	Gene Expression	AL590822.1	27	TRUE
ENSG00000157933	SKI	Gene Expression	SKI	29476	TRUE
ENSG00000116151	MORN1	Gene Expression	MORN1	5832	TRUE
ENSG00000157916	RER1	Gene Expression	RER1	77498	TRUE
ENSG00000157911	PEX10	Gene Expression	PEX10	13885	TRUE
ENSG00000149527	PLCH2	Gene Expression	PLCH2	2934	TRUE
ENSG00000224387	AL139246.1	Gene Expression	AL139246.1	34	TRUE
ENSG00000229393	AL139246.4	Gene Expression	AL139246.4	1	FALSE
ENSG00000157881	PANK4	Gene Expression	PANK4	10619	TRUE
ENSG00000197921	HES5	Gene Expression	HES5	2581	TRUE
ENSG00000272449	AL139246.5	Gene Expression	AL139246.5	8594	TRUE
ENSG00000238164	TNFRSF14-AS1	Gene Expression	TNFRSF14-AS1	28057	TRUE
ENSG00000157873	TNFRSF14	Gene Expression	TNFRSF14	72834	TRUE
ENSG00000228037	AL139246.3	Gene Expression	AL139246.3	4506	TRUE
ENSG00000157870	FAM213B	Gene Expression	FAM213B	30649	TRUE
ENSG00000142606	MMEL1	Gene Expression	MMEL1	7437	TRUE
ENSG00000237058	AL831784.1	Gene Expression	AL831784.1	14	TRUE
ENSG00000215912	TTC34	Gene Expression	TTC34	1989	TRUE
ENSG00000283259	AC242022.1	Gene Expression	AC242022.1	0	FALSE
ENSG00000233234	AL592464.2	Gene Expression	AL592464.2	0	FALSE
ENSG00000231630	AL592464.1	Gene Expression	AL592464.1	0	FALSE
ENSG00000284745	AL589702.1	Gene Expression	AL589702.1	0	FALSE
ENSG00000169717	ACTRT2	Gene Expression	ACTRT2	1	FALSE
ENSG00000177133	LINC00982	Gene Expression	LINC00982	948	TRUE
ENSG00000142611	PRDM16	Gene Expression	PRDM16	2029	TRUE
ENSG00000226286	AL008733.1	Gene Expression	AL008733.1	21	TRUE
ENSG00000272235	AL590438.1	Gene Expression	AL590438.1	293	TRUE
ENSG00000130762	ARHGEF16	Gene Expression	ARHGEF16	33529	TRUE
ENSG00000272088	AL512413.1	Gene Expression	AL512413.1	445	TRUE
ENSG00000162591	MEGF6	Gene Expression	MEGF6	3795	TRUE
ENSG00000238260	AL513320.1	Gene Expression	AL513320.1	434	TRUE
ENSG00000158109	TPRG1L	Gene Expression	TPRG1L	22111	TRUE
ENSG00000116213	WRAP73	Gene Expression	WRAP73	23572	TRUE
ENSG00000078900	TP73	Gene Expression	TP73	1633	TRUE
ENSG00000227589	AL136528.1	Gene Expression	AL136528.1	13	TRUE
ENSG00000235131	AL136528.2	Gene Expression	AL136528.2	1	FALSE
ENSG00000162592	CCDC27	Gene Expression	CCDC27	12	TRUE
ENSG00000235169	SMIM1	Gene Expression	SMIM1	2436	TRUE
ENSG00000130764	LRRC47	Gene Expression	LRRC47	23680	TRUE
ENSG00000272153	AL365330.1	Gene Expression	AL365330.1	29	TRUE
ENSG00000116198	CEP104	Gene Expression	CEP104	24975	TRUE
ENSG00000169598	DFFB	Gene Expression	DFFB	9997	TRUE
ENSG00000198912	C1orf174	Gene Expression	C1orf174	29629	TRUE
ENSG00000236423	LINC01134	Gene Expression	LINC01134	1996	TRUE
ENSG00000233304	LINC01346	Gene Expression	LINC01346	13	TRUE
ENSG00000226374	LINC01345	Gene Expression	LINC01345	0	FALSE
ENSG00000284668	AL805961.1	Gene Expression	AL805961.1	1	FALSE
ENSG00000284703	AL805961.2	Gene Expression	AL805961.2	107	TRUE
ENSG00000235054	LINC01777	Gene Expression	LINC01777	3	TRUE
ENSG00000284694	AL355602.1	Gene Expression	AL355602.1	0	FALSE
ENSG00000227169	Z98747.1	Gene Expression	Z98747.1	0	FALSE
ENSG00000232596	LINC01646	Gene Expression	LINC01646	1	FALSE
ENSG00000196581	AJAP1	Gene Expression	AJAP1	581	TRUE
ENSG00000284739	BX005132.2	Gene Expression	BX005132.2	0	FALSE
ENSG00000284674	BX005132.1	Gene Expression	BX005132.1	3	TRUE
ENSG00000231510	AL691497.1	Gene Expression	AL691497.1	0	FALSE
ENSG00000284616	AL139823.1	Gene Expression	AL139823.1	0	FALSE
ENSG00000284692	Z98259.3	Gene Expression	Z98259.3	1	FALSE
ENSG00000284666	Z98259.2	Gene Expression	Z98259.2	0	FALSE
ENSG00000260972	Z98259.1	Gene Expression	Z98259.1	0	FALSE
ENSG00000236948	AL365255.1	Gene Expression	AL365255.1	4	TRUE
ENSG00000131697	NPHP4	Gene Expression	NPHP4	6001	TRUE
ENSG00000069424	KCNAB2	Gene Expression	KCNAB2	9818	TRUE
ENSG00000116254	CHD5	Gene Expression	CHD5	212	TRUE
ENSG00000116251	RPL22	Gene Expression	RPL22	194775	TRUE
ENSG00000226944	AL031847.1	Gene Expression	AL031847.1	294	TRUE
ENSG00000158286	RNF207	Gene Expression	RNF207	19736	TRUE
ENSG00000116237	ICMT	Gene Expression	ICMT	29000	TRUE
ENSG00000225077	LINC00337	Gene Expression	LINC00337	243	TRUE
ENSG00000173673	HES3	Gene Expression	HES3	0	FALSE
ENSG00000158292	GPR153	Gene Expression	GPR153	4498	TRUE
ENSG00000097021	ACOT7	Gene Expression	ACOT7	27268	TRUE
ENSG00000271746	AL031848.2	Gene Expression	AL031848.2	1212	TRUE
ENSG00000069812	HES2	Gene Expression	HES2	10644	TRUE
ENSG00000187017	ESPN	Gene Expression	ESPN	14478	TRUE
ENSG00000231868	AL031848.1	Gene Expression	AL031848.1	0	FALSE
ENSG00000215788	TNFRSF25	Gene Expression	TNFRSF25	20785	TRUE
ENSG00000171680	PLEKHG5	Gene Expression	PLEKHG5	5212	TRUE
ENSG00000162408	NOL9	Gene Expression	NOL9	23375	TRUE
ENSG00000173662	TAS1R1	Gene Expression	TAS1R1	131	TRUE
ENSG00000204859	ZBTB48	Gene Expression	ZBTB48	15137	TRUE
ENSG00000162413	KLHL21	Gene Expression	KLHL21	10267	TRUE
ENSG00000116273	PHF13	Gene Expression	PHF13	8129	TRUE
ENSG00000041988	THAP3	Gene Expression	THAP3	10244	TRUE
ENSG00000007923	DNAJC11	Gene Expression	DNAJC11	26929	TRUE
ENSG00000228750	LINC01672	Gene Expression	LINC01672	12	TRUE
ENSG00000284744	AL591163.1	Gene Expression	AL591163.1	8	TRUE
ENSG00000237436	CAMTA1-DT	Gene Expression	CAMTA1-DT	465	TRUE
ENSG00000171735	CAMTA1	Gene Expression	CAMTA1	78740	TRUE
ENSG00000237365	AL512330.1	Gene Expression	AL512330.1	2	FALSE
ENSG00000237728	Z97987.1	Gene Expression	Z97987.1	0	FALSE
ENSG00000225126	AL365194.1	Gene Expression	AL365194.1	6	TRUE
ENSG00000270171	AL359881.3	Gene Expression	AL359881.3	35	TRUE
ENSG00000270035	AL359881.2	Gene Expression	AL359881.2	61	TRUE
ENSG00000269978	AL359881.1	Gene Expression	AL359881.1	65	TRUE
ENSG00000049245	VAMP3	Gene Expression	VAMP3	33279	TRUE
ENSG00000049246	PER3	Gene Expression	PER3	8174	TRUE
ENSG00000236266	Z98884.1	Gene Expression	Z98884.1	367	TRUE
ENSG00000049247	UTS2	Gene Expression	UTS2	6546	TRUE
ENSG00000049249	TNFRSF9	Gene Expression	TNFRSF9	3480	TRUE
ENSG00000116288	PARK7	Gene Expression	PARK7	97621	TRUE
ENSG00000284747	AL034417.4	Gene Expression	AL034417.4	808	TRUE
ENSG00000284716	AL034417.3	Gene Expression	AL034417.3	1354	TRUE
ENSG00000116285	ERRFI1	Gene Expression	ERRFI1	23019	TRUE
ENSG00000238290	AL034417.2	Gene Expression	AL034417.2	378	TRUE
ENSG00000227634	LINC01714	Gene Expression	LINC01714	3	TRUE
ENSG00000233645	AL358876.2	Gene Expression	AL358876.2	3	TRUE
ENSG00000162426	SLC45A1	Gene Expression	SLC45A1	494	TRUE
ENSG00000142599	RERE	Gene Expression	RERE	65256	TRUE
ENSG00000232912	AL096855.1	Gene Expression	AL096855.1	258	TRUE
ENSG00000228423	AL357552.2	Gene Expression	AL357552.2	47	TRUE
ENSG00000074800	ENO1	Gene Expression	ENO1	120030	TRUE
ENSG00000230679	ENO1-AS1	Gene Expression	ENO1-AS1	1286	TRUE
ENSG00000131686	CA6	Gene Expression	CA6	20	TRUE
ENSG00000197241	SLC2A7	Gene Expression	SLC2A7	0	FALSE
ENSG00000142583	SLC2A5	Gene Expression	SLC2A5	7986	TRUE
ENSG00000180758	GPR157	Gene Expression	GPR157	7960	TRUE
ENSG00000228526	MIR34AHG	Gene Expression	MIR34AHG	5072	TRUE
ENSG00000234546	LINC01759	Gene Expression	LINC01759	1261	TRUE
ENSG00000049239	H6PD	Gene Expression	H6PD	31101	TRUE
ENSG00000171621	SPSB1	Gene Expression	SPSB1	10432	TRUE
ENSG00000284652	BX323043.1	Gene Expression	BX323043.1	29	TRUE
ENSG00000284693	AL928921.2	Gene Expression	AL928921.2	205	TRUE
ENSG00000235263	AL928921.1	Gene Expression	AL928921.1	0	FALSE
ENSG00000171612	SLC25A33	Gene Expression	SLC25A33	20586	TRUE
ENSG00000188807	TMEM201	Gene Expression	TMEM201	7953	TRUE
ENSG00000171608	PIK3CD	Gene Expression	PIK3CD	8736	TRUE
ENSG00000179840	PIK3CD-AS1	Gene Expression	PIK3CD-AS1	125	TRUE
ENSG00000231789	PIK3CD-AS2	Gene Expression	PIK3CD-AS2	1382	TRUE
ENSG00000171603	CLSTN1	Gene Expression	CLSTN1	54256	TRUE
ENSG00000178585	CTNNBIP1	Gene Expression	CTNNBIP1	24751	TRUE
ENSG00000223989	AL357140.1	Gene Expression	AL357140.1	6	TRUE
ENSG00000162441	LZIC	Gene Expression	LZIC	26321	TRUE
ENSG00000173614	NMNAT1	Gene Expression	NMNAT1	16538	TRUE
ENSG00000162444	RBP7	Gene Expression	RBP7	6240	TRUE
ENSG00000130939	UBE4B	Gene Expression	UBE4B	27854	TRUE
ENSG00000054523	KIF1B	Gene Expression	KIF1B	41026	TRUE
ENSG00000284735	AL139424.3	Gene Expression	AL139424.3	405	TRUE
ENSG00000284642	AL139424.2	Gene Expression	AL139424.2	905	TRUE
ENSG00000142657	PGD	Gene Expression	PGD	29784	TRUE
ENSG00000271989	AL139424.1	Gene Expression	AL139424.1	119	TRUE
ENSG00000251503	CENPS-CORT	Gene Expression	CENPS-CORT	316	TRUE
ENSG00000175279	CENPS	Gene Expression	CENPS	10742	TRUE
ENSG00000241563	CORT	Gene Expression	CORT	388	TRUE
ENSG00000160049	DFFA	Gene Expression	DFFA	32763	TRUE
ENSG00000203469	AL354956.1	Gene Expression	AL354956.1	43	TRUE
ENSG00000142655	PEX14	Gene Expression	PEX14	9465	TRUE
ENSG00000130940	CASZ1	Gene Expression	CASZ1	41274	TRUE
ENSG00000272078	AL139423.1	Gene Expression	AL139423.1	139	TRUE
ENSG00000175262	C1orf127	Gene Expression	C1orf127	182	TRUE
ENSG00000120948	TARDBP	Gene Expression	TARDBP	56924	TRUE
ENSG00000277726	AL109811.4	Gene Expression	AL109811.4	49	TRUE
ENSG00000009724	MASP2	Gene Expression	MASP2	75	TRUE
ENSG00000271895	AL109811.3	Gene Expression	AL109811.3	2191	TRUE
ENSG00000116649	SRM	Gene Expression	SRM	43582	TRUE
ENSG00000171824	EXOSC10	Gene Expression	EXOSC10	23877	TRUE
ENSG00000226849	AL109811.1	Gene Expression	AL109811.1	444	TRUE
ENSG00000230337	AL109811.2	Gene Expression	AL109811.2	886	TRUE
ENSG00000198793	MTOR	Gene Expression	MTOR	20032	TRUE
ENSG00000225602	MTOR-AS1	Gene Expression	MTOR-AS1	1	FALSE
ENSG00000171819	ANGPTL7	Gene Expression	ANGPTL7	175	TRUE
ENSG00000120942	UBIAD1	Gene Expression	UBIAD1	16030	TRUE
ENSG00000284646	AL031291.1	Gene Expression	AL031291.1	0	FALSE
ENSG00000204624	DISP3	Gene Expression	DISP3	161	TRUE
ENSG00000235643	LINC01647	Gene Expression	LINC01647	13	TRUE
ENSG00000284708	AL031731.1	Gene Expression	AL031731.1	116	TRUE
ENSG00000116661	FBXO2	Gene Expression	FBXO2	3156	TRUE
ENSG00000132879	FBXO44	Gene Expression	FBXO44	12655	TRUE
ENSG00000116663	FBXO6	Gene Expression	FBXO6	12652	TRUE
ENSG00000116670	MAD2L2	Gene Expression	MAD2L2	14863	TRUE
ENSG00000162490	DRAXIN	Gene Expression	DRAXIN	618	TRUE
ENSG00000177674	AGTRAP	Gene Expression	AGTRAP	24202	TRUE
ENSG00000215910	C1orf167	Gene Expression	C1orf167	833	TRUE
ENSG00000177553	AL953897.1	Gene Expression	AL953897.1	2	FALSE
ENSG00000177000	MTHFR	Gene Expression	MTHFR	28117	TRUE
ENSG00000011021	CLCN6	Gene Expression	CLCN6	12169	TRUE
ENSG00000242349	NPPA-AS1	Gene Expression	NPPA-AS1	2732	TRUE
ENSG00000175206	NPPA	Gene Expression	NPPA	25	TRUE
ENSG00000120937	NPPB	Gene Expression	NPPB	4	TRUE
ENSG00000116685	KIAA2013	Gene Expression	KIAA2013	51313	TRUE
ENSG00000083444	PLOD1	Gene Expression	PLOD1	15970	TRUE
ENSG00000116688	MFN2	Gene Expression	MFN2	28195	TRUE
ENSG00000116691	MIIP	Gene Expression	MIIP	17018	TRUE
ENSG00000120949	TNFRSF8	Gene Expression	TNFRSF8	726	TRUE
ENSG00000028137	TNFRSF1B	Gene Expression	TNFRSF1B	25208	TRUE
ENSG00000048707	VPS13D	Gene Expression	VPS13D	37106	TRUE
ENSG00000229484	AC243836.1	Gene Expression	AC243836.1	3	TRUE
ENSG00000162496	DHRS3	Gene Expression	DHRS3	31282	TRUE
ENSG00000272482	AC254633.1	Gene Expression	AC254633.1	146	TRUE
ENSG00000204518	AADACL4	Gene Expression	AADACL4	19	TRUE
ENSG00000188984	AADACL3	Gene Expression	AADACL3	0	FALSE
ENSG00000157330	C1orf158	Gene Expression	C1orf158	7	TRUE
ENSG00000116726	PRAMEF12	Gene Expression	PRAMEF12	0	FALSE
ENSG00000116721	PRAMEF1	Gene Expression	PRAMEF1	1	FALSE
ENSG00000228338	LINC01784	Gene Expression	LINC01784	0	FALSE
ENSG00000239810	PRAMEF11	Gene Expression	PRAMEF11	1	FALSE
ENSG00000179172	HNRNPCL1	Gene Expression	HNRNPCL1	2	FALSE
ENSG00000120952	PRAMEF2	Gene Expression	PRAMEF2	0	FALSE
ENSG00000243073	PRAMEF4	Gene Expression	PRAMEF4	1	FALSE
ENSG00000187545	PRAMEF10	Gene Expression	PRAMEF10	0	FALSE
ENSG00000204510	PRAMEF7	Gene Expression	PRAMEF7	0	FALSE
ENSG00000232423	PRAMEF6	Gene Expression	PRAMEF6	2	FALSE
ENSG00000274764	PRAMEF27	Gene Expression	PRAMEF27	1	FALSE
ENSG00000277058	HNRNPCL3	Gene Expression	HNRNPCL3	1	FALSE
ENSG00000229571	PRAMEF25	Gene Expression	PRAMEF25	0	FALSE
ENSG00000275774	HNRNPCL2	Gene Expression	HNRNPCL2	1	FALSE
ENSG00000233336	AC245056.1	Gene Expression	AC245056.1	0	FALSE
ENSG00000280267	PRAMEF26	Gene Expression	PRAMEF26	0	FALSE
ENSG00000179412	HNRNPCL4	Gene Expression	HNRNPCL4	0	FALSE
ENSG00000204505	PRAMEF9	Gene Expression	PRAMEF9	0	FALSE
ENSG00000279169	PRAMEF13	Gene Expression	PRAMEF13	1	FALSE
ENSG00000279804	PRAMEF18	Gene Expression	PRAMEF18	1	FALSE
ENSG00000270601	PRAMEF5	Gene Expression	PRAMEF5	0	FALSE
ENSG00000182330	PRAMEF8	Gene Expression	PRAMEF8	1	FALSE
ENSG00000237700	PRAMEF33	Gene Expression	PRAMEF33	0	FALSE
ENSG00000204501	PRAMEF15	Gene Expression	PRAMEF15	0	FALSE
ENSG00000228229	AC243961.1	Gene Expression	AC243961.1	0	FALSE
ENSG00000204481	PRAMEF14	Gene Expression	PRAMEF14	0	FALSE
ENSG00000204480	PRAMEF19	Gene Expression	PRAMEF19	0	FALSE
ENSG00000204479	PRAMEF17	Gene Expression	PRAMEF17	0	FALSE
ENSG00000204478	PRAMEF20	Gene Expression	PRAMEF20	0	FALSE
ENSG00000162494	LRRC38	Gene Expression	LRRC38	18	TRUE
ENSG00000259961	AL354712.1	Gene Expression	AL354712.1	1	FALSE
ENSG00000162493	PDPN	Gene Expression	PDPN	2724	TRUE
ENSG00000237445	AL359771.1	Gene Expression	AL359771.1	0	FALSE
ENSG00000116731	PRDM2	Gene Expression	PRDM2	49225	TRUE
ENSG00000189337	KAZN	Gene Expression	KAZN	9972	TRUE
ENSG00000231606	AL357873.1	Gene Expression	AL357873.1	5	TRUE
ENSG00000234593	KAZN-AS1	Gene Expression	KAZN-AS1	6	TRUE
ENSG00000175147	TMEM51-AS1	Gene Expression	TMEM51-AS1	3515	TRUE
ENSG00000171729	TMEM51	Gene Expression	TMEM51	19737	TRUE
ENSG00000204464	C1orf195	Gene Expression	C1orf195	5	TRUE
ENSG00000142621	FHAD1	Gene Expression	FHAD1	1470	TRUE
ENSG00000233485	AL031283.2	Gene Expression	AL031283.2	101	TRUE
ENSG00000236045	AL031283.3	Gene Expression	AL031283.3	2	FALSE
ENSG00000228140	AL031283.1	Gene Expression	AL031283.1	267	TRUE
ENSG00000142634	EFHD2	Gene Expression	EFHD2	79790	TRUE
ENSG00000162438	CTRC	Gene Expression	CTRC	141	TRUE
ENSG00000142615	CELA2A	Gene Expression	CELA2A	18	TRUE
ENSG00000215704	CELA2B	Gene Expression	CELA2B	3	TRUE
ENSG00000132906	CASP9	Gene Expression	CASP9	8146	TRUE
ENSG00000116138	DNAJC16	Gene Expression	DNAJC16	25315	TRUE
ENSG00000272510	AL121992.3	Gene Expression	AL121992.3	862	TRUE
ENSG00000116771	AGMAT	Gene Expression	AGMAT	11012	TRUE
ENSG00000237301	AL121992.1	Gene Expression	AL121992.1	221	TRUE
ENSG00000197312	DDI2	Gene Expression	DDI2	34536	TRUE
ENSG00000215695	RSC1A1	Gene Expression	RSC1A1	0	FALSE
ENSG00000271742	AL121992.2	Gene Expression	AL121992.2	15	TRUE
ENSG00000116786	PLEKHM2	Gene Expression	PLEKHM2	26950	TRUE
ENSG00000237938	AL450998.3	Gene Expression	AL450998.3	28	TRUE
ENSG00000162461	SLC25A34	Gene Expression	SLC25A34	3416	TRUE
ENSG00000224459	SLC25A34-AS1	Gene Expression	SLC25A34-AS1	90	TRUE
ENSG00000162460	TMEM82	Gene Expression	TMEM82	4954	TRUE
ENSG00000162458	FBLIM1	Gene Expression	FBLIM1	53952	TRUE
ENSG00000233954	UQCRHL	Gene Expression	UQCRHL	2345	TRUE
ENSG00000179743	AL450998.2	Gene Expression	AL450998.2	9661	TRUE
ENSG00000065526	SPEN	Gene Expression	SPEN	71397	TRUE
ENSG00000116809	ZBTB17	Gene Expression	ZBTB17	14004	TRUE
ENSG00000183888	SRARP	Gene Expression	SRARP	14	TRUE
ENSG00000233078	AL355994.3	Gene Expression	AL355994.3	1	FALSE
ENSG00000173641	HSPB7	Gene Expression	HSPB7	789	TRUE
ENSG00000186510	CLCNKA	Gene Expression	CLCNKA	47	TRUE
ENSG00000184908	CLCNKB	Gene Expression	CLCNKB	96	TRUE
ENSG00000185519	FAM131C	Gene Expression	FAM131C	222	TRUE
ENSG00000142627	EPHA2	Gene Expression	EPHA2	24976	TRUE
ENSG00000227959	AL451042.2	Gene Expression	AL451042.2	445	TRUE
ENSG00000224621	AL451042.1	Gene Expression	AL451042.1	128	TRUE
ENSG00000234166	ARHGEF19-AS1	Gene Expression	ARHGEF19-AS1	2	FALSE
ENSG00000142632	ARHGEF19	Gene Expression	ARHGEF19	5424	TRUE
ENSG00000132881	CPLANE2	Gene Expression	CPLANE2	1158	TRUE
ENSG00000037637	FBXO42	Gene Expression	FBXO42	21852	TRUE
ENSG00000055070	SZRD1	Gene Expression	SZRD1	38402	TRUE
ENSG00000187144	SPATA21	Gene Expression	SPATA21	158	TRUE
ENSG00000157191	NECAP2	Gene Expression	NECAP2	41217	TRUE
ENSG00000226029	LINC01772	Gene Expression	LINC01772	2465	TRUE
ENSG00000261135	AL137802.2	Gene Expression	AL137802.2	4391	TRUE
ENSG00000224174	AL137802.1	Gene Expression	AL137802.1	16	TRUE
ENSG00000233421	LINC01783	Gene Expression	LINC01783	9	TRUE
ENSG00000219481	NBPF1	Gene Expression	NBPF1	15121	TRUE
ENSG00000271732	AL137798.1	Gene Expression	AL137798.1	21	TRUE
ENSG00000282143	AL137798.2	Gene Expression	AL137798.2	0	FALSE
ENSG00000279151	AL021920.1	Gene Expression	AL021920.1	0	FALSE
ENSG00000282740	AL021920.3	Gene Expression	AL021920.3	5	TRUE
ENSG00000058453	CROCC	Gene Expression	CROCC	8966	TRUE
ENSG00000223643	BX284668.1	Gene Expression	BX284668.1	1	FALSE
ENSG00000228549	BX284668.2	Gene Expression	BX284668.2	10	TRUE
ENSG00000238142	BX284668.5	Gene Expression	BX284668.5	13306	TRUE
ENSG00000272426	BX284668.6	Gene Expression	BX284668.6	2999	TRUE
ENSG00000117122	MFAP2	Gene Expression	MFAP2	3008	TRUE
