gene_id	gene_symbol	feature_type	seurat_feature_name	detected_cells_merged_raw	formal_merged_gene_filter_pass
ENSG00000240012	SLC9A9-AS1	Gene Expression	SLC9A9-AS1	0	FALSE
ENSG00000244493	SLC9A9-AS2	Gene Expression	SLC9A9-AS2	1	FALSE
ENSG00000181744	C3orf58	Gene Expression	C3orf58	19014	TRUE
ENSG00000244358	AC055758.2	Gene Expression	AC055758.2	1	FALSE
ENSG00000240095	AC055758.1	Gene Expression	AC055758.1	0	FALSE
ENSG00000243415	AC107021.1	Gene Expression	AC107021.1	1	FALSE
ENSG00000240032	LNCSRLR	Gene Expression	LNCSRLR	245	TRUE
ENSG00000152952	PLOD2	Gene Expression	PLOD2	32120	TRUE
ENSG00000114698	PLSCR4	Gene Expression	PLSCR4	20538	TRUE
ENSG00000163746	PLSCR2	Gene Expression	PLSCR2	842	TRUE
ENSG00000188313	PLSCR1	Gene Expression	PLSCR1	83441	TRUE
ENSG00000231213	PLSCR5	Gene Expression	PLSCR5	2	FALSE
ENSG00000241457	PLSCR5-AS1	Gene Expression	PLSCR5-AS1	0	FALSE
ENSG00000243620	AC092957.1	Gene Expression	AC092957.1	0	FALSE
ENSG00000242671	LINC02010	Gene Expression	LINC02010	0	FALSE
ENSG00000174963	ZIC4	Gene Expression	ZIC4	8	TRUE
ENSG00000241202	ZIC4-AS1	Gene Expression	ZIC4-AS1	0	FALSE
ENSG00000152977	ZIC1	Gene Expression	ZIC1	82	TRUE
ENSG00000239661	AC092925.1	Gene Expression	AC092925.1	1	FALSE
ENSG00000239922	AC092958.1	Gene Expression	AC092958.1	11	TRUE
ENSG00000241131	LINC02032	Gene Expression	LINC02032	1	FALSE
ENSG00000241792	AC092958.2	Gene Expression	AC092958.2	0	FALSE
ENSG00000244650	AC025566.1	Gene Expression	AC025566.1	0	FALSE
ENSG00000243347	LINC02045	Gene Expression	LINC02045	0	FALSE
ENSG00000242440	LINC02046	Gene Expression	LINC02046	2	FALSE
ENSG00000144891	AGTR1	Gene Expression	AGTR1	508	TRUE
ENSG00000153002	CPB1	Gene Expression	CPB1	99	TRUE
ENSG00000240521	AC092979.1	Gene Expression	AC092979.1	2	FALSE
ENSG00000163751	CPA3	Gene Expression	CPA3	376	TRUE
ENSG00000163754	GYG1	Gene Expression	GYG1	26656	TRUE
