integration_feature	anchor_feature	integrated_correction_feature
PCOLCE	TRUE	TRUE
APOC1	TRUE	TRUE
LYPD8	TRUE	TRUE
COL4A1	TRUE	TRUE
MMP12	TRUE	TRUE
ENG	TRUE	TRUE
SOCS3	TRUE	TRUE
STMN1	TRUE	TRUE
MS4A1	TRUE	TRUE
FCGR3A	TRUE	TRUE
CXCL10	TRUE	TRUE
MADCAM1	TRUE	TRUE
SLC9A3R2	TRUE	TRUE
CD14	TRUE	TRUE
KRT20	TRUE	TRUE
CTSK	TRUE	TRUE
IGKV4-1	TRUE	TRUE
CD79A	TRUE	TRUE
CCL18	TRUE	TRUE
TCL1A	TRUE	TRUE
IGKV3-20	TRUE	TRUE
S100A4	TRUE	TRUE
SELENOP	TRUE	TRUE
COL15A1	TRUE	TRUE
SCGN	TRUE	TRUE
HLA-DQB1	TRUE	TRUE
IL7R	TRUE	TRUE
DUOX2	TRUE	TRUE
RGS1	TRUE	TRUE
GREM1	TRUE	TRUE
MFAP4	TRUE	TRUE
MT1G	TRUE	TRUE
IGFBP6	TRUE	TRUE
AKAP12	TRUE	TRUE
CPVL	TRUE	TRUE
SFRP1	TRUE	TRUE
MNDA	TRUE	TRUE
MKI67	TRUE	TRUE
OGN	TRUE	TRUE
PLAT	TRUE	TRUE
EFEMP1	TRUE	TRUE
CHI3L1	TRUE	TRUE
COL5A2	TRUE	TRUE
ASPM	TRUE	TRUE
FSTL1	TRUE	TRUE
CLEC14A	TRUE	TRUE
GZMB	TRUE	TRUE
CD93	TRUE	TRUE
VCAM1	TRUE	TRUE
IGKV3-11	TRUE	TRUE
CSRP2	TRUE	TRUE
HLA-DRB1	TRUE	TRUE
MMRN1	TRUE	TRUE
RNASE1	TRUE	TRUE
EREG	TRUE	TRUE
CAVIN1	TRUE	TRUE
IGLV2-14	TRUE	TRUE
PHGR1	TRUE	TRUE
LRMP	TRUE	TRUE
HSPA1A	TRUE	TRUE
SH2D6	TRUE	TRUE
BGN	TRUE	TRUE
HPGDS	TRUE	TRUE
AREG	TRUE	TRUE
CCL11	TRUE	TRUE
ECSCR	TRUE	TRUE
PI16	TRUE	TRUE
WISP2	TRUE	TRUE
LST1	TRUE	TRUE
MEG3	TRUE	TRUE
CSF3	TRUE	TRUE
ADH1B	TRUE	TRUE
APLNR	TRUE	TRUE
ADAMTS9	TRUE	TRUE
NOTCH3	TRUE	TRUE
S100A12	TRUE	TRUE
DEPP1	TRUE	TRUE
TNFRSF4	TRUE	TRUE
RGS13	TRUE	TRUE
COL12A1	TRUE	TRUE
TNFRSF17	TRUE	TRUE
PTTG1	TRUE	TRUE
INHBA	TRUE	TRUE
SULF1	TRUE	TRUE
ACKR3	TRUE	TRUE
SRGN	TRUE	TRUE
CD69	TRUE	TRUE
DMBT1	TRUE	TRUE
F3	TRUE	TRUE
CNN1	TRUE	TRUE
MFGE8	TRUE	TRUE
PTGS2	TRUE	TRUE
CCL19	TRUE	TRUE
MS4A7	TRUE	TRUE
CILP	TRUE	TRUE
SPIB	TRUE	TRUE
TPH1	TRUE	TRUE
AQP1	TRUE	TRUE
IGHV3-7	TRUE	TRUE
CD248	TRUE	TRUE
ADGRL4	TRUE	TRUE
LIFR	TRUE	TRUE
HIST1H4C	TRUE	TRUE
SERPINE2	TRUE	TRUE
LCN2	TRUE	TRUE
CD34	TRUE	TRUE
MS4A12	TRUE	TRUE
PPP1R14A	TRUE	TRUE
IGLV6-57	TRUE	TRUE
SOD3	TRUE	TRUE
HTRA1	TRUE	TRUE
DNASE1L3	TRUE	TRUE
TPSB2	TRUE	TRUE
ENPP2	TRUE	TRUE
C1QTNF3	TRUE	TRUE
CAVIN2	TRUE	TRUE
IFNG	TRUE	TRUE
TNC	TRUE	TRUE
IGLV1-40	TRUE	TRUE
SPON2	TRUE	TRUE
DUSP2	TRUE	TRUE
CXCL11	TRUE	TRUE
CACNA1A	TRUE	TRUE
MMP9	TRUE	TRUE
CTSL	TRUE	TRUE
PDGFRB	TRUE	TRUE
SCG5	TRUE	TRUE
MMP7	TRUE	TRUE
ATF3	TRUE	TRUE
HYAL2	TRUE	TRUE
GJA4	TRUE	TRUE
S100B	TRUE	TRUE
FGL2	TRUE	TRUE
COL4A2	TRUE	TRUE
CRYAB	TRUE	TRUE
STC1	TRUE	TRUE
NTS	TRUE	TRUE
IGHV3-23	TRUE	TRUE
CCL8	TRUE	TRUE
CEACAM1	TRUE	TRUE
CD83	TRUE	TRUE
MT1M	TRUE	TRUE
PCLAF	TRUE	TRUE
C7	TRUE	TRUE
KLF2	TRUE	TRUE
MT1X	TRUE	TRUE
CD7	TRUE	TRUE
WFDC2	TRUE	TRUE
FXYD3	TRUE	TRUE
RGS16	TRUE	TRUE
GDF15	TRUE	TRUE
KLRC1	TRUE	TRUE
EDN1	TRUE	TRUE
SNCG	TRUE	TRUE
PLA2G2A	TRUE	TRUE
IL6	TRUE	TRUE
IGHV4-39	TRUE	TRUE
MMP10	TRUE	TRUE
ADIRF	TRUE	TRUE
MT2A	TRUE	TRUE
ANXA1	TRUE	TRUE
MAFB	TRUE	TRUE
CALCRL	TRUE	TRUE
PCDH17	TRUE	TRUE
CAVIN3	TRUE	TRUE
PLAU	TRUE	TRUE
CEACAM5	TRUE	TRUE
IGLV2-11	TRUE	TRUE
FBLN2	TRUE	TRUE
CTHRC1	TRUE	TRUE
CCNB1	TRUE	TRUE
EMP1	TRUE	TRUE
FAM167B	TRUE	TRUE
TPSAB1	TRUE	TRUE
SELENOM	TRUE	TRUE
JAM2	TRUE	TRUE
APLN	TRUE	TRUE
WNT5A	TRUE	TRUE
KRT19	TRUE	TRUE
CDC20	TRUE	TRUE
TFPI	TRUE	TRUE
FLNA	TRUE	TRUE
IGHV3-74	TRUE	TRUE
PODXL	TRUE	TRUE
ICAM1	TRUE	TRUE
XBP1	TRUE	TRUE
EGFL6	TRUE	TRUE
TYMS	TRUE	TRUE
