gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
MT-CYB	13	5.7913949478656	0.658611335041035	1053045.5	0.743767595735634	3.22570413053101e-27	2.39739561852628e-24	100	99.9646142958245	TRUE	TRUE	2
ABCA8	13	1.21806177318056	0.907193561059649	1038362.5	0.733396971096731	1.56900276826133e-51	4.79400079160203e-48	63.4730538922156	18.1646614767634	TRUE	TRUE	3
DCN	13	3.71115948766261	1.77909990358416	1036463.5	0.732055704585168	3.17655632672826e-27	2.39739561852628e-24	98.8023952095809	53.656522764803	TRUE	TRUE	4
MT-ND4	13	5.61921294146205	0.588892693086971	1028044	0.726108999269684	1.20571782830887e-23	6.76653766544197e-21	100	99.9764095305497	TRUE	TRUE	5
GSN	13	2.86413230920783	0.978338278539902	1020166	0.720544756205918	9.24997477729199e-23	4.46254484913601e-20	94.0119760479042	79.0634583628214	TRUE	TRUE	6
LTBP4	13	1.81962839974542	0.897510415838397	1012479	0.715115416724937	1.87982533692357e-24	1.23079326047765e-21	82.0359281437126	49.1153573956122	TRUE	TRUE	7
MT-ATP6	13	6.00379068513392	0.544758142632146	1008449.5	0.712269374909064	4.97679056234336e-21	2.13838693240438e-18	100	100	TRUE	TRUE	8
MT-CO3	13	6.60159135250656	0.659464809336382	1008304.5	0.712166961194384	5.19640034901585e-21	2.19839712611672e-18	100	100	TRUE	TRUE	9
MT-ND2	13	4.42824633835318	0.597248189900592	1003928.5	0.709076185915501	1.89450428456464e-20	7.13657168784153e-18	100	99.8348667138476	TRUE	TRUE	10
GPM6B	14	2.41475693644977	2.33564460970791	1182160	0.93384648440956	0	0	87.9194630872483	7.00329566854991	TRUE	TRUE	1
CRYAB	14	2.94126084278292	2.25541294223624	1178379	0.930859686042544	4.48040310149289e-87	9.1264151768854e-85	94.6308724832215	44.138418079096	TRUE	TRUE	2
S100B	14	2.7166575074634	2.71381001365937	1172151	0.92593988169719	0	0	85.2348993288591	0.211864406779661	TRUE	TRUE	3
CLU	14	3.55819683518593	2.81549241632852	1151263	0.909439420366789	6.18721959126343e-87	1.24191497474564e-84	90.6040268456376	36.4171374764595	TRUE	TRUE	4
CDH19	14	1.75212061508678	1.7470628927972	1141375	0.901628401521758	0	0	80.5369127516778	0.294256120527307	TRUE	TRUE	5
PLP1	14	1.8866413482777	1.88336673404104	1129426	0.892189297134696	0	0	78.5234899328859	0.270715630885122	TRUE	TRUE	6
CD9	14	2.8183012402347	1.9451259560239	1126332.5	0.889745588923015	6.22677493157167e-67	9.95523743274939e-65	93.2885906040269	51.8714689265537	TRUE	TRUE	7
AP1S2	14	1.82282721523709	1.64976128809325	1114226.5	0.880182462493206	1.82995886635023e-130	5.08303422886515e-128	80.5369127516778	15.9722222222222	TRUE	TRUE	8
LGI4	14	1.62001872971942	1.46763164747732	1061952.5	0.838888651904094	3.77811626731247e-127	1.00868368189151e-124	73.1543624161074	12.3587570621469	TRUE	TRUE	9
PRNP	14	1.76415671884697	1.30897147216524	1056765.5	0.834791184797583	7.52240068048608e-61	1.11815403412263e-58	82.5503355704698	34.310263653484	TRUE	TRUE	10
PECAM1	15	1.60198558225683	1.57620856958117	887010.5	0.944784044309528	0	0	90	2.24956063268893	TRUE	TRUE	1
VWF	15	1.420217018425	1.40185929326495	845290	0.900346168184481	0	0	80.9090909090909	1.65202108963093	TRUE	TRUE	2
EGFL7	15	1.24717509687978	1.22260026042907	842674	0.897559780582628	0	0	80.9090909090909	2.42530755711775	TRUE	TRUE	3
CD74	15	2.43092406838939	1.80585532039142	834503.5	0.888857112424775	2.67397115783591e-60	4.15432389092258e-58	94.5454545454546	34.9619214997071	TRUE	TRUE	4
ACKR1	15	1.98283368879768	1.93103167180327	832616	0.886846674122597	3.21857206816126e-296	2.21268783255916e-293	79.0909090909091	4.10076157000586	TRUE	TRUE	5
CAVIN2	15	1.10392833209845	1.02229511330791	803056	0.855361346327955	2.04554462729628e-163	6.944497741484e-161	76.3636363636364	7.13532513181019	TRUE	TRUE	6
CD93	15	1.02113467548785	0.995146286170535	802783	0.85507056505299	0	0	72.7272727272727	2.46045694200352	TRUE	TRUE	7
PLVAP	15	1.08110259385482	1.06980669608935	798904	0.8509389146296	0	0	70.9090909090909	0.937316930287053	TRUE	TRUE	8
AQP1	15	1.17573884287029	1.14593501054852	794532	0.846282153698674	0	0	70.9090909090909	2.72993555946104	TRUE	TRUE	9
RNASE1	15	1.00953053422371	0.97233353957398	794029.5	0.845746924428823	5.65884735226538e-299	3.99006777794733e-296	71.8181818181818	3.08142940831869	TRUE	TRUE	10
ACTG2	16	2.50424038057185	2.06172448082248	780736	0.887375458329261	3.19036185677834e-69	9.74797341106083e-66	87.378640776699	25.1229220323109	TRUE	TRUE	1
PDLIM3	16	1.75665048836262	1.2490189269148	733571.5	0.833768836110776	2.68776859467897e-43	3.69554742925385e-40	85.4368932038835	33.551861390775	TRUE	TRUE	2
MYLK	16	2.20338134159816	1.37560079498377	733306	0.833467071898307	1.63200206991868e-36	1.95123586611712e-33	90.2912621359223	46.6518379770546	TRUE	TRUE	3
LPP	16	2.21804503955967	1.22519234284443	724437	0.823386669636951	1.44530625840733e-31	1.47201765925716e-28	90.2912621359223	59.342074455631	TRUE	TRUE	4
PITX1	16	1.42912242044703	1.26095920516359	706938.5	0.803498078029065	2.32767678523112e-70	8.00109798963381e-67	67.9611650485437	13.0648560056193	TRUE	TRUE	5
TAGLN	16	4.06937522685829	2.03361200231286	705945	0.802368877482593	2.01943087526503e-27	1.46137709576087e-24	99.0291262135922	62.3741512526341	TRUE	TRUE	6
TGM2	16	1.255996211667	1.03408277214993	695388	0.790369914051187	8.24011796980716e-55	1.61853574322662e-51	69.9029126213592	16.1320533832826	TRUE	TRUE	7
FHL1	16	1.81625210204202	1.08905239307059	694590	0.789462916531223	6.9252983436198e-28	5.14699403111354e-25	84.4660194174757	46.8859751814563	TRUE	TRUE	8
SELENOM	16	2.41984673726498	0.943113826843847	686274	0.780011047638965	4.85838674616875e-23	2.52076937986593e-20	89.3203883495146	72.629360805432	TRUE	TRUE	9
TMEM176B	16	1.7636991460257	1.10240079420444	682971.5	0.776257464544126	1.45228613746902e-28	1.17460048512531e-25	82.5242718446602	37.1575743385624	TRUE	TRUE	10
STMN1	17	2.15716023376317	1.96912627880831	615331	0.944854770255081	1.42765206697225e-98	3.66906581211867e-96	93.421052631579	15.1009452678259	TRUE	TRUE	1
H2AFZ	17	2.66555773406641	1.9524626483117	604680.5	0.928500684843162	3.69632550121822e-43	5.15965761208121e-41	94.7368421052632	49.5857159528533	TRUE	TRUE	2
CENPF	17	1.43260378046116	1.41535361846626	596929.5	0.916598847743703	0	0	84.2105263157895	1.56377640331427	TRUE	TRUE	3
TUBB	17	2.68184502361961	1.62010226313181	594618	0.913049486828286	4.26367018892922e-37	5.40307219010897e-35	97.3684210526316	63.4263041195005	TRUE	TRUE	4
TUBA1B	17	2.93220466923915	1.76157890153581	591648	0.908488984159547	4.66566151481959e-36	5.77932549531639e-34	97.3684210526316	65.3868596102229	TRUE	TRUE	5
PTTG1	17	1.45377166565534	1.40767433364631	591230.5	0.907847903397191	1.89697245562211e-226	8.69414092619207e-224	84.2105263157895	4.41124985412534	TRUE	TRUE	6
HMGB1	17	3.00569333850101	1.25447602556247	589907	0.905815638992451	2.36671870183395e-34	2.84202609527213e-32	98.6842105263158	84.6656552689929	TRUE	TRUE	7
MKI67	17	1.20801178273922	1.20013864323786	585375	0.898856649734969	0	0	80.2631578947369	0.781888201657136	TRUE	TRUE	8
SMC4	17	1.34247972406051	1.19167253422597	565373	0.868143123007659	8.75166309737867e-75	1.78268135936901e-72	81.5789473684211	13.4904889718754	TRUE	TRUE	9
HMGN2	17	2.20805493657366	1.33907183591097	564205.5	0.866350400157238	2.44173782658364e-30	2.69660034109331e-28	94.7368421052632	57.661337378924	TRUE	TRUE	10
