gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
MT-CO2	0	6.91683532927661	1.00846448656499	1758202052	0.862079590354535	0	0	99.9924823334837	99.9947822230339	TRUE	TRUE	1
MT-ND4	0	6.13904026715332	0.897784073112587	1740252093.5	0.8532783875275	0	0	99.9924823334837	99.9602144506333	TRUE	TRUE	2
MT-CYB	0	6.1298197785778	0.922385513521486	1734410585.5	0.850414186101979	0	0	99.9624116674184	99.9112977915759	TRUE	TRUE	3
MT-CO3	0	7.18271517857016	1.00504607969611	1733431542.5	0.849934142874058	0	0	100	99.9967388893962	TRUE	TRUE	4
MT-ATP6	0	6.4863339078272	0.872286055286594	1699701761.5	0.83339579578582	0	0	99.9924823334837	99.9484744524595	TRUE	TRUE	5
MT-CO1	0	6.80922522098398	0.891871121141433	1687742713.5	0.827532049244777	0	0	99.9924823334837	99.9915211124301	TRUE	TRUE	6
MT-ND1	0	5.32555082688822	0.909572887300923	1668629809.5	0.818160632329376	0	0	99.9097880018043	99.5956222851254	TRUE	TRUE	7
MT-ND2	0	4.82049176165037	0.852529816735087	1587723332	0.778490662145409	0	0	99.9097880018043	99.2590756708105	TRUE	TRUE	8
MT-ND5	0	3.99836903448727	0.797820923971468	1562867178	0.766303221553053	0	0	99.639152007217	96.7414982846558	TRUE	TRUE	9
MT-ND3	0	5.25754859775415	0.841847300663885	1544981951.5	0.757533758045159	0	0	99.9548940009021	99.7234578207954	TRUE	TRUE	10
ELF3	0	1.58445128202264	0.783295073271275	1422815327.5	0.697633160697365	0	0	79.5519470756277	40.5871303531131	TRUE	TRUE	11
SLC12A2	0	1.01298421455396	0.56379316400976	1362650802.5	0.668133360599376	0	0	60.9908284468501	29.6076231721475	TRUE	TRUE	12
KLF5	0	0.940721361124609	0.469782740147698	1340026218	0.657040100575299	0	0	62.8476920763795	32.9606970950027	TRUE	TRUE	13
MT-ND4L	0	1.67220836489367	0.542028431506468	1331364045.5	0.652792874204538	0	0	83.7994286573448	64.5954266184892	TRUE	TRUE	14
PIGR	0	2.21960715355091	0.881942603351672	1324596797.5	0.649474765016216	0	0	75.1541121635844	48.4346669101629	TRUE	TRUE	15
RNF43	0	0.635025474469347	0.423603004447928	1320757605	0.647592336603664	0	0	46.0607427454518	19.6162325041416	TRUE	TRUE	16
KRT18	0	1.63394938928044	0.591390451063431	1311939054.5	0.643268435153365	0	0	79.3113817471057	46.4108216694277	TRUE	TRUE	17
TSPAN8	0	1.31700118337215	0.493194734966976	1294477587.5	0.634706748911886	0	0	71.7937152307924	40.1018770952636	TRUE	TRUE	18
EPCAM	0	1.49824132473333	0.550972789322014	1292902466	0.633934437165387	0	0	79.4542174109157	43.8612853993556	TRUE	TRUE	19
SOX9	0	0.662519501615064	0.39260123731989	1291127497	0.633064136424541	0	0	46.2937904074575	22.0646743454951	TRUE	TRUE	20
FAM84A	0	0.641478539337387	0.361648755113371	1288790405	0.631918216186484	0	0	48.007818373177	24.289403999426	TRUE	TRUE	21
KRT8	0	1.75310346762889	0.562754130773773	1283730836.5	0.629437414429433	0	0	83.6941813261164	49.1488501324011	TRUE	TRUE	22
ATP1B1	0	1.0790848106351	0.424418364704737	1279692725.5	0.627457452528737	0	0	64.9827093670125	38.896570616089	TRUE	TRUE	23
