integration_order	geo_accession	cells	sample_tree_dataset_index
1	GSM6213961	11211	-1
2	GSM6213962	9228	-2
3	GSM6213994	9049	-3
4	GSM6213989	8602	-4
5	GSM6213971	7686	-5
6	GSM6213967	7145	-6
7	GSM6213976	6196	-7
8	GSM6213960	6084	-8
9	GSM6213965	5979	-9
10	GSM6213988	5564	-10
11	GSM6213995	5330	-11
12	GSM6213974	5094	-12
13	GSM6213959	4503	-13
14	GSM6213970	4319	-14
15	GSM6213992	4107	-15
16	GSM6213958	3905	-16
17	GSM6213980	3886	-17
18	GSM6213983	3838	-18
19	GSM6213984	3704	-19
20	GSM6213966	3647	-20
21	GSM6213978	3582	-21
22	GSM6213993	3548	-22
23	GSM6213975	3461	-23
24	GSM6213977	3324	-24
25	GSM6213972	3159	-25
26	GSM6213982	3014	-26
27	GSM6213973	2974	-27
28	GSM6213979	2815	-28
29	GSM6213986	2467	-29
30	GSM6213987	2463	-30
31	GSM6213991	2420	-31
32	GSM6213964	2408	-32
33	GSM6213968	2204	-33
34	GSM6213985	1771	-34
35	GSM6213963	1622	-35
36	GSM6213981	1604	-36
37	GSM6213990	1601	-37
38	GSM6213957	1344	-38
39	GSM6213969	1044	-39
40	GSM6213956	722	-40
