author_subtype	compartment	cluster	overlap_count	overlap_genes	jaccard	author_overlap_rank
pB IgA	B	8	24	JCHAIN;SSR4;IGHA1;MZB1;FKBP11;TNFRSF17;XBP1;DERL3;SEC11C;IGHA2;SSR3;FKBP2;HSP90B1;HERPUD1;MANF;SELENOS;PDIA4;TENT5C;RRBP1;BTG2;SPCS1;HSPA5;SELENOK;PRDM1	0.315789473684211	2
pB prolif	B	8	21	MZB1;FKBP11;XBP1;PRDX4;DERL3;SEC11C;SSR3;HSP90B1;MANF;SELENOS;SDF2L1;MYDGF;SPCS3;PDIA4;RRBP1;KDELR2;RPN2;HSPA5;CRELD2;PPIB;LMAN1	0.265822784810127	3
Bfoc	B	8	0		0	4
Bgc	B	8	0		0	5
Bmem	B	8	0		0	6
Bn	B	8	0		0	7
pB IgG	B	9	35	SSR4;IGHG1;XBP1;PRDX4;MZB1;FKBP11;IGHG4;DERL3;ITM2C;SEC11C;SSR3;HSP90B1;FKBP2;SELENOS;ERLEC1;SPCS3;IGKC;NUCB2;PIM2;HERPUD1;LMAN1;IGHG3;SEL1L;GAS6;SDC1;TENT5C;SELENOK;KDELR2;JSRP1;RRBP1;IGHG2;HM13;CPEB4;PRDM1;SPCS2	0.538461538461538	1
pB prolif	B	9	22	XBP1;PRDX4;MZB1;FKBP11;IGHG4;DERL3;SEC11C;SSR3;HSP90B1;SELENOS;SPCS3;IGKC;LMAN1;IGHG3;RPN2;MYDGF;MANF;SDF2L1;KDELR2;RRBP1;CRELD2;SPCS2	0.282051282051282	2
pB IgA	B	9	17	SSR4;XBP1;MZB1;FKBP11;DERL3;SEC11C;SSR3;HSP90B1;FKBP2;SELENOS;IGKC;HERPUD1;TENT5C;MANF;SELENOK;RRBP1;PRDM1	0.204819277108434	3
Bfoc	B	9	0		0	4
Bgc	B	9	0		0	5
Bmem	B	9	0		0	6
Bn	B	9	0		0	7
