author_subtype	compartment	cluster	overlap_count	overlap_genes	jaccard	author_overlap_rank
LILR4A+pDC	Myeloid	13	1	ALOX5AP	0.0101010101010101	5
SPP1+Mac	Myeloid	13	1	CD9	0.0101010101010101	6
CD1C+cDC	Myeloid	13	0		0	7
FOLR2+Mac	Myeloid	13	0		0	8
IL1B+Mono	Myeloid	13	0		0	9
TMSB4X+Mac	Myeloid	13	0		0	10
LILR4A+pDC	Myeloid	14	3	TCF4;APP;TPM2	0.0309278350515464	1
SPP1+Mac	Myeloid	14	2	SPARC;IFI27	0.0204081632653061	2
CALHM6+Mac	Myeloid	14	1	IFITM3	0.0101010101010101	3
FOLR2+Mac	Myeloid	14	1	IFI27	0.0101010101010101	4
CCL19+mDC	Myeloid	14	0		0	5
CD1C+cDC	Myeloid	14	0		0	6
FCN1+Mono	Myeloid	14	0		0	7
IL1B+Mono	Myeloid	14	0		0	8
MKI67+Mac	Myeloid	14	0		0	9
TMSB4X+Mac	Myeloid	14	0		0	10
LILR4A+pDC	Myeloid	15	33	GZMB;BCL11A;TCF4;SEC61B;IRF7;PLAC8;UGCG;C12orf75;TSPAN13;PPP1R14B;LILRA4;CLIC3;CCDC50;IL3RA;JCHAIN;SPCS1;ITM2C;HERPUD1;SPIB;IRF8;ALOX5AP;PLD4;MZB1;SELL;CYB561A3;APP;SMPD3;SLC20A1;STMN1;SERPINF1;PPM1K;LTB;DERL3	0.492537313432836	1
CD1C+cDC	Myeloid	15	8	PLAC8;RPS23;PLD4;RPL23A;RPS11;RPS4X;RPS3A;LTB	0.0869565217391304	2
TMSB4X+Mac	Myeloid	15	7	RPS11;RPS4X;RPS3A;RPLP0;RPL10A;RPS10;RPL10	0.0752688172043011	3
MKI67+Mac	Myeloid	15	2	ALOX5AP;STMN1	0.0204081632653061	4
CALHM6+Mac	Myeloid	15	1	ALOX5AP	0.0101010101010101	5
FCN1+Mono	Myeloid	15	1	SELL	0.0101010101010101	6
CCL19+mDC	Myeloid	15	0		0	7
