geo_accession	cells_paper_basic_qc_pass	scDblFinder_singlets	scDblFinder_doublets	scDblFinder_doublet_fraction	primary_object_exclusion_by_scDblFinder	route	record_type	paper_first_round_cluster_r1_2	paper_first_round_broad_compartment	cells	filter_state	proportion_within_filter_state
							broad_cluster_composition	28	Epithelial	2072	all_primary_cells	0.0103257700722106
							broad_cluster_composition	19	Fibroblast	5000	all_primary_cells	0.0249173988229021
							broad_cluster_composition	13	Myeloid	6445	all_primary_cells	0.0321185270827208
							broad_cluster_composition	24	Myeloid	3378	all_primary_cells	0.0168341946447526
							broad_cluster_composition	15	Epithelial	5774	all_primary_cells	0.0287746121606873
							broad_cluster_composition	7	Epithelial	7963	all_primary_cells	0.0396834493653539
							broad_cluster_composition	22	Endothelial	4152	all_primary_cells	0.0206914079825379
							broad_cluster_composition	32	T/I/NK	485	all_primary_cells	0.0024169876858215
							broad_cluster_composition	23	Fibroblast	3783	all_primary_cells	0.0188525039494077
							broad_cluster_composition	27	Endothelial	2076	all_primary_cells	0.0103457039912689
							broad_cluster_composition	29	T/I/NK	1448	all_primary_cells	0.00721607869911244
							broad_cluster_composition	31	Epithelial	746	all_primary_cells	0.00371767590437699
							broad_cluster_composition	30	Endothelial	831	all_primary_cells	0.00414127168436633
							broad_cluster_composition	33	Myeloid	149	all_primary_cells	0.000742538484922482
							broad_cluster_composition	1	B	14341	exclude_scDblFinder_doublets_sensitivity	0.076808955064003
							broad_cluster_composition	8	Epithelial	6329	exclude_scDblFinder_doublets_sensitivity	0.0338974880831236
							broad_cluster_composition	12	T/I/NK	6245	exclude_scDblFinder_doublets_sensitivity	0.0334475925231643
							broad_cluster_composition	14	Epithelial	5033	exclude_scDblFinder_doublets_sensitivity	0.0269562423008944
							broad_cluster_composition	16	Epithelial	5501	exclude_scDblFinder_doublets_sensitivity	0.0294628032778105
							broad_cluster_composition	21	Epithelial	4259	exclude_scDblFinder_doublets_sensitivity	0.0228107760698409
							broad_cluster_composition	18	T/I/NK	5244	exclude_scDblFinder_doublets_sensitivity	0.028086337100316
							broad_cluster_composition	17	B	5295	exclude_scDblFinder_doublets_sensitivity	0.0283594879760056
							broad_cluster_composition	26	Epithelial	2455	exclude_scDblFinder_doublets_sensitivity	0.0131487333297627
							broad_cluster_composition	5	Epithelial	9216	exclude_scDblFinder_doublets_sensitivity	0.0493599700069627
							broad_cluster_composition	9	Epithelial	7377	exclude_scDblFinder_doublets_sensitivity	0.0395104707835681
							broad_cluster_composition	3	Epithelial	10597	exclude_scDblFinder_doublets_sensitivity	0.0567564672486744
							broad_cluster_composition	25	B	2748	exclude_scDblFinder_doublets_sensitivity	0.0147180118900969
							broad_cluster_composition	2	T/I/NK	11574	exclude_scDblFinder_doublets_sensitivity	0.0619891810829629
							broad_cluster_composition	6	Endothelial	7700	exclude_scDblFinder_doublets_sensitivity	0.0412404263296021
							broad_cluster_composition	11	T/I/NK	6722	exclude_scDblFinder_doublets_sensitivity	0.0360023565957903
							broad_cluster_composition	20	Epithelial	4112	exclude_scDblFinder_doublets_sensitivity	0.0220234588399122
							broad_cluster_composition	0	Epithelial	17134	exclude_scDblFinder_doublets_sensitivity	0.0917679824326496
							broad_cluster_composition	10	Epithelial	6873	exclude_scDblFinder_doublets_sensitivity	0.0368110974238123
							broad_cluster_composition	4	Epithelial	8480	exclude_scDblFinder_doublets_sensitivity	0.0454180279577955
							broad_cluster_composition	28	Epithelial	1986	exclude_scDblFinder_doublets_sensitivity	0.0106368164533233
							broad_cluster_composition	19	Fibroblast	4635	exclude_scDblFinder_doublets_sensitivity	0.0248245942906111
							broad_cluster_composition	13	Myeloid	5491	exclude_scDblFinder_doublets_sensitivity	0.0294092442825773
							broad_cluster_composition	24	Myeloid	3034	exclude_scDblFinder_doublets_sensitivity	0.0162497991537679
							broad_cluster_composition	15	Epithelial	5108	exclude_scDblFinder_doublets_sensitivity	0.0273579347651438
							broad_cluster_composition	7	Epithelial	7013	exclude_scDblFinder_doublets_sensitivity	0.0375609233570778
							broad_cluster_composition	22	Endothelial	3815	exclude_scDblFinder_doublets_sensitivity	0.0204327566814847
							broad_cluster_composition	32	T/I/NK	192	exclude_scDblFinder_doublets_sensitivity	0.00102833270847839
							broad_cluster_composition	23	Fibroblast	3541	exclude_scDblFinder_doublets_sensitivity	0.0189652402120936
							broad_cluster_composition	27	Endothelial	1863	exclude_scDblFinder_doublets_sensitivity	0.00997804081195437
							broad_cluster_composition	29	T/I/NK	1232	exclude_scDblFinder_doublets_sensitivity	0.00659846821273633
							broad_cluster_composition	31	Epithelial	634	exclude_scDblFinder_doublets_sensitivity	0.00339564029778801
							broad_cluster_composition	30	Endothelial	799	exclude_scDblFinder_doublets_sensitivity	0.00427936371913663
							broad_cluster_composition	33	Myeloid	132	exclude_scDblFinder_doublets_sensitivity	0.000706978737078892
