annotation_set	source_annotation_file	annotation_rows	cluster_column	unique_cluster_labels	columns
myeloid	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-15_Myeloid_cell_annotations.tsv	5552	myeloid_cluster	8	Unnamed: 0,batch,n_counts,n_genes,percent_mito,tissue,patient,myeloid_cluster,UMAP_x,UMAP_y
stroma	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-11_Stroma_cell_annotations.tsv	6649	stroma_cluster	4	Unnamed: 0,batch,n_counts,n_genes,percent_mito,tissue,patient,stroma_cluster,stroma_subcluster,UMAP_x,UMAP_y
