characteristics_ch1::outcome	binary_response_group	timepoint	timepoint_simple	working_celltype_label	cell_count	proportion_within_outcome_timepoint	metadata_note
PR	responder	pre-treatment	pre-treatment	T_cells	135	0.009689922480620155	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	post-treatment	post-treatment	B_cells	1484	0.057297297297297295	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	post-treatment	post-treatment	Mast_cells	486	0.018764478764478766	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	post-treatment	post-treatment	Monocytes	14046	0.5423166023166023	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	post-treatment	post-treatment	Plasma_cells	6691	0.25833976833976835	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	post-treatment	post-treatment	T_cells	3193	0.12328185328185329	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	post-treatment1	post-treatment	Mast_cells	293	0.032910254970234754	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	post-treatment1	post-treatment	Monocytes	479	0.05380208918342132	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	post-treatment1	post-treatment	Plasma_cells	8127	0.9128383690890711	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	post-treatment1	post-treatment	T_cells	4	0.00044928675727282937	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	post-treatment2	post-treatment	B_cells	16	0.005843681519357195	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	post-treatment2	post-treatment	Mast_cells	120	0.04382761139517896	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	post-treatment2	post-treatment	Monocytes	971	0.3546384222059898	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	post-treatment2	post-treatment	Plasma_cells	1116	0.40759678597516436	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	post-treatment2	post-treatment	T_cells	515	0.1880934989043097	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	pre-treatment	pre-treatment	B_cells	345	0.011870355078447564	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	pre-treatment	pre-treatment	Mast_cells	914	0.03144783925130746	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	pre-treatment	pre-treatment	Monocytes	16487	0.5672653454445362	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	pre-treatment	pre-treatment	Plasma_cells	6687	0.2300784475639967	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
SD	non_responder	pre-treatment	pre-treatment	T_cells	4631	0.15933801266171208	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
