run_accession	sample_accession	experiment_accession	study_accession	input_file_role	pc_local_path	expected_md5	expected_bytes	upload_directory
SRR23490337	SAMN33196641	SRX19384059	PRJNA932556	BAM	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\local_only\20260713_prjna932556_ena_bam_pair_download\R3_possorted_genome_bam.bam.1	056a5c996212a64af708d48c5b585e48	21494429186	bioinformatics-reproduction/projects/pan-gi-ici-ccc-20260709/desktop_exchange/uploads/20260714_prjna932556_srr23490337_full_bamtofastq
SRR23490337	SAMN33196641	SRX19384059	PRJNA932556	BAI	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\local_only\20260713_prjna932556_ena_bam_pair_download\R3_possorted_genome_bam.bam.1.bai	f391d287338dbf9d3856630338957bb8	10390008	bioinformatics-reproduction/projects/pan-gi-ici-ccc-20260709/desktop_exchange/uploads/20260714_prjna932556_srr23490337_full_bamtofastq
