dataset_id	object_label	sample_label	tissue_site	marker_program	n	q1	median	mean	q3
GSE178318	gse178318_working_qc_sparse_matrix	COL16_CRC		pericyte_like	4865	0	0	0.00899515084696783	0
GSE178318	gse178318_working_qc_sparse_matrix	COL16_CRC		endothelial	4865	0	0	0.0411720304398601	0
GSE178318	gse178318_working_qc_sparse_matrix	COL16_CRC		epithelial_tumor	4865	0.180733470947223	0.620114099017224	1.21455072342863	2.08507465848099
GSE178318	gse178318_working_qc_sparse_matrix	COL16_CRC		immune_context	4865	0.557019223450502	0.952546569583125	0.997504238456375	1.47509052487315
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		fibroblast_ecm	7946	0	0	0.00326420382301951	0
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		caf_activation	7946	0	0	0.012164848505227	0
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		inflammatory_caf	7946	0	0	0.0175453403385254	0
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		pericyte_like	7946	0	0	0.0132726293851237	0
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		endothelial	7946	0	0	0.0298885397417396	0
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		epithelial_tumor	7946	0	0	0.128590040029046	0
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		immune_context	7946	0.923416026611811	1.33105761784516	1.27616505776662	1.63149628625227
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		fibroblast_ecm	8421	0	0	0.0176114592656701	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		caf_activation	8421	0	0	0.0153963929126571	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		inflammatory_caf	8421	0	0	0.0204124968641722	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		pericyte_like	8421	0	0	0.0137592586022588	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		endothelial	8421	0	0	0.0342578845932278	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		epithelial_tumor	8421	0	0	0.0393218894405102	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		immune_context	8421	0.427426259075044	0.967122530856898	0.937689883744361	1.46390618768516
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		fibroblast_ecm	9582	0	0	0.0216965416385457	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		caf_activation	9582	0	0	0.0252417166291763	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		inflammatory_caf	9582	0	0	0.0306151594214613	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		pericyte_like	9582	0	0	0.0148020201853714	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		endothelial	9582	0	0	0.0298910781600807	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		epithelial_tumor	9582	0	0	0.0283621804174022	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		immune_context	9582	0.68733225534786	1.16792193257967	1.11667561025038	1.52391283319839
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		fibroblast_ecm	6679	0	0	0.000164077669751408	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		caf_activation	6679	0	0	0.00681728246247957	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		inflammatory_caf	6679	0	0	0.0118244654077751	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		pericyte_like	6679	0	0	0.00635690421226638	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		endothelial	6679	0	0	0.0269281865371182	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		epithelial_tumor	6679	0	0	0.00407069317622438	0
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		immune_context	6679	0.533302180365958	0.845089006725354	0.876583719045237	1.25143700970076
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		fibroblast_ecm	7942	0	0	0.114230671732609	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		caf_activation	7942	0	0	0.0419504495358002	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		inflammatory_caf	7942	0	0	0.0771843083401726	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		pericyte_like	7942	0	0	0.0283361983550754	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		endothelial	7942	0	0	0.0312759267639624	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		epithelial_tumor	7942	0	0	0.0738481304165174	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		immune_context	7942	0.0920980746863024	0.864875482169387	0.885370784346035	1.49744961537827
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		fibroblast_ecm	10064	0	0	0.0155974194998238	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		caf_activation	10064	0	0	0.0193401362657603	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		inflammatory_caf	10064	0	0	0.0207506470288137	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		pericyte_like	10064	0	0	0.0143903948672671	0
