dataset_id	object_label	object_path	file_size_bytes	cells	marker_programs
GSE245552	gse245552_Pt08_T3_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt08_T3_working_qc_sparse_matrix_marker_program_prepass.rds	78841	4262	7
GSE245552	gse245552_Pt08_T4_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt08_T4_working_qc_sparse_matrix_marker_program_prepass.rds	78491	4096	7
GSE245552	gse245552_Pt09_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt09_T1_working_qc_sparse_matrix_marker_program_prepass.rds	70639	4533	7
GSE245552	gse245552_Pt10_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt10_T1_working_qc_sparse_matrix_marker_program_prepass.rds	69172	6748	7
GSE245552	gse245552_Pt10_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt10_T2_working_qc_sparse_matrix_marker_program_prepass.rds	111468	7345	7
GSE245552	gse245552_Pt11_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt11_T1_working_qc_sparse_matrix_marker_program_prepass.rds	96317	6023	7
GSE245552	gse245552_Pt11_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt11_T2_working_qc_sparse_matrix_marker_program_prepass.rds	68979	4970	7
GSE245552	gse245552_Pt13_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt13_T1_working_qc_sparse_matrix_marker_program_prepass.rds	39575	3415	7
GSE245552	gse245552_Pt13_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt13_Z1_working_qc_sparse_matrix_marker_program_prepass.rds	45977	5547	7
GSE245552	gse245552_Pt15_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt15_T1_working_qc_sparse_matrix_marker_program_prepass.rds	173014	8355	7
GSE245552	gse245552_Pt15_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt15_T2_working_qc_sparse_matrix_marker_program_prepass.rds	84676	4698	7
GSE245552	gse245552_Pt15_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt15_Z1_working_qc_sparse_matrix_marker_program_prepass.rds	68667	5170	7
GSE245552	gse245552_Pt16_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt16_T1_working_qc_sparse_matrix_marker_program_prepass.rds	5060	347	7
GSE245552	gse245552_Pt16_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt16_Z1_working_qc_sparse_matrix_marker_program_prepass.rds	4531	255	7
GSE245552	gse245552_Pt17_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt17_T1_working_qc_sparse_matrix_marker_program_prepass.rds	23438	1517	7
GSE245552	gse245552_Pt17_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt17_T2_working_qc_sparse_matrix_marker_program_prepass.rds	28402	1804	7
GSE245552	gse245552_Pt17_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt17_Z1_working_qc_sparse_matrix_marker_program_prepass.rds	39363	3570	7
GSE245552	gse245552_Pt18_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt18_T1_working_qc_sparse_matrix_marker_program_prepass.rds	49335	3264	7
GSE245552	gse245552_Pt18_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt18_T2_working_qc_sparse_matrix_marker_program_prepass.rds	65513	4759	7
GSE245552	gse245552_Pt18_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt18_Z1_working_qc_sparse_matrix_marker_program_prepass.rds	42921	2793	7
GSE245552	gse245552_Pt18_Z2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_marker_program_prepass_20260708/gse245552_Pt18_Z2_working_qc_sparse_matrix_marker_program_prepass.rds	90175	5952	7
