dataset_id	object_label	sample_label	tissue_site	top_marker_program	cell_count	total_cells	fraction
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		fibroblast_ecm	245	7946	0.0308331235841933
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		immune_context	7336	7946	0.92323181474956
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		inflammatory_caf	9	7946	0.00113264535615404
GSE178318	gse178318_working_qc_sparse_matrix	COL16_LM		pericyte_like	27	7946	0.00339793606846212
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		caf_activation	27	8421	0.00320627003918774
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		endothelial	355	8421	0.0421565134782092
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		epithelial_tumor	195	8421	0.023156394727467
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		fibroblast_ecm	1084	8421	0.128725804536278
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		immune_context	6631	8421	0.787436171476072
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		inflammatory_caf	54	8421	0.00641254007837549
GSE178318	gse178318_working_qc_sparse_matrix	COL17_CRC		pericyte_like	75	8421	0.0089063056644104
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		caf_activation	31	9582	0.00323523272803173
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		endothelial	109	9582	0.0113754957211438
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		epithelial_tumor	105	9582	0.0109580463368817
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		fibroblast_ecm	695	9582	0.07253183051555
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		immune_context	8556	9582	0.892924232936756
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		inflammatory_caf	29	9582	0.00302650803590065
GSE178318	gse178318_working_qc_sparse_matrix	COL17_LM		pericyte_like	57	9582	0.00594865372573575
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		caf_activation	30	6679	0.0044916903728103
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		endothelial	68	6679	0.0101811648450367
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		epithelial_tumor	15	6679	0.00224584518640515
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		fibroblast_ecm	754	6679	0.112891151369966
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		immune_context	5765	6679	0.863153166641713
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		inflammatory_caf	11	6679	0.00164695313669711
GSE178318	gse178318_working_qc_sparse_matrix	COL17_PBMC		pericyte_like	36	6679	0.00539002844737236
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		caf_activation	59	7942	0.00742885922941325
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		endothelial	236	7942	0.029715436917653
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		epithelial_tumor	321	7942	0.0404180307227399
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		fibroblast_ecm	1529	7942	0.192520775623269
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		immune_context	5578	7942	0.70234197935029
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		inflammatory_caf	104	7942	0.0130949383026945
GSE178318	gse178318_working_qc_sparse_matrix	COL18_CRC		pericyte_like	115	7942	0.0144799798539411
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		caf_activation	36	10064	0.00357710651828299
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		endothelial	105	10064	0.0104332273449921
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		epithelial_tumor	466	10064	0.0463036565977742
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		fibroblast_ecm	698	10064	0.0693561208267091
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		immune_context	8679	10064	0.862380763116057
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		inflammatory_caf	15	10064	0.00149046104928458
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		pericyte_like	65	10064	0.00645866454689984
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		caf_activation	19	7839	0.00242377854318153
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		endothelial	109	7839	0.0139048348003572
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		epithelial_tumor	11	7839	0.00140324020921036
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		fibroblast_ecm	640	7839	0.0816430667176936
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		immune_context	6977	7839	0.890036994514606
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		inflammatory_caf	24	7839	0.00306161500191351
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		pericyte_like	59	7839	0.00752647021303738
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	caf_activation	7	3854	0.00181629475869227
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	endothelial	176	3854	0.0456668396471199
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	epithelial_tumor	1560	3854	0.404774260508563
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	fibroblast_ecm	434	3854	0.112610275038921
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	immune_context	1652	3854	0.428645563051375
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	inflammatory_caf	7	3854	0.00181629475869227
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	pericyte_like	18	3854	0.00467047223663726
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	caf_activation	6	6002	0.000999666777740753
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	endothelial	556	6002	0.0926357880706431
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	epithelial_tumor	2788	6002	0.464511829390203
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	fibroblast_ecm	303	6002	0.050483172275908
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	immune_context	2249	6002	0.374708430523159
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	inflammatory_caf	13	6002	0.00216594468510496
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	pericyte_like	87	6002	0.0144951682772409
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	caf_activation	1	3269	0.000305903946160905
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	endothelial	527	3269	0.161211379626797
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	epithelial_tumor	1031	3269	0.315386968491894
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	fibroblast_ecm	569	3269	0.174059345365555
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	immune_context	968	3269	0.296115019883756
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	inflammatory_caf	9	3269	0.00275313551544815
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	pericyte_like	164	3269	0.0501682471703885
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	caf_activation	2	5969	0.000335064499916234
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	endothelial	129	5969	0.0216116602445971
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	epithelial_tumor	2199	5969	0.368403417657899
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	fibroblast_ecm	132	5969	0.0221142569944714
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	immune_context	3164	5969	0.530072038867482
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	inflammatory_caf	11	5969	0.00184285474953929
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	pericyte_like	332	5969	0.0556207069860948
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	endothelial	69	2220	0.0310810810810811
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	epithelial_tumor	1515	2220	0.682432432432432
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	fibroblast_ecm	94	2220	0.0423423423423423
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	immune_context	525	2220	0.236486486486486
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	inflammatory_caf	6	2220	0.0027027027027027
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	pericyte_like	11	2220	0.00495495495495495
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	caf_activation	2	3218	0.000621504039776259
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	endothelial	29	3218	0.00901180857675575
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	epithelial_tumor	2197	3218	0.68272218769422
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	fibroblast_ecm	44	3218	0.0136730888750777
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	immune_context	906	3218	0.281541330018645
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	inflammatory_caf	27	3218	0.00839030453697949
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	pericyte_like	13	3218	0.00403977625854568
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	caf_activation	7	1997	0.00350525788683025
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	endothelial	301	1997	0.150726089133701
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	epithelial_tumor	421	1997	0.210816224336505
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	fibroblast_ecm	315	1997	0.157736604907361
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	immune_context	913	1997	0.457185778668002
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	inflammatory_caf	16	1997	0.00801201802704056
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	pericyte_like	24	1997	0.0120180270405608
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	caf_activation	6	3389	0.00177043375627029
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	endothelial	18	3389	0.00531130126881086
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	epithelial_tumor	2796	3389	0.825022130421953
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	fibroblast_ecm	207	3389	0.0610799645913249
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	immune_context	332	3389	0.0979640011802892
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	inflammatory_caf	6	3389	0.00177043375627029
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	pericyte_like	24	3389	0.00708173502508115
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	caf_activation	1	1971	0.000507356671740233
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	endothelial	165	1971	0.0837138508371385
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	epithelial_tumor	830	1971	0.421106037544394
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	fibroblast_ecm	89	1971	0.0451547437848808
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	immune_context	872	1971	0.442415017757483
