set_name	source_set	source_cells	removed_postclean_cluster	removed_cells	retained_cells	removal_rule
broad_refined_singlets	broad_clean_singlets	9939	13	105	9834	remove residual T/NK marker enriched post-clean cluster only
core_refined_singlets	core_clean_singlets	3478	11	35	3443	remove residual T/NK marker enriched post-clean cluster only
