dataset_id	group_field	group_value	metric	n	min	q1	median	mean	q3	max
GSE225857_nonimmune	patients_organ	LCT_s0107	percent.ribo	912	0.495049504950495	6.35924451795598	8.18191428841524	8.90741400560039	10.5511091389467	41.5757575757576
GSE225857_nonimmune	patients_organ	LCT_s0107	doublet.score	912	0.00266260935717003	0.0225468402667514	0.035843737414418	0.0475988305804013	0.0588882773802972	0.436201780415429
GSE225857_nonimmune	patients_organ	LCT_s0115	nCount_RNA	2332	1236	2610.75	3951.5	4572.48027444254	5789	18293
GSE225857_nonimmune	patients_organ	LCT_s0115	nFeature_RNA	2332	370	1075.75	1498.5	1601.03216123499	2003	4338
GSE225857_nonimmune	patients_organ	LCT_s0115	percent.mt	2332	0.284792101765711	11.8813170968479	16.1721808617596	16.754399270619	21.779623417739	39.9702823179792
GSE225857_nonimmune	patients_organ	LCT_s0115	percent.ribo	2332	0.880872483221476	8.45367552576096	10.4514059221022	10.611912325688	12.5998843066941	28.6120771419538
GSE225857_nonimmune	patients_organ	LCT_s0115	doublet.score	2332	0.00209324452901998	0.0160427807486631	0.0227864583333333	0.028787061438611	0.0337703615415177	0.29045643153527
GSE225857_nonimmune	patients_organ	LCT_s0813	nCount_RNA	4041	894	5330	8490	9347.78594407325	12512	24927
GSE225857_nonimmune	patients_organ	LCT_s0813	nFeature_RNA	4041	352	1795	2486	2508.70601336303	3182	5352
GSE225857_nonimmune	patients_organ	LCT_s0813	percent.mt	4041	0.392724266225713	15.688594415523	22.9995810640972	22.6845240451666	29.5669487307118	39.995513683266
GSE225857_nonimmune	patients_organ	LCT_s0813	percent.ribo	4041	0.850190559953093	9.73916306999437	12.5115116432048	12.5471108510507	15.0471698113208	53.7444933920705
GSE225857_nonimmune	patients_organ	LCT_s0813	doublet.score	4041	0.00329654579332091	0.0328054298642534	0.0486409155937053	0.0586489151898773	0.0723004694835681	0.280931586608443
GSE225857_nonimmune	patients_organ	LCT_s0920	nCount_RNA	10466	366	5875	8104.5	8200.60128033633	10123	24779
GSE225857_nonimmune	patients_organ	LCT_s0920	nFeature_RNA	10466	210	1992	2556	2471.82686795337	2978	5194
GSE225857_nonimmune	patients_organ	LCT_s0920	percent.mt	10466	0.241716184912881	13.6159544830277	16.9333915684346	18.8336920578444	22.8342913424722	39.9957246686618
GSE225857_nonimmune	patients_organ	LCT_s0920	percent.ribo	10466	1.58798283261803	15.4533574296639	18.7102904166887	18.1431411186473	21.4564522070586	45.2031602708804
GSE225857_nonimmune	patients_organ	LCT_s0920	doublet.score	10466	0.00402231737381601	0.0326927876216621	0.0525265957446809	0.064805315721284	0.0820419325432999	0.498901098901099
GSE225857_nonimmune	patients_organ	LCT_s1231	nCount_RNA	8685	1168	3540	5521	6397.18318940702	8380	24851
GSE225857_nonimmune	patients_organ	LCT_s1231	nFeature_RNA	8685	305	1395	1960	2062.40472078296	2626	5223
GSE225857_nonimmune	patients_organ	LCT_s1231	percent.mt	8685	0.184388444990781	11.4571318723568	15.1879030464754	16.4319790922295	20.7586206896552	39.9829254410928
GSE225857_nonimmune	patients_organ	LCT_s1231	percent.ribo	8685	0.954653937947494	6.29274965800274	8.23176448528033	8.76228435763263	10.4972375690608	47.0869687587954
GSE225857_nonimmune	patients_organ	LCT_s1231	doublet.score	8685	0.00319222761970854	0.0183333333333333	0.0302551960010524	0.0407977830635237	0.0477171301064195	0.647058823529411
GSE225857_nonimmune	batch	s0107	nCount_RNA	2516	820	2804.75	5296.5	7229.08505564388	10442.75	24841
GSE225857_nonimmune	batch	s0107	nFeature_RNA	2516	248	1140.5	1943.5	2124.34618441971	3000.25	5351
GSE225857_nonimmune	batch	s0107	percent.mt	2516	0.407166123778502	9.87441471880537	18.38323800926	19.2632142073641	27.9463045989803	39.9776831000203
GSE225857_nonimmune	batch	s0107	percent.ribo	2516	0.32379924446843	5.08000906742119	7.94165245871355	8.4870672999825	11.0401536685973	41.5757575757576
GSE225857_nonimmune	batch	s0107	doublet.score	2516	0.00266260935717003	0.0231362467866324	0.0367947669664759	0.0463558597018836	0.0571736785329018	0.436201780415429
GSE225857_nonimmune	batch	s0115	nCount_RNA	2479	1231	2530.5	3871	4547.51351351351	5710	24266
GSE225857_nonimmune	batch	s0115	nFeature_RNA	2479	370	1068	1484	1593.84509883017	1988.5	4920
GSE225857_nonimmune	batch	s0115	percent.mt	2479	0.284792101765711	12.0025074244833	16.3983050847458	17.2458581106729	22.420486867866	39.9702823179792
GSE225857_nonimmune	batch	s0115	percent.ribo	2479	0.756302521008403	8.26323924000145	10.347085789129	10.4680531128447	12.5427240823042	28.6120771419538
GSE225857_nonimmune	batch	s0115	doublet.score	2479	0.00209324452901998	0.0160427807486631	0.0227864583333333	0.0287661253846339	0.0337703615415177	0.29045643153527
GSE225857_nonimmune	batch	s0813	nCount_RNA	7132	769	4631.5	7788.5	8826.27187324734	12009.5	24927
GSE225857_nonimmune	batch	s0813	nFeature_RNA	7132	298	1608.75	2305	2363.3770330903	3042.25	5352
GSE225857_nonimmune	batch	s0813	percent.mt	7132	0.354538765134792	14.4810918638409	21.8771753430553	21.875823132279	28.7420952468007	40
GSE225857_nonimmune	batch	s0813	percent.ribo	7132	0.623441396508728	8.7461740237164	11.8346398442606	11.9318766071271	14.6011577985865	53.7444933920705
GSE225857_nonimmune	batch	s0813	doublet.score	7132	0.00329654579332091	0.0321858382311783	0.0486409155937053	0.0581507574745633	0.0723004694835681	0.570621468926553
GSE225857_nonimmune	batch	s0920	nCount_RNA	18903	276	3938.5	6500	6801.15981590224	9074	24779
