set_name	cells	genes	clean_clusters_res_0_6	original_clusters	cleanup_labels	batch_sensitive_cells	doublet_sensitive_cluster_cells
broad_clean_singlets	9939	24662	15	13	batch_sensitive_retained_singlet;core_retained_singlet;doublet_sensitive_retained_singlet	5917	544
core_clean_singlets	3478	24662	12	4	core_retained_singlet	0	0
