clean_cluster	value	N	fraction
0	core_retained_singlet	617	1
1	core_retained_singlet	529	1
10	core_retained_singlet	64	1
11	core_retained_singlet	35	1
2	core_retained_singlet	498	1
3	core_retained_singlet	403	1
4	core_retained_singlet	381	1
5	core_retained_singlet	320	1
6	core_retained_singlet	248	1
7	core_retained_singlet	168	1
8	core_retained_singlet	121	1
9	core_retained_singlet	94	1
