timestamp	bytes
2026-07-13T16:04:54+00:00	
2026-07-13T16:04:59+00:00	9872934
2026-07-13T16:05:04+00:00	23492660
2026-07-13T16:05:09+00:00	37690921
2026-07-13T16:05:14+00:00	51023135
2026-07-13T16:05:19+00:00	62456775
2026-07-13T16:05:24+00:00	75289593
2026-07-13T16:05:29+00:00	88661632
2026-07-13T16:05:34+00:00	102310915
2026-07-13T16:05:39+00:00	115813040
2026-07-13T16:05:44+00:00	129099537
2026-07-13T16:05:49+00:00	143796201
2026-07-13T16:05:54+00:00	156850232
2026-07-13T16:05:59+00:00	171785773
2026-07-13T16:06:05+00:00	185734444
2026-07-13T16:06:10+00:00	198588470
2026-07-13T16:06:15+00:00	212713930
2026-07-13T16:06:20+00:00	224057391
2026-07-13T16:06:25+00:00	237558910
2026-07-13T16:06:30+00:00	250527691
2026-07-13T16:06:35+00:00	263426115
2026-07-13T16:06:40+00:00	275386930
2026-07-13T16:06:45+00:00	287595854
2026-07-13T16:06:50+00:00	301316603
2026-07-13T16:06:55+00:00	315303633
2026-07-13T16:07:00+00:00	329182951
2026-07-13T16:07:05+00:00	342398892
2026-07-13T16:07:10+00:00	355609674
2026-07-13T16:07:15+00:00	369434844
2026-07-13T16:07:21+00:00	382702108
2026-07-13T16:07:26+00:00	396238137
2026-07-13T16:07:31+00:00	409411929
2026-07-13T16:07:36+00:00	423675781
2026-07-13T16:07:41+00:00	433617907
2026-07-13T16:07:46+00:00	447813929
2026-07-13T16:07:51+00:00	461040888
2026-07-13T16:07:56+00:00	474961207
2026-07-13T16:08:01+00:00	489364374
2026-07-13T16:08:06+00:00	503171058
2026-07-13T16:08:11+00:00	518027866
2026-07-13T16:08:16+00:00	532397721
2026-07-13T16:08:21+00:00	546632796
2026-07-13T16:08:27+00:00	560192527
2026-07-13T16:08:32+00:00	573158212
2026-07-13T16:08:37+00:00	584564139
2026-07-13T16:08:42+00:00	597925017
2026-07-13T16:08:47+00:00	611399907
2026-07-13T16:08:52+00:00	624850761
2026-07-13T16:08:57+00:00	638107509
2026-07-13T16:09:02+00:00	650267620
2026-07-13T16:09:07+00:00	663686913
2026-07-13T16:09:12+00:00	677330225
2026-07-13T16:09:17+00:00	690534524
2026-07-13T16:09:22+00:00	702358420
2026-07-13T16:09:27+00:00	714694879
2026-07-13T16:09:33+00:00	728467591
2026-07-13T16:09:38+00:00	741860491
2026-07-13T16:09:43+00:00	755073068
2026-07-13T16:09:48+00:00	768041512
2026-07-13T16:09:53+00:00	781671009
2026-07-13T16:09:58+00:00	793345379
2026-07-13T16:10:03+00:00	806623829
2026-07-13T16:10:08+00:00	819839719
2026-07-13T16:10:13+00:00	833118291
2026-07-13T16:10:18+00:00	845711007
2026-07-13T16:10:23+00:00	857593240
2026-07-13T16:10:28+00:00	870844850
2026-07-13T16:10:33+00:00	883984889
2026-07-13T16:10:39+00:00	896120373
2026-07-13T16:10:44+00:00	909216391
2026-07-13T16:10:49+00:00	921651410
