role	pc_local_path	expected_bytes	actual_bytes	bytes_match	expected_md5	actual_md5	md5_match	checked_at
BAM	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\local_only\20260713_prjna932556_ena_bam_pair_download\R3_possorted_genome_bam.bam.1	21494429186	21494429186	true	056a5c996212a64af708d48c5b585e48	056a5c996212a64af708d48c5b585e48	true	2026-07-13T23:17:32.7921252+08:00
BAI	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\local_only\20260713_prjna932556_ena_bam_pair_download\R3_possorted_genome_bam.bam.1.bai	10390008	10390008	true	f391d287338dbf9d3856630338957bb8	f391d287338dbf9d3856630338957bb8	true	2026-07-13T23:17:32.8141449+08:00
