relative_fastq_path	file_size_bytes	gzip_status	first_read_header	records_inspected	read_length_distribution_first100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_034.fastq.gz	37974064	gzip	@A00153:862:HGGWHDSX2:3:2666:18295:6277 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_035.fastq.gz	38439358	gzip	@A00153:862:HGGWHDSX2:3:2519:29731:17409 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_036.fastq.gz	38033982	gzip	@A00153:862:HGGWHDSX2:3:2256:23927:24424 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_037.fastq.gz	37788131	gzip	@A00153:862:HGGWHDSX2:3:1138:20609:6464 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_038.fastq.gz	37917063	gzip	@A00153:862:HGGWHDSX2:3:1157:23430:11443 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_039.fastq.gz	37783381	gzip	@A00153:862:HGGWHDSX2:3:1363:15429:22952 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_040.fastq.gz	37654073	gzip	@A00153:862:HGGWHDSX2:3:2513:16604:14653 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_041.fastq.gz	37881388	gzip	@A00153:862:HGGWHDSX2:3:2667:4336:30827 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_042.fastq.gz	37962215	gzip	@A00153:862:HGGWHDSX2:3:2171:11975:26929 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_043.fastq.gz	38080852	gzip	@A00153:862:HGGWHDSX2:3:1475:4951:18208 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_044.fastq.gz	38086469	gzip	@A00153:862:HGGWHDSX2:3:1562:16559:29700 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_045.fastq.gz	38201061	gzip	@A00153:862:HGGWHDSX2:3:1444:23086:2550 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_046.fastq.gz	38141855	gzip	@A00153:862:HGGWHDSX2:3:2519:19027:18693 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_047.fastq.gz	38293200	gzip	@A00153:862:HGGWHDSX2:3:2463:23818:20290 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_048.fastq.gz	38408788	gzip	@A00153:862:HGGWHDSX2:3:1572:32045:9956 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_049.fastq.gz	38458457	gzip	@A00153:862:HGGWHDSX2:3:1253:28031:20791 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_050.fastq.gz	38431315	gzip	@A00153:862:HGGWHDSX2:3:1352:20528:14935 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_051.fastq.gz	38457047	gzip	@A00153:862:HGGWHDSX2:3:2335:32868:8406 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_052.fastq.gz	38553050	gzip	@A00153:862:HGGWHDSX2:3:2371:21097:36276 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_053.fastq.gz	37979731	gzip	@A00153:862:HGGWHDSX2:3:2205:32588:29810 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_054.fastq.gz	37889624	gzip	@A00153:862:HGGWHDSX2:3:2275:25373:2347 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_055.fastq.gz	37899588	gzip	@A00153:862:HGGWHDSX2:3:1253:26549:6449 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_056.fastq.gz	37919535	gzip	@A00153:862:HGGWHDSX2:3:2217:16975:8155 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_057.fastq.gz	37956538	gzip	@A00153:862:HGGWHDSX2:3:1258:24867:22889 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_058.fastq.gz	38059209	gzip	@A00153:862:HGGWHDSX2:3:2345:1018:24173 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_059.fastq.gz	38133597	gzip	@A00153:862:HGGWHDSX2:3:2277:17336:10254 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_060.fastq.gz	37496680	gzip	@A00153:862:HGGWHDSX2:3:1610:13919:16454 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_061.fastq.gz	37453603	gzip	@A00153:862:HGGWHDSX2:3:1458:31331:22467 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_062.fastq.gz	37375553	gzip	@A00153:862:HGGWHDSX2:3:1428:32868:28761 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_063.fastq.gz	37498966	gzip	@A00153:862:HGGWHDSX2:3:2443:29324:24909 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_064.fastq.gz	37613088	gzip	@A00153:862:HGGWHDSX2:3:2568:7012:11350 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_065.fastq.gz	37684124	gzip	@A00153:862:HGGWHDSX2:3:2146:11903:29528 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_066.fastq.gz	37648793	gzip	@A00153:862:HGGWHDSX2:3:2548:24198:35759 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_067.fastq.gz	37653527	gzip	@A00153:862:HGGWHDSX2:3:2663:27868:3380 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_068.fastq.gz	37331500	gzip	@A00153:862:HGGWHDSX2:3:2535:20708:20353 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_069.fastq.gz	37535328	gzip	@A00153:862:HGGWHDSX2:3:2270:25907:11945 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_070.fastq.gz	37882998	gzip	@A00153:862:HGGWHDSX2:3:2134:20338:30545 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_071.fastq.gz	37734481	gzip	@A00153:862:HGGWHDSX2:3:2175:9860:4351 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_072.fastq.gz	37244641	gzip	@A00153:862:HGGWHDSX2:3:1504:3188:22420 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_073.fastq.gz	37580263	gzip	@A00153:862:HGGWHDSX2:3:1378:15157:17754 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_074.fastq.gz	37840025	gzip	@A00153:862:HGGWHDSX2:3:2654:26811:3834 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_075.fastq.gz	37886343	gzip	@A00153:862:HGGWHDSX2:3:1663:3468:2863 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_076.fastq.gz	37856023	gzip	@A00153:862:HGGWHDSX2:3:2221:3721:29481 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_077.fastq.gz	21115670	gzip	@A00153:862:HGGWHDSX2:3:2627:30337:27132 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_001.fastq.gz	37055587	gzip	@A00153:862:HGGWHDSX2:3:2516:10619:35916 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_002.fastq.gz	31064785	gzip	@A00153:862:HGGWHDSX2:3:2659:26440:12023 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_003.fastq.gz	33047330	gzip	@A00153:862:HGGWHDSX2:3:1323:15139:23328 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_004.fastq.gz	31240031	gzip	@A00153:862:HGGWHDSX2:3:2544:10212:32299 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_005.fastq.gz	32395062	gzip	@A00153:862:HGGWHDSX2:3:1165:11876:31328 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_006.fastq.gz	30657564	gzip	@A00153:862:HGGWHDSX2:3:2312:30309:21167 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_007.fastq.gz	36256230	gzip	@A00153:862:HGGWHDSX2:3:2474:1624:14137 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_008.fastq.gz	34787137	gzip	@A00153:862:HGGWHDSX2:3:1259:6180:5087 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_009.fastq.gz	31301313	gzip	@A00153:862:HGGWHDSX2:3:2233:9173:3630 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_010.fastq.gz	30695447	gzip	@A00153:862:HGGWHDSX2:3:1506:2790:1626 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_011.fastq.gz	31311708	gzip	@A00153:862:HGGWHDSX2:3:1330:7455:29997 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_012.fastq.gz	30946486	gzip	@A00153:862:HGGWHDSX2:3:1104:4698:32299 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_013.fastq.gz	30820874	gzip	@A00153:862:HGGWHDSX2:3:2117:3794:7467 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_014.fastq.gz	32451525	gzip	@A00153:862:HGGWHDSX2:3:1375:17915:12101 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_015.fastq.gz	35124163	gzip	@A00153:862:HGGWHDSX2:3:1144:6750:13307 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_016.fastq.gz	35957689	gzip	@A00153:862:HGGWHDSX2:3:1109:6081:2002 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_017.fastq.gz	37749916	gzip	@A00153:862:HGGWHDSX2:3:2469:22770:7952 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_018.fastq.gz	34264243	gzip	@A00153:862:HGGWHDSX2:3:1205:12662:25614 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_019.fastq.gz	30399678	gzip	@A00153:862:HGGWHDSX2:3:1230:21215:36385 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_020.fastq.gz	30383848	gzip	@A00153:862:HGGWHDSX2:3:2506:11966:14043 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_021.fastq.gz	30855713	gzip	@A00153:862:HGGWHDSX2:3:1458:3721:29606 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_022.fastq.gz	30993139	gzip	@A00153:862:HGGWHDSX2:3:2315:26711:24893 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_023.fastq.gz	31027883	gzip	@A00153:862:HGGWHDSX2:3:2450:20112:10958 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_024.fastq.gz	30830541	gzip	@A00153:862:HGGWHDSX2:3:2249:27109:20415 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_025.fastq.gz	30799417	gzip	@A00153:862:HGGWHDSX2:3:1176:11207:5337 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_026.fastq.gz	30186236	gzip	@A00153:862:HGGWHDSX2:3:1525:17815:34820 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_027.fastq.gz	30358395	gzip	@A00153:862:HGGWHDSX2:3:2633:27046:4398 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_028.fastq.gz	29836582	gzip	@A00153:862:HGGWHDSX2:3:2213:30563:31720 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_029.fastq.gz	29565639	gzip	@A00153:862:HGGWHDSX2:3:2544:8675:3740 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_030.fastq.gz	31113358	gzip	@A00153:862:HGGWHDSX2:3:2474:15555:31657 3:N:0:0	100	91:100
