Sample	Tissue	tissue_group	predicted_label	N	sample_total	proportion
CR027_2T	CR027T	Tumor	Activated C1QC+ TAMs	1737	2583	0.672473867595819
CR028_2T	CR028T	Tumor	AMs	326	2661	0.122510334460729
CR027_2T	CR027T	Tumor	SPP1+ TAMs	381	2583	0.147502903600465
CR028_2T	CR028T	Tumor	S100A12+ MDSCs	58	2661	0.0217963171739947
CR028_2T	CR028T	Tumor	SPP1+ TAMs	324	2661	0.121758737316798
CR029_2T	CR029T	Tumor	S100A12+ MDSCs	66	2899	0.0227664711969645
CR049T	CR049T	Tumor	Activated C1QC+ TAMs	2105	3160	0.666139240506329
CR035T	CR035T	Tumor	Activated C1QC+ TAMs	369	1190	0.310084033613445
CR049T	CR049T	Tumor	AMs	1055	3160	0.333860759493671
CR035T	CR035T	Tumor	AMs	821	1190	0.689915966386555
