annotation	N	fraction
Promoter	23448	0.731401478523971
Intron	3907	0.121869053931813
Distal Intergenic	3313	0.103340715555694
Exon	846	0.0263888455659877
3' UTR	336	0.0104806762531582
Downstream	124	0.00386786861723697
5' UTR	85	0.00265136155213825
