predicted_label	p_value	n_adjacent_normal	n_tumor	p_adj
Activated C1QC+ TAMs	0.984765536777249	11	22	0.984765536777249
SPP1+ TAMs	0.181692763227872	9	13	0.272539144841808
pDCs	0.0451573549471278	11	20	0.0903147098942556
CD1C+ DCs	0.0169039721911938	11	19	0.0507119165735813
S100A12+ MDSCs	0.855659855613128	4	12	0.984765536777249
THBS1+ MDSCs		4		
AMs	8.93274221667809e-05	8	26	0.000535964533000686
Resting C1QC+ TAMs		6		
