predicted_label	N
AMs	5000
Activated C1QC+ TAMs	1923
CD1C+ DCs	5000
Resting C1QC+ TAMs	5000
S100A12+ MDSCs	449
SPP1+ TAMs	5000
THBS1+ MDSCs	5000
pDCs	5000
