cluster	rank	gene	avg_log_normalized_expression_in	avg_log_normalized_expression_out	avg_log_expression_difference	pct_expressing_in	pct_expressing_out	cluster_cell_count	technical_gene
11	6	HSPB1	4.14872552968953	0.46378529930349	3.68494023038604	0.981559738762966	0.32459992642325	2603	FALSE
11	7	SFN	3.73047973460058	0.0563061133842317	3.67417362121635	0.963119477525932	0.0537110273153683	2603	FALSE
11	8	KRT6A	3.40366827059406	0.0190390579248252	3.38462921266924	0.974644640799078	0.0137611514761335	2603	FALSE
11	9	CLDN4	3.56169596352386	0.187158650900188	3.37453731262368	0.970034575489819	0.167260645635979	2603	FALSE
11	10	S100A2	3.36829208014872	0.0269260500026548	3.34136603014606	0.967345370726085	0.0180952818909225	2603	FALSE
11	11	IFI27	3.48778719968172	0.249573101230015	3.23821409845171	0.963503649635036	0.167226156534535	2603	FALSE
11	12	PERP	3.33279838155922	0.150289113383031	3.18250926817619	0.966577026507876	0.122436310126	2603	FALSE
11	13	S100A8	4.35218412947604	1.32760035090111	3.02458377857493	0.995389934690741	0.473339924583832	2603	FALSE
11	14	CSTB	3.41282142801191	0.395588437406857	3.01723299060505	0.988474836726854	0.291869769152948	2603	FALSE
11	15	CSTA	3.09658676586058	0.11397770911239	2.98260905674819	0.9842489435267	0.0958222201784236	2603	FALSE
11	16	ANXA1	3.50565165132123	0.533203797432096	2.97244785388914	0.987706492508644	0.319667984916766	2603	FALSE
11	17	SPRR3	2.97355250938777	0.0294865946048909	2.94406591478288	0.990011525163273	0.0246367147981238	2603	FALSE
11	18	LY6D	2.948088935791	0.0172070020489985	2.93088193374201	0.949673453707261	0.0137266623746896	2603	FALSE
11	19	AQP3	3.07416514864052	0.158469495914171	2.91569565272635	0.958893584325778	0.147498390508599	2603	FALSE
11	20	S100A9	4.81432068410262	1.90413746581819	2.91018321828442	0.996158278908951	0.577772923756093	2603	FALSE
11	21	KRT15	2.81217289919073	0.0498706343506907	2.76230226484003	0.953131002689205	0.0661271038351881	2603	FALSE
11	22	FABP5P7	2.83687450538159	0.112143751906976	2.72473075347462	0.943526699961583	0.137266623746896	2603	FALSE
11	23	GSTP1	3.23077710055533	0.547707907975687	2.68306919257965	0.965424510180561	0.363308194610503	2603	FALSE
11	24	S100A14	2.67525063070455	0.0482022790607877	2.62704835164376	0.963887821744141	0.0443529844569116	2603	FALSE
11	25	RHCG	2.6256009060829	0.0135606733849435	2.61204023269796	0.961198616980407	0.0120366964039364	2603	FALSE
11	26	KRT19	2.7580472530467	0.155138412547093	2.60290884049961	0.965424510180561	0.126184125816242	2603	FALSE
11	27	FXYD3	2.68720636555465	0.132419156347549	2.5547872092071	0.957741067998463	0.11782626689966	2603	FALSE
11	28	SPINK5	2.55074182059314	0.0204552933288545	2.53028652726429	0.971955436035344	0.0174859744320795	2603	FALSE
11	29	S100A11	3.75388802530592	1.37663697848993	2.37725104681598	0.988090664617749	0.618263128851283	2603	FALSE
11	30	TXN	3.00736353884202	0.652885656734599	2.35447788210742	0.962351133307722	0.412340200496643	2603	FALSE
11	31	DSP	2.31162365249563	0.0552845338586219	2.25633911863701	0.945063388398002	0.0509404028327049	2603	FALSE
11	32	LGALS7B	2.18629832000547	0.00970305810941756	2.17659526189605	0.935843257779485	0.00969143750574818	2603	FALSE
11	33	KLF4	2.53988894149733	0.369613963161375	2.17027497833595	0.930849020361122	0.22898464085349	2603	FALSE
11	34	S100A16	2.15934573366536	0.0616003403642446	2.09774539330111	0.939300806761429	0.0610687022900763	2603	FALSE
11	35	CD9	2.29220459372624	0.205485055474719	2.08671953825152	0.931233192470227	0.149705693001012	2603	FALSE
11	36	GAPDH	3.83316837235859	1.76566605520903	2.06750231714956	0.977333845562812	0.731617308930378	2603	FALSE
11	37	FABP5P2	2.09616724935653	0.0581361714107341	2.0380310779458	0.920092201306185	0.0938333486618229	2603	FALSE
11	38	ANXA2	2.5304038087241	0.520018971190929	2.01038483753317	0.957741067998463	0.364595787731077	2603	FALSE
11	39	ATP5F1B	2.63497124948432	0.74026007580799	1.89471117367634	0.9369957741068	0.436965418927619	2603	FALSE
11	40	SPRR1B	1.89192679685259	0.0154712165338591	1.87645558031873	0.955051863234729	0.0163018486158374	2603	FALSE
11	41	FABP5P1	1.88031098778936	0.0439017106727976	1.83640927711657	0.910103726469458	0.0791294950795549	2603	FALSE
11	42	PITX1	1.86007533684623	0.0305376093643193	1.82953772748191	0.920092201306185	0.0322358134829394	2603	FALSE
11	43	PRDX1	2.35956261425838	0.543962885339204	1.81559972891917	0.93622742988859	0.371263680676906	2603	FALSE
11	44	CD24	1.98880864210576	0.176514836147436	1.81229380595833	0.945831732616212	0.14732594500138	2603	FALSE
11	45	TPI1	2.59111836300635	0.821218905407658	1.76989945759869	0.945447560507107	0.464959072932953	2603	FALSE
11	46	FOS	3.61373673497581	1.86556960816647	1.74816712680934	0.979254706108336	0.699048100800147	2603	FALSE
11	47	LGALS7	1.72566291463238	0.00619856277249356	1.71946435185989	0.909719554360353	0.00744964591189184	2603	FALSE
11	48	FABP5P3	1.76195038286693	0.0426351889317705	1.71931519393516	0.892047637341529	0.0769796744228824	2603	FALSE
11	49	TRIM29	1.70595375194602	0.0119408693718517	1.69401288257416	0.893584325777949	0.0141980134277568	2603	FALSE
11	50	SPINT2	1.87615227318892	0.210920070215691	1.66523220297323	0.893200153668844	0.169743860939943	2603	FALSE
12	1	IGFBP7	3.54700611491498	0.202840055642363	3.34416605927261	0.929539295392954	0.169960971924965	2214	FALSE
12	2	PLVAP	3.32240816088201	0.0261287197455225	3.29627944113649	0.917344173441735	0.050919620477722	2214	FALSE
12	3	SPARCL1	3.33493563446778	0.0952207220490187	3.23971491241876	0.917344173441735	0.0896844562965676	2214	FALSE
12	4	A2M	2.71469350350249	0.182322045356891	2.5323714581456	0.877597109304426	0.139276435512115	2214	FALSE
12	5	SPARC	2.38628342944226	0.136913635602296	2.24936979383996	0.806233062330623	0.105433028509952	2214	FALSE
12	6	PECAM1	2.20583545501005	0.225865877766589	1.97996957724346	0.824751580849142	0.193881405010701	2214	FALSE
12	7	VWF	1.88083689093576	0.0115860109754889	1.86925087996027	0.752032520325203	0.0252251839813215	2214	FALSE
12	8	HSPG2	1.92096973920393	0.0720391746035209	1.84893056460041	0.745257452574526	0.102457280853353	2214	FALSE
12	9	GNG11	1.85106103019039	0.0293417273761353	1.82171930281425	0.783649503161698	0.0361782243942637	2214	FALSE
12	10	IGFBP4	1.83635148026162	0.0942239651659537	1.74212751509567	0.773712737127371	0.0900278117954059	2214	FALSE
12	11	MGP	1.7819551687902	0.0621882982139396	1.71976687057626	0.719512195121951	0.056676547674911	2214	FALSE
12	12	COL4A1	1.812102750616	0.0933573037950208	1.71874544682098	0.696928635953026	0.0841449875819761	2214	FALSE
12	13	ID1	1.87917727373366	0.161114213586699	1.71806306014696	0.740289069557362	0.129147448296384	2214	FALSE
12	14	IFI27	2.01054197031912	0.301423057419072	1.70911891290004	0.778681120144535	0.175454659906378	2214	FALSE
12	15	AQP1	1.69741795852935	0.00702754987859015	1.69039040865076	0.606142728093948	0.0141119110022547	2214	FALSE
12	16	GSN	1.96702526413633	0.277317396599368	1.68970786753696	0.791327913279133	0.224531605873668	2214	FALSE
12	17	ENG	1.76217351515087	0.0874891859462348	1.67468432920463	0.751580849141825	0.100900735925286	2214	FALSE
12	18	EPAS1	1.76399767461068	0.13529841658161	1.62869925802907	0.740740740740741	0.127041534570176	2214	FALSE
12	19	ID3	1.79630369015688	0.197572702371823	1.59873098778506	0.714995483288166	0.155437034324105	2214	FALSE
12	20	TGFBR2	1.75278199444628	0.1680817637693	1.58470023067698	0.756549232158988	0.143865954013254	2214	FALSE
12	21	CAV1	1.64174260815029	0.0596779811339955	1.58206462701629	0.693315266485998	0.0515376603756309	2214	FALSE
12	22	FLT1	1.65040205741801	0.0871003980267715	1.56330165939124	0.706865401987353	0.09122955604134	2214	FALSE
12	23	CAVIN1	1.53057261284187	0.0865306458328477	1.44404196700902	0.733514001806685	0.0906687420599041	2214	FALSE
12	24	CD320	1.50367349718476	0.0728153781057958	1.43085811907896	0.593044263775971	0.0830004692525151	2214	FALSE
12	25	CD59	1.7169338904607	0.291031866283498	1.4259020241772	0.746160794941283	0.246552138532499	2214	FALSE
12	26	SPTBN1	1.55852882182849	0.140490704859516	1.41803811696898	0.72583559168925	0.135819990157142	2214	FALSE
12	27	APP	1.53903439297397	0.139592324890344	1.39944206808363	0.732610659439928	0.142572648300963	2214	FALSE
12	28	TM4SF1	1.48422991234351	0.0909508841891939	1.39327902815432	0.665311653116531	0.0976960846027949	2214	FALSE
12	29	PRSS23	1.47431992987236	0.0814583394882962	1.39286159038406	0.665311653116531	0.0850491570622504	2214	FALSE
12	30	TXNIP	2.203680446371	0.817657133413966	1.38602331295704	0.757904245709124	0.422613393153491	2214	FALSE
12	31	CRIP2	1.41582001116173	0.0420283591466464	1.37379165201509	0.688346883468835	0.047714969155231	2214	FALSE
12	32	RNASE1	1.50148926920766	0.153507764478919	1.34798150472874	0.700542005420054	0.112712165085324	2214	FALSE
12	33	COL4A2	1.4561619386541	0.109820719214635	1.34634121943946	0.637759710930443	0.0914126789740538	2214	FALSE
