cluster	gene	avg_log_normalized_expression	pct_expressing	cluster_cell_count
0	CD3D	0.0644400773559638	0.0618078084796957	17878
0	CD3E	0.0505502348415155	0.0525226535406645	17878
0	TRAC	0.0588068576463832	0.052858261550509	17878
0	CD4	0.0292138687883157	0.0290300928515494	17878
0	IL7R	0.0710777060147208	0.0741134355073274	17878
0	CCR7	0.0146839088396861	0.0136480590670097	17878
0	LTB	0.399888043342087	0.204944624678376	17878
0	MALAT1	4.32408711616932	0.986855352947757	17878
0	FOXP3	0.0112519849934837	0.00950889361226088	17878
0	IL2RA	0.0283926892660386	0.0324421076183018	17878
0	CTLA4	0.0203268878151821	0.0212551739568184	17878
0	CD8A	0.0178880661427613	0.0173956818436067	17878
0	CD8B	0.00975128732956224	0.00939702427564605	17878
0	GZMK	0.012524757442341	0.011130998993176	17878
0	CCL5	0.466395700309226	0.420628705671775	17878
0	NKG7	0.0440003628812511	0.0427340865868665	17878
0	GNLY	0.0744142173739935	0.0905022933214006	17878
0	GZMB	0.0258684430172984	0.0297013088712384	17878
0	PRF1	0.0145647502758713	0.0144311444233136	17878
0	KLRD1	0.161528449229002	0.172838125069918	17878
0	FCER1G	1.09236038814737	0.495469291867099	17878
0	TRDC	0.0026462128050071	0.00257299474214118	17878
0	MS4A1	0.0324131901782129	0.0181787671999105	17878
0	CD79A	0.042312706382807	0.039713614498266	17878
0	CD74	0.887975108410482	0.493120035798188	17878
0	CD37	0.574424662889926	0.305403288958497	17878
0	CD27	0.0112415898417753	0.0110191296565611	17878
0	MZB1	0.0950720964716851	0.1063318044524	17878
0	JCHAIN	0.42517946838695	0.278890256180781	17878
0	XBP1	0.219996812649118	0.152477905806019	17878
0	SDC1	0.00958367080149094	0.0119700190177872	17878
0	LYZ	1.05638918236847	0.537644031770892	17878
0	LST1	1.1981268593254	0.534679494350598	17878
0	S100A8	3.67076087862319	0.937353171495693	17878
0	S100A9	4.7666567570212	0.971752992504755	17878
0	FCGR3A	1.1443546022929	0.615672894059738	17878
0	VCAN	0.0428449387569501	0.0548159749412686	17878
0	C1QA	0.0508599019281591	0.0585635977178655	17878
0	C1QB	0.0683746778694455	0.0752880635417832	17878
0	C1QC	0.0584864198210002	0.0658351045978297	17878
0	APOE	0.0460194007077103	0.0542566282581944	17878
0	SPP1	0.114386511924546	0.121937576910169	17878
0	CD1C	0.00195445409961332	0.00218145206398926	17878
0	CLEC10A	0.00633155652277162	0.00816646157288287	17878
0	FCER1A	0.00215282177492874	0.00251706007383376	17878
0	CLEC9A	0.0107052899479873	0.00665622552858262	17878
0	XCR1	0.000255717062435474	0.000279673341537085	17878
0	IL3RA	0.0288428866336358	0.0239400380355745	17878
0	LAMP3	0.0106507576458504	0.013815863071932	17878
0	FSCN1	0.0253472616118139	0.0307081329007719	17878
0	CCL19	0.00332162536272989	0.00520192415258978	17878
0	TPSAB1	0.0922024822971479	0.109631949882537	17878
0	TPSB2	0.211544523493794	0.212328000894955	17878
0	CPA3	0.0474294120403744	0.0578364470298691	17878
0	KIT	0.00918019909546985	0.0106835216467166	17878
0	MKI67	0.00764054234079753	0.00715963754334937	17878
0	TOP2A	0.00911412438969713	0.00866987358764963	17878
0	STMN1	0.0526125118230288	0.0591788790692471	17878
0	EPCAM	0.0385723125871834	0.0435731066114778	17878
0	KRT8	0.136764856620446	0.154491553865086	17878
0	KRT18	0.0833847628174854	0.0920125293657009	17878
0	KRT19	0.0631778135545137	0.0689674460230451	17878
0	COL1A1	0.0709253259734018	0.0906700973263228	17878
0	COL1A2	0.0441471004265858	0.0551515829511131	17878
0	COL3A1	0.0396245534579955	0.0493903121154492	17878
0	RGS5	0.0427831766554214	0.0470410560465377	17878
0	PECAM1	0.414070838655219	0.237498601633292	17878
