cluster	cell_count	top15_markers
0	17878	CXCL8,S100A9,G0S2,S100A8,HCAR2,IFITM2,HCAR3,NAMPT,FCGR3B,SOD2,CSF3R,BCL2A1,PLEK,FTH1,SAT1
1	13911	TRBC2,CXCR4,EEF1A1,PTMA,BTG1,RGS1,IL32,TRAC,ZFP36L2,CD52,SPOCK2,TRBC1,CD3D,TMSB4X,CALM1
2	8367	CCL5,NKG7,GZMB,TRBC2,IL32,GNLY,PTMA,EEF1A1,GZMA,RGS1,CCL4,ZFP36L2,CALM1,BTG1,TMSB4X
3	6666	JCHAIN,SSR4,MZB1,IGKV3-20,HSP90B1,IGKV1-39,XBP1,IGKV4-1,TXNDC5,IGKV1-5,IGKV1D-39,HERPUD1,FKBP11,IGKV3-15,DERL3
4	6657	CXCL8,CCL3L1,HCAR3,SOD2,HCAR2,G0S2,CCL4L2,PLEK,IL1B,CCL3L3,IL1RN,NAMPT,FTH1,PPIF,BCL2A1
5	6604	AGR2,LYZ,PGC,KRT8,SPINK1,KRT18,TFF2,S100A6,S100P,CD24,PIGR,KRT19,CYSTM1,LCN2,EPCAM
6	5352	HLA-DRA,CD74,C1QB,CTSB,C1QA,HLA-DRB1,C1QC,HLA-DPA1,HLA-DRB3,HLA-DPB1,APOE,HLA-DQA1,PSAP,CST3,SELENOP
7	4945	IL1B,HLA-DRA,TIMP1,LYZ,CXCL8,CXCL2,CD74,CTSB,HLA-DRB1,PSAP,PLAUR,FCER1G,CCL3,CXCL3,VIM
8	4407	JCHAIN,IGLL5,SSR4,MZB1,IGLV2-14,AC245060.7,IGLV1-51,HSP90B1,IGLJ3,IGLV2-11,XBP1,TXNDC5,IGLV1-44,IGLJ2,FKBP11
9	3187	TPSB2,TPSAB1,CPA3,GATA2,MS4A2,FOSB,KIT,VIM,VWA5A,RGS1,SLC18A2,CLU,NR4A1,EEF1A1,ANXA1
10	2919	IGFBP7,COL3A1,COL1A2,SPARC,RGS5,CALD1,COL1A1,A2M,C1S,COL6A2,DCN,MYLK,SPARCL1,LGALS1,COL4A2
11	2603	KRT13,KRT4,FABP5,KRT5,TACSTD2,HSPB1,SFN,KRT6A,CLDN4,S100A2,IFI27,PERP,S100A8,CSTB,CSTA
12	2214	IGFBP7,PLVAP,SPARCL1,A2M,SPARC,PECAM1,VWF,HSPG2,GNG11,IGFBP4,MGP,COL4A1,ID1,IFI27,AQP1
13	1679	IDO1,HLA-DRA,CD74,GBP1,LAMP3,HLA-DRB1,HLA-DPB1,HLA-DPA1,HLA-DQA1,GBP5,FSCN1,HLA-DQB1,TNFAIP2,HLA-DRB3,FTH1
14	1434	MIR663AHG,LINC00632,AL162581.1,RN7SK,XACT,Metazoa,ANKRD30BL,NEAT1,JUN,HSPA1B,OLMALINC,KCNQ1OT1,FAM153CP,AL360020.1,NPIPB5
15	292	EPCAM,CST3,KRT8,GPX2,SERPINA1,CLDN4,PERP,KRT18,CD24,MIF,MDK,TMEM176A,DSP,GABBR1,HSP90AB1
16	198	PGA4,PGA3,EEF1A1,ZFP36L2,BTG1,MTCO1P12,HSPA8,NR4A2,LIPF,HSP90AB1,CXCR4,TRBC1,PTMA,RACK1,CALM1
17	193	JCHAIN,IGLL5,IGKV1-39,IGKV3-20,IGKV1-5,MZB1,SSR4,IGKV1D-39,IGKV4-1,IGKV3-11,IGKV3-15,EZR,DERL3,HSP90B1,JUN
18	81	JCHAIN,IGLL5,IGLV1-51,AC245060.7,IGLV2-14,IGLJ2,IGLV1-47,IGLV1-40,IGLV2-11,IGLV2-23,IGLV2-8,EZR,MZB1,IGLV1-44,MTCO1P12
