route	fixed_cluster_field	cluster_centroid_mean_pairwise_separation	median_within_cluster_dispersion	centroid_separation_to_dispersion_ratio
baseline	cluster_harmony_r0_5	10.5135384821185	1.39745141185522	7.52336603113876
neighbor30	cluster_harmony_r0_5	10.3451559993058	1.27827267619766	8.09307449962748
neighbor50	cluster_harmony_r0_5	10.7063544479894	1.31318953541634	8.15293920583597
compact30	cluster_harmony_r0_5	10.5285285261357	1.06385951836107	9.89654023339044
diffuse30	cluster_harmony_r0_5	10.5265926543295	1.53682898389596	6.8495537009225
diffuse50	cluster_harmony_r0_5	10.6283552585487	1.51116953183231	7.03319848280798
dims20_neighbor30	cluster_harmony_r0_5	10.279103688816	1.46129647964225	7.03423557917044
