from_resolution	to_resolution	adjusted_rand_index	package
0.2	0.3	0.69815288097683	mclust 6.1.2
0.3	0.4	0.963046207939686	mclust 6.1.2
0.4	0.5	0.961809394164584	mclust 6.1.2
0.5	0.6	0.937039119617171	mclust 6.1.2
0.6	0.8	0.768437648372878	mclust 6.1.2
0.8	1.0	0.898668241589938	mclust 6.1.2
