route	sampled_cells	median_local_linearity	q90_local_linearity	q99_local_linearity	fraction_above_10	fraction_above_20	fraction_above_50
baseline	20000	1.53444632169149	2.51245719938936	7.4007454940015	0.00755	0.00315	0.0015
neighbor30	20000	1.53979221828444	2.50656557499226	7.02617372711586	0.0082	0.0042	0.00025
neighbor50	20000	1.52813393041611	2.4936004563356	7.24925236324176	0.00835	0.00555	0.0027
compact30	20000	1.58973031946884	2.94156694840142	15.7393671994868	0.01685	0.00825	0.00495
diffuse30	20000	1.51176945847236	2.31116741200162	5.06542706592124	0.0018	3e-04	0
diffuse50	20000	1.50544858139142	2.35862598656337	5.26721658099197	0.00255	0.00075	0
dims20_neighbor30	20000	1.53608478098605	2.45624868666648	7.73939918450207	0.0079	0.00525	0.002
