gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	resolution	positive_direction	passes_primary_filter	rank
NAMPT	0	3.66457762744524	2.71141525013857	1513007332.5	0.919452407294494	0	0	95.793921538223	54.0656205420827	0.2	TRUE	TRUE	1
CXCL8	0	5.37650667666504	4.0626266496387	1509960450	0.91760082112621	0	0	96.8405954411537	58.4094935022182	0.2	TRUE	TRUE	2
IFITM2	0	3.95082686435303	2.69150320655552	1489277312.5	0.905031707840186	0	0	95.2899674368119	67.6521766393378	0.2	TRUE	TRUE	3
NAMPTP1	0	2.68696984837912	2.12615980385314	1487391092	0.903885454321013	0	0	92.5104667390293	42.753679986205	0.2	TRUE	TRUE	4
FTH1	0	5.46071941230458	2.34055673477575	1479527435.5	0.89910672143337	0	0	99.5580710187626	93.2388581461335	0.2	TRUE	TRUE	5
SOD2	0	3.83525342482905	2.7646286850978	1477526392	0.89789069014016	0	0	95.6776244378974	57.7824457995642	0.2	TRUE	TRUE	6
CSF3R	0	2.80823618756447	2.4859272004441	1477254086	0.89772521017067	0	0	88.3005117072415	23.5048831339844	0.2	TRUE	TRUE	7
G0S2	0	3.54263431116638	3.0248917841729	1474137491	0.895831259815137	0	0	89.537137540704	30.1939145020457	0.2	TRUE	TRUE	8
S100A9	0	4.32743778126603	3.28449151828362	1458380396	0.886255695560747	0	0	93.770351992557	44.9295355144143	0.2	TRUE	TRUE	9
HCAR2	0	3.33239481289426	2.91317276701771	1440524919.5	0.875404947848779	0	0	84.34641029617	25.9033405966359	0.2	TRUE	TRUE	10
SAT1	0	4.23961630330571	2.24372854865197	1436115129	0.8727251244244	0	0	97.1313381919678	79.7447915850198	0.2	TRUE	TRUE	11
HCAR3	0	3.19196783510186	2.85042345241403	1423143624.5	0.864842359560961	0	0	81.6095518685068	23.261902149206	0.2	TRUE	TRUE	12
BCL2A1	0	2.95968163761627	2.36693556601679	1417849236	0.861624967188227	0	0	86.6064506124981	33.5235378031384	0.2	TRUE	TRUE	13
S100A8	0	3.22741165492152	2.54464428708822	1409852783.5	0.856765534359972	0	0	87.6414948053962	33.164552993369	0.2	TRUE	TRUE	14
FCGR3B	0	2.61190211339861	2.36784677279629	1397104261	0.84901827534127	0	0	77.5701659171965	17.563606151338	0.2	TRUE	TRUE	15
SRGN	0	4.24423590637246	1.97747818549594	1395749246.5	0.848194834953915	0	0	97.2902775624128	81.9378909250521	0.2	TRUE	TRUE	16
PLEK	0	3.10234843036458	2.48596278175038	1385941245	0.842234526370994	0	0	83.1446735928051	35.7103666661441	0.2	TRUE	TRUE	17
LITAF	0	2.93040909248726	2.00763640078818	1367178245.5	0.830832278220725	0	0	86.901069933323	51.8427364361744	0.2	TRUE	TRUE	18
PLAUR	0	2.76687554984508	2.02880605771511	1352709574	0.822039687097557	0	0	85.2690339587533	42.1595522879403	0.2	TRUE	TRUE	19
FTH1P10	0	1.50954776610311	1.05836824903002	1348363009	0.819398285719741	0	0	85.6140486897193	49.224812277594	0.2	TRUE	TRUE	20
FPR1	0	1.91608421876707	1.67463259465067	1315639342	0.799512159755673	0	0	69.7084819351838	17.8316690442225	0.2	TRUE	TRUE	21
SLC25A37	0	1.93743888948032	1.60079126304373	1302834084.5	0.791730422958041	0	0	73.4416188556365	30.8805317364519	0.2	TRUE	TRUE	22
LCP2	0	2.09016376596549	1.61354243136028	1295071627	0.787013188558983	0	0	74.8061714994573	31.6815851765923	0.2	TRUE	TRUE	23
MALAT1	0	4.34937720342617	1.33132891033682	1293150150.5	0.785845510018678	0	0	98.4454954256474	92.7873838002226	0.2	TRUE	TRUE	24
FCGR2A	0	1.94297483254627	1.55952564957137	1291284073.5	0.784711497675848	0	0	72.2553884323151	25.5239767365302	0.2	TRUE	TRUE	25
H3-3A	0	3.29199715755321	1.31721820028671	1282827051.5	0.779572177416512	0	0	91.3164831756862	83.3738301641298	0.2	TRUE	TRUE	26
AQP9	0	1.70613138238321	1.48737868875532	1282655051.5	0.779467653260774	0	0	65.7698868041557	15.7153830477654	0.2	TRUE	TRUE	27
IL1B	0	3.01021135274283	2.26628633955155	1281460588.5	0.778741779791965	0	0	76.7134439447977	37.4080983210798	0.2	TRUE	TRUE	28
IFITM3	0	2.48157352799821	1.49104331172278	1277252281.5	0.776184397604405	0	0	87.2770972243759	57.4171905127683	0.2	TRUE	TRUE	29
FAM157A	0	1.30734666780494	1.14960840007715	1262375061	0.767143531834129	0	0	63.4749573577299	17.6843128340989	0.2	TRUE	TRUE	30
FTL	0	3.94640573016437	1.29392964984145	1251856375.5	0.76075134159367	0	0	96.2629865095364	89.5831700396608	0.2	TRUE	TRUE	31
MNDA	0	1.70087404793798	1.48014733988073	1247278124	0.757969144658828	0	0	61.714994572802	17.0321832233387	0.2	TRUE	TRUE	32
TREM1	0	1.41868303262345	1.25085190326238	1240704299.5	0.753974240845858	0	0	59.7301907272445	13.5473656158392	0.2	TRUE	TRUE	33
CXCR2	0	1.50938863587362	1.38872525825277	1240592029	0.753906014222446	0	0	57.5050395410141	11.2147481619664	0.2	TRUE	TRUE	34
H3-3B	0	3.44492386605876	1.11297095484137	1239585788	0.753294522995738	0	0	93.1927430609397	86.0246743270994	0.2	TRUE	TRUE	35
OSM	0	1.62657187902523	1.46515337083805	1236030822.5	0.751134175509899	0	0	58.4044037835323	13.4830932263172	0.2	TRUE	TRUE	36
PPIF	0	2.09422887900618	1.59352636820139	1235257944.5	0.750664498646885	0	0	69.2820592339898	33.6207301970497	0.2	TRUE	TRUE	37
IL1RN	0	2.40734613385796	1.84583051404225	1229965267	0.74744814604642	0	0	67.7508140797023	29.1765296044897	0.2	TRUE	TRUE	38
MXD1	0	1.67202421581117	1.30776702645913	1229541126	0.747190396163055	0	0	67.0414017677159	30.5560345503284	0.2	TRUE	TRUE	39
AL669831.1	0	1.02949944270367	0.90158887714675	1226493984	0.74533865229699	0	0	58.6292448441619	15.205906789359	0.2	TRUE	TRUE	40
RNF149	0	1.67404399741082	1.20373955605321	1226319786	0.745232792419774	0	0	71.7359280508606	40.3677634776066	0.2	TRUE	TRUE	41
ITGAX	0	1.53466896047862	1.26104399248663	1222620998	0.742985044204931	0	0	62.4127771747558	20.8085780125723	0.2	TRUE	TRUE	42
IVNS1ABP	0	1.81252681276805	1.32551053346761	1219872808	0.741314973044715	0	0	69.6580865250426	36.6963991785675	0.2	TRUE	TRUE	43
FFAR2	0	1.44585695328149	1.30409935563734	1214895104.5	0.738290029696747	0	0	55.403938595131	11.7916320484081	0.2	TRUE	TRUE	44
TYROBP	0	1.83183601567527	1.22329584481874	1214548554.5	0.738079431753893	0	0	72.6004031632811	35.389004718534	0.2	TRUE	TRUE	45
GLUL	0	2.05883015234122	1.30045907784529	1210790310.5	0.735795552212284	0	0	76.1397115831912	47.9174178175605	0.2	TRUE	TRUE	46
SERPINA1	0	1.53121308808592	1.17031796482492	1204324173	0.731866089636284	0	0	63.5563653279578	24.464266119045	0.2	TRUE	TRUE	47
ACTB	0	3.84528890445666	0.997254111693013	1197714595.5	0.727849458775988	0	0	95.5690804775934	91.3326331300654	0.2	TRUE	TRUE	48
FTH1P7	0	0.78280924049502	0.557927206059554	1193479122	0.725275567544957	0	0	66.0334935648938	34.4108103023938	0.2	TRUE	TRUE	49
NCF2	0	1.18274313192226	1.00246117803451	1173939508.5	0.713401372169781	0	0	53.434641029617	15.4096972927215	0.2	TRUE	TRUE	50
RPS27	1	2.9629447646699	1.3150526149531	1132353995	0.780125775190546	0	0	92.1359954793746	73.7414229491888	0.2	TRUE	TRUE	1
