p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	marker_rank
4.9454573074911e-83	3.1273108739419	0.119	0.01	1.6646409297015e-78	8	RP11-18H21.1	9
3.67925508629468e-118	3.05476016625333	0.171	0.015	1.23843726204679e-113	8	NELL2	10
0	7.24558699530414	0.145	0.001	0	7	MIR3945HG	1
0	7.10287441163087	0.24	0.006	0	7	RETN	2
0	6.9944002065807	0.335	0.011	0	7	IL1RN	3
0	6.84717917970651	0.384	0.007	0	7	C5AR1	4
1.92936537876977e-257	6.83507915376996	0.121	0.001	6.49424386493903e-253	7	CLEC5A	5
0	6.7806175689741	0.819	0.158	0	7	CXCL8	6
1.08247955331763e-227	6.7390674749476	0.121	0.002	3.64362617646716e-223	7	GPR84	7
0	6.72843885162448	0.559	0.05	0	7	IL1B	8
0	6.68594996105509	0.166	0.003	0	7	MCEMP1	9
1.95371633736486e-192	6.66501590379443	0.106	0.002	6.57620919157013e-188	7	HCAR3	10
0	11.8794316333266	0.124	0	0	12	RP11-73G16.2	1
0	11.3267803593643	0.243	0	0	12	KRT5	2
0	11.2310269950421	0.564	0.001	0	12	LRRC26	3
0	10.9184928316719	0.233	0	0	12	SLC32A1	4
0	10.4040241483828	0.891	0.002	0	12	LILRA4	5
0	10.1324195347946	0.653	0.002	0	12	PTCRA	6
0	10.127675222595	0.376	0	0	12	CLEC4C	7
0	9.53164798883662	0.386	0.001	0	12	SHD	8
0	9.20400516159132	0.144	0	0	12	AC011893.3	9
0	9.01144225393109	0.119	0	0	12	CUX2	10
0	12.9350572143693	0.367	0	0	11	SOX17	1
0	12.7904079505775	0.506	0	0	11	CXorf36	2
0	12.4994876462549	0.203	0	0	11	ARHGEF15	3
0	12.4026416136288	0.705	0	0	11	PCAT19	4
0	11.8409562319917	0.38	0.001	0	11	ACKR1	5
0	11.8356416998902	0.122	0	0	11	NOVA2	6
0	11.7675854023502	0.553	0	0	11	CDH5	7
0	11.7586817890218	0.388	0	0	11	MYCT1	8
0	11.4179945128823	0.122	0	0	11	C2CD4B	9
0	11.3179247882231	0.215	0	0	11	SELE	10
5.37783650956287e-103	8.25932409876467	0.122	0.002	1.81017976911886e-98	13	HJURP	1
7.54154989946457e-141	7.64318749253892	0.135	0.001	2.53848569615977e-136	13	CDCA2	2
1.77564456233965e-88	7.61570985919185	0.122	0.002	5.97681959683526e-84	13	DLGAP5	3
1.80483303241725e-176	7.41704659242433	0.203	0.003	6.07506798711647e-172	13	PBK	4
