dataset_id	seurat_object_path	seurat_object_size_bytes	all_marker_rds_path	all_marker_rds_size_bytes	cells	features
GSE178318	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_subset_clustering_20260708/gse178318_stromal_subset_seurat_res0.4.rds	109995818	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_subset_clustering_20260708/gse178318_stromal_subset_all_markers_res0.4.rds	670610	13519	33660
GSE245552	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_subset_clustering_20260708/gse245552_stromal_subset_seurat_res0.4.rds	356422393	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_subset_clustering_20260708/gse245552_stromal_subset_all_markers_res0.4.rds	185748	28288	29922
