name	size	is_file
GSM7844846_Pt17_Z1_barcodes.tsv.gz	23949	True
GSM7844846_Pt17_Z1_features.tsv.gz	215711	True
GSM7844846_Pt17_Z1_matrix.mtx.gz	16655635	True
GSM7844847_Pt18_T1_barcodes.tsv.gz	23219	True
GSM7844847_Pt18_T1_features.tsv.gz	212926	True
GSM7844847_Pt18_T1_matrix.mtx.gz	28894880	True
GSM7844848_Pt18_T2_barcodes.tsv.gz	32056	True
GSM7844848_Pt18_T2_features.tsv.gz	212926	True
GSM7844848_Pt18_T2_matrix.mtx.gz	42213304	True
GSM7844849_Pt18_Z1_barcodes.tsv.gz	16412	True
GSM7844849_Pt18_Z1_features.tsv.gz	215711	True
GSM7844849_Pt18_Z1_matrix.mtx.gz	14786390	True
GSM7844850_Pt18_Z2_barcodes.tsv.gz	35775	True
GSM7844850_Pt18_Z2_features.tsv.gz	215711	True
GSM7844850_Pt18_Z2_matrix.mtx.gz	37949154	True
